Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_gp,G/loss_fake,G/loss_rec,G/loss_cls
0:00:06,100,-4.2027,-0.5474,1.3696,0.0194,0.2353,0.3010,1.6725
0:00:10,200,-2.6850,-0.1933,1.0567,0.0114,0.4199,0.1458,1.7957
0:00:15,300,-2.1723,-0.5034,0.9131,0.0297,0.3614,0.1176,1.4567
0:00:20,400,-0.4246,-2.0755,1.1401,0.0124,2.0196,0.0944,1.4545
0:00:24,500,-0.8582,-1.7972,1.0851,0.0189,1.7535,0.0897,1.0270
0:00:28,600,-0.9853,-1.3513,0.9695,0.0158,1.2842,0.1105,1.0242
0:00:32,700,-1.1010,-1.3524,0.8674,0.0231,1.2370,0.0942,0.8273
0:00:36,800,-1.2555,-1.0486,0.6141,0.0209,1.0396,0.0861,0.6116
0:00:41,900,-0.9594,-1.1783,0.8884,0.0122,1.1306,0.0857,0.6146
0:00:45,1000,-0.7708,-1.2735,0.8298,0.0036,1.4268,0.0751,0.8858
0:01:01,1100,-0.7464,-1.2446,0.8997,0.0018,1.5409,0.0857,0.6456
0:01:05,1200,-0.6498,-1.4585,0.7778,0.0122,1.3899,0.0777,0.7623
0:01:09,1300,-0.6972,-1.1906,0.7502,0.0066,1.1904,0.0732,0.6681
0:01:13,1400,-0.5353,-1.1913,0.6082,0.0036,1.3194,0.0847,0.5291
0:01:18,1500,-0.6769,-0.8722,1.0315,0.0037,0.9165,0.0591,0.6686
0:01:22,1600,-0.5806,-1.0673,0.5911,0.0075,1.0563,0.0768,0.4660
0:01:26,1700,-0.5004,-1.1541,0.6403,0.0078,1.1009,0.0830,0.4748
0:01:31,1800,-0.4359,-1.2136,0.7358,0.0065,1.1883,0.0715,0.9465
0:01:35,1900,-0.4204,-1.1713,0.8329,0.0086,1.2005,0.0574,0.7588
0:01:40,2000,-0.3063,-1.3522,0.6179,0.0215,1.2079,0.0706,0.7771
0:01:55,2100,-0.2854,-1.3168,0.7126,0.0042,1.4074,0.0611,0.4618
0:02:00,2200,-0.3133,-1.2817,0.5726,0.0048,1.3149,0.0617,0.4880
0:02:04,2300,-0.2412,-1.3186,0.7454,0.0053,1.3290,0.0588,0.6442
0:02:08,2400,-0.1795,-1.3776,0.6071,0.0034,1.4428,0.0521,0.4516
0:02:13,2500,-0.1220,-1.1793,0.6857,0.0045,1.1459,0.0539,0.2876
0:02:17,2600,-0.0168,-0.9416,0.5136,0.0025,0.9720,0.0683,0.2758
0:02:21,2700,-1.6624,1.4803,0.8878,0.0071,-1.5161,0.0579,0.4968
0:02:26,2800,-1.6165,1.4381,0.7817,0.0056,-1.4026,0.0574,0.3003
0:02:30,2900,-1.2993,1.0901,0.6434,0.0071,-1.1586,0.0588,0.2409
0:02:34,3000,-1.1693,1.0260,0.5964,0.0034,-1.0455,0.0546,0.2335
0:02:50,3100,-1.0541,0.8784,0.5959,0.0047,-0.8917,0.0600,0.2328
0:02:54,3200,-1.0550,0.9112,0.5596,0.0065,-0.8735,0.0555,0.3334
0:02:58,3300,-0.8944,0.7103,0.5082,0.0043,-0.6886,0.0585,0.1976
0:03:02,3400,-1.0155,0.7684,0.4415,0.0066,-0.7757,0.0676,0.1716
0:03:07,3500,-0.9161,0.7522,1.0686,0.0074,-0.7054,0.0522,0.2339
0:03:11,3600,-0.8589,0.7149,0.6130,0.0016,-0.7143,0.0466,0.2294
0:03:16,3700,-0.8366,0.6025,0.2923,0.0030,-0.5924,0.0526,0.1231
0:03:20,3800,-0.6686,0.5109,0.4654,0.0042,-0.5014,0.0484,0.0797
0:03:24,3900,-0.7486,0.6090,0.2506,0.0044,-0.5356,0.0481,0.0846
0:03:28,4000,-0.7403,0.5642,0.2346,0.0017,-0.5669,0.0527,0.1508
0:03:44,4100,-0.6582,0.4931,0.6122,0.0033,-0.4312,0.0480,0.0909
0:03:49,4200,-0.6363,0.5161,0.3907,0.0051,-0.5737,0.0425,0.0440
0:03:53,4300,-0.5846,0.4312,0.7163,0.0049,-0.4033,0.0457,0.0790
0:03:57,4400,-0.6085,0.4456,0.2376,0.0059,-0.4145,0.0532,0.0730
0:04:02,4500,-0.5735,0.4252,0.2527,0.0057,-0.3988,0.0419,0.1002
0:04:06,4600,-0.5888,0.3826,0.7602,0.0123,-0.4545,0.0493,0.1047
0:04:10,4700,-0.5734,0.3561,0.3608,0.0054,-0.3862,0.0497,0.0190
0:04:15,4800,-0.5931,0.3877,0.5142,0.0046,-0.4024,0.0500,0.1748
0:04:19,4900,-0.6486,0.4442,0.1522,0.0058,-0.4022,0.0488,0.0253
0:04:23,5000,-0.5863,0.3801,0.2433,0.0028,-0.3709,0.0445,0.0342
0:04:39,5100,-0.5837,0.4346,0.8080,0.0048,-0.3838,0.0451,0.0745
0:04:43,5200,-0.5311,0.3598,0.4071,0.0036,-0.3526,0.0428,0.0913
0:04:47,5300,-0.4959,0.3466,0.2421,0.0041,-0.3178,0.0422,0.0477
0:04:51,5400,-0.6286,0.4780,0.4777,0.0052,-0.3290,0.0567,0.0202
0:04:56,5500,-0.4977,0.3398,0.5096,0.0036,-0.2995,0.0397,0.0360
0:05:00,5600,-0.3285,0.1558,0.1446,0.0056,-0.1663,0.0561,0.0332
0:05:04,5700,-0.5270,0.3739,0.2752,0.0047,-0.3418,0.0415,0.0522
0:05:09,5800,-0.4838,0.3825,0.5193,0.0035,-0.3605,0.0417,0.0455
0:05:13,5900,-0.7117,0.3782,0.2043,0.0122,-0.2374,0.0576,0.0401
0:05:17,6000,-0.5933,0.4826,0.3837,0.0034,-0.4739,0.0414,0.0484
0:05:32,6100,-0.5865,0.3472,0.2963,0.0059,-0.3216,0.0484,0.0567
0:05:37,6200,-0.3828,0.2147,0.5696,0.0017,-0.2055,0.0429,0.0302
0:05:41,6300,-0.5238,0.3513,0.3888,0.0074,-0.3500,0.0507,0.3403
0:05:45,6400,-0.6805,0.4444,0.2996,0.0046,-0.4266,0.0476,0.0295
0:05:50,6500,-0.5307,0.3924,0.3130,0.0037,-0.3407,0.0430,0.0331
0:05:54,6600,-0.4963,0.3336,0.2582,0.0051,-0.3295,0.0427,0.0118
0:05:58,6700,-0.5785,0.3174,0.0521,0.0076,-0.2672,0.0503,0.0602
0:06:03,6800,-0.4812,0.2791,0.2266,0.0079,-0.3162,0.0452,0.0322
0:06:07,6900,-0.3746,0.1896,0.0300,0.0056,-0.2040,0.0436,0.0143
0:06:11,7000,-0.6975,0.4161,0.0864,0.0032,-0.3820,0.0533,0.0204
0:06:28,7100,-0.4435,0.2633,0.3973,0.0057,-0.2658,0.0416,0.0148
0:06:32,7200,-0.4003,0.2340,0.2616,0.0037,-0.2939,0.0388,0.0179
0:06:37,7300,-0.3938,0.1739,0.2093,0.0061,-0.1739,0.0399,0.0446
0:06:41,7400,-0.5462,-0.0030,0.3842,0.0043,-0.1411,0.0727,0.6055
0:06:45,7500,-0.3105,0.1435,0.2093,0.0136,-0.0689,0.0547,0.0597
0:06:50,7600,-0.4291,0.1246,0.0502,0.0088,-0.0869,0.0471,0.0675
0:06:54,7700,-0.5302,0.3030,0.2255,0.0050,-0.2888,0.0462,0.0160
0:06:58,7800,-0.4284,0.2399,0.0703,0.0052,-0.2028,0.0428,0.0194
0:07:03,7900,-0.4256,0.1775,0.0746,0.0097,-0.1263,0.0420,0.0196
0:07:07,8000,-0.4241,0.1849,0.0545,0.0032,-0.1682,0.0382,0.0300
0:07:22,8100,-0.4396,0.2620,0.1857,0.0031,-0.2582,0.0376,0.0187
0:07:27,8200,-0.4289,0.2342,0.1180,0.0052,-0.2156,0.0372,0.0122
0:07:31,8300,-0.4705,0.2393,0.0825,0.0057,-0.2214,0.0487,0.0142
0:07:35,8400,-0.4140,0.2028,0.2217,0.0043,-0.1782,0.0431,0.0323
0:07:40,8500,-0.4572,0.2210,0.0150,0.0061,-0.2368,0.0435,0.0159
0:07:44,8600,-0.4504,0.2220,0.0849,0.0089,-0.2044,0.0487,0.0155
0:07:48,8700,-0.3690,0.2128,0.2932,0.0033,-0.1565,0.0396,0.0095
0:07:53,8800,-0.5257,0.3117,0.3552,0.0076,-0.3477,0.0500,0.0203
0:07:57,8900,-0.3022,0.1667,0.1261,0.0035,-0.1475,0.0365,0.0169
0:08:01,9000,-0.3500,0.1435,0.2129,0.0028,-0.1099,0.0462,0.0125
0:08:16,9100,-0.3614,0.1883,0.2950,0.0025,-0.1827,0.0415,0.0103
0:08:20,9200,-0.3995,0.2432,0.2194,0.0029,-0.2435,0.0385,0.0161
0:08:25,9300,-0.3987,0.2791,0.0310,0.0026,-0.2371,0.0391,0.0068
0:08:29,9400,-0.3656,0.1336,0.2607,0.0049,-0.1196,0.0433,0.0305
0:08:33,9500,-0.3635,0.1925,0.1305,0.0057,-0.1541,0.0385,0.0074
0:08:38,9600,-0.2918,0.1297,0.2341,0.0046,-0.1638,0.0484,0.0554
0:08:42,9700,-0.3811,0.1707,0.1887,0.0046,-0.1333,0.0395,0.0209
0:08:46,9800,-0.2518,0.1214,0.1374,0.0047,-0.1619,0.0371,0.0377
0:08:51,9900,-0.3563,0.1274,0.0460,0.0022,-0.1333,0.0467,0.0158
0:08:55,10000,-0.2228,0.1134,0.2361,0.0027,-0.0865,0.0366,0.0255
0:12:12,10100,-0.3672,0.2171,0.0313,0.0039,-0.2042,0.0378,0.0119
0:12:16,10200,-0.3651,0.1472,0.1117,0.0079,-0.0798,0.0440,0.1197
0:12:20,10300,-0.3423,0.2129,0.0382,0.0032,-0.1757,0.0418,0.0208
0:12:25,10400,-0.3996,0.1739,0.1954,0.0028,-0.1924,0.0416,0.0155
0:12:29,10500,-0.3256,0.1518,0.0525,0.0078,-0.1067,0.0450,0.0110
0:12:34,10600,-0.3051,0.1063,0.3212,0.0068,-0.0726,0.0401,0.0082
0:12:38,10700,-0.2732,-0.2589,0.1992,0.0032,0.2434,0.0581,0.0257
0:12:42,10800,-0.0924,-0.3377,0.0943,0.0088,0.3053,0.0466,0.0382
0:12:47,10900,-0.2533,-0.0587,0.0327,0.0080,0.0142,0.0471,0.0046
0:12:51,11000,-0.2397,-0.1134,0.2042,0.0051,0.0782,0.0427,0.0419
0:13:06,11100,-0.2826,0.0091,0.0274,0.0028,0.0346,0.0404,0.0138
0:13:10,11200,-0.2854,-0.0142,0.1645,0.0035,0.0207,0.0401,0.0061
0:13:14,11300,-0.2376,0.0196,0.0435,0.0046,-0.0166,0.0403,0.0042
0:13:18,11400,-0.1605,-0.0574,0.2409,0.0020,0.0732,0.0372,0.0137
0:13:23,11500,-0.3014,0.0640,0.2436,0.0039,-0.0285,0.0455,0.0232
0:13:27,11600,-0.4091,0.1449,0.0629,0.0058,-0.1724,0.0449,0.0055
0:13:31,11700,-0.2571,0.1054,0.0869,0.0039,-0.0973,0.0348,0.0360
0:13:36,11800,-0.2073,0.0692,0.0875,0.0042,-0.0533,0.0390,0.0099
0:13:40,11900,-0.3303,0.1560,0.0125,0.0049,-0.1288,0.0423,0.0371
0:13:44,12000,-0.4194,0.2190,0.1084,0.0037,-0.2103,0.0387,0.0061
0:14:00,12100,-0.2685,0.1233,0.1950,0.0038,-0.1274,0.0339,0.0227
0:14:04,12200,-0.3518,0.1608,0.0282,0.0025,-0.1142,0.0410,0.0087
0:14:08,12300,-0.2570,0.0609,0.3334,0.0046,-0.0948,0.0456,0.0117
0:14:12,12400,-0.2881,0.0647,0.0249,0.0035,-0.0525,0.0403,0.0046
0:14:17,12500,-0.2544,0.1147,0.1145,0.0048,-0.1345,0.0349,0.0419
0:14:21,12600,-0.3520,0.1099,0.0130,0.0040,-0.0580,0.0489,0.0157
0:14:25,12700,-0.0858,-0.0882,0.2299,0.0062,0.1056,0.0364,0.1131
0:14:30,12800,-0.1623,-0.0659,0.0663,0.0066,0.0216,0.0402,0.0023
0:14:34,12900,-0.2390,0.0170,0.0848,0.0055,-0.0154,0.0405,0.0168
0:14:39,13000,-0.3281,0.0638,0.0081,0.0044,-0.0854,0.0409,0.0042
0:14:54,13100,-0.2285,0.0708,0.0662,0.0037,-0.0564,0.0416,0.0038
0:14:59,13200,-0.1785,-0.0144,0.0245,0.0060,0.0045,0.0409,0.0116
0:15:03,13300,-0.2776,0.1244,0.0384,0.0029,-0.1001,0.0385,0.0051
0:15:07,13400,-0.2784,0.0557,0.1169,0.0046,-0.0408,0.0360,0.0037
0:15:11,13500,-0.2965,0.0484,0.1439,0.0033,-0.0293,0.0364,0.0062
0:15:16,13600,-0.1351,-0.0233,0.0820,0.0065,0.0310,0.0399,0.0283
0:15:20,13700,-0.1916,0.0369,0.3537,0.0057,-0.0120,0.0415,0.0176
0:15:24,13800,-0.2406,0.0437,0.1528,0.0029,-0.0509,0.0383,0.0095
0:15:29,13900,-0.1512,-0.0001,0.0081,0.0030,-0.0076,0.0301,0.0378
0:15:33,14000,-0.2927,0.0782,0.0879,0.0063,-0.0911,0.0418,0.0345
0:15:48,14100,-0.2395,0.0939,0.0087,0.0014,-0.0946,0.0363,0.0060
0:15:53,14200,-0.1940,-0.0287,0.0117,0.0018,0.0646,0.0442,0.0101
0:15:57,14300,-0.2669,0.0597,0.0328,0.0052,-0.0559,0.0402,0.0044
0:16:01,14400,-0.2715,0.0844,0.0499,0.0024,-0.0970,0.0375,0.0090
0:16:06,14500,-0.3288,0.0870,0.0067,0.0054,-0.0519,0.0395,0.0016
0:16:10,14600,-0.2523,0.0403,0.0766,0.0024,-0.0204,0.0364,0.0089
0:16:14,14700,-0.2269,-0.0565,0.0301,0.0094,0.0427,0.0535,0.3370
0:16:19,14800,-0.2114,0.0646,0.0142,0.0043,-0.0800,0.0449,0.0030
0:16:23,14900,-0.1923,-0.0705,0.0122,0.0042,0.0889,0.0464,0.0072
0:16:27,15000,-0.1394,-0.1170,0.0299,0.0052,0.1735,0.0450,0.2571
0:16:43,15100,-0.2473,0.0199,0.0023,0.0031,-0.0517,0.0358,0.0012
0:16:47,15200,-0.1472,-0.0687,0.0082,0.0068,0.0573,0.0381,0.0039
0:16:52,15300,-0.1482,-0.0011,0.3111,0.0036,-0.0289,0.0373,0.0026
