step,source,target,accuracy,loss
10000,WAL,RUN,0.016809200825715128,13.40445327758789
10000,WAL,CLD,0.014744913005013271,13.107437133789062
10000,WAL,CLU,0.01843114125626659,12.023445129394531
20000,WAL,RUN,0.022707166027720438,12.604143142700195
20000,WAL,CLD,0.02447655558832203,12.77777099609375
20000,WAL,CLU,0.02182247124741964,12.389334678649902
30000,WAL,RUN,0.012238277794161015,12.98409652709961
30000,WAL,CLD,0.020937776467118845,12.23440933227539
30000,WAL,CLU,0.02565614862872309,11.046143531799316
40000,WAL,RUN,0.01975818342671778,12.646881103515625
40000,WAL,CLD,0.026393394278973754,12.436552047729492
40000,WAL,CLU,0.020347979946918313,11.524949073791504
50000,WAL,RUN,0.017693895606015926,13.648965835571289
50000,WAL,CLD,0.011795930404010616,13.357683181762695
50000,WAL,CLU,0.018873488646416987,11.851754188537598
60000,WAL,RUN,0.01695664995576526,13.376667976379395
60000,WAL,CLD,0.015187260395163668,12.986851692199707
60000,WAL,CLU,0.021085225597168977,11.736918449401855
70000,WAL,RUN,0.015924506045414333,14.029207229614258
70000,WAL,CLD,0.01695664995576526,13.18330192565918
70000,WAL,CLU,0.021527572987319374,11.877005577087402
80000,WAL,RUN,0.011206133883810086,13.96286392211914
80000,WAL,CLD,0.010026540843409024,13.920805931091309
80000,WAL,CLU,0.016661751695664997,13.149377822875977
90000,WAL,RUN,0.016219404305514596,13.517707824707031
90000,WAL,CLD,0.01739899734591566,13.394795417785645
90000,WAL,CLU,0.020347979946918313,12.102782249450684
100000,WAL,RUN,0.0157770569153642,13.856890678405762
100000,WAL,CLD,0.015334709525213801,13.764512062072754
100000,WAL,CLU,0.016809200825715128,12.207195281982422
110000,WAL,RUN,0.01857859038631672,14.26534366607666
110000,WAL,CLD,0.018726039516366852,13.262399673461914
110000,WAL,CLU,0.012975523444411679,12.61619758605957
120000,WAL,RUN,0.015039811265113535,14.058722496032715
120000,WAL,CLD,0.021085225597168977,13.493861198425293
120000,WAL,CLU,0.023296962547920966,12.156986236572266
130000,WAL,RUN,0.0157770569153642,14.324772834777832
130000,WAL,CLD,0.016661751695664997,13.755043983459473
130000,WAL,CLU,0.020495429076968445,12.311806678771973
140000,WAL,RUN,0.024329106458271896,13.929998397827148
140000,WAL,CLD,0.016661751695664997,12.424280166625977
140000,WAL,CLU,0.016514302565614862,11.721278190612793
150000,WAL,RUN,0.01754644647596579,14.172422409057617
150000,WAL,CLD,0.015924506045414333,13.647475242614746
150000,WAL,CLU,0.017841344736066057,12.262699127197266
160000,WAL,RUN,0.008404600412857564,15.501838684082031
160000,WAL,CLD,0.01754644647596579,13.680954933166504
160000,WAL,CLU,0.015482158655263934,13.052470207214355
170000,WAL,RUN,0.014597463874963138,14.405259132385254
170000,WAL,CLD,0.015924506045414333,13.171923637390137
170000,WAL,CLU,0.016219404305514596,12.202073097229004
180000,WAL,RUN,0.012975523444411679,14.590202331542969
180000,WAL,CLD,0.014892362135063402,13.37851333618164
180000,WAL,CLU,0.01843114125626659,12.763315200805664
190000,WAL,RUN,0.016514302565614862,14.739799499511719
190000,WAL,CLD,0.015629607785314067,13.511886596679688
190000,WAL,CLU,0.011795930404010616,12.774629592895508
