Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_dom,G/latent_trts,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_dom,G/ref_trts,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds,G/lambda_dom,G/lambda_trts
0:01:06,100,100000,0.038047,0.025238,0.005371,0.005211,0.014310,0.005434,0.731389,930.717529,469.095154,0.312992,0.279975,1.280861,0.760968,0.434431,444.657501,171.621399,0.324667,0.218627,2.541561,0.000285,0.000000,0.000000,0.000000
0:01:44,200,100000,0.105087,0.018140,0.007019,0.014796,0.038068,0.004524,0.556658,156.552643,403.243469,0.133283,0.115794,0.941979,0.646510,0.354780,38.778896,74.469498,0.139349,0.084462,0.964353,0.000188,0.000000,0.000000,0.000000
0:02:21,300,100000,0.039497,0.005117,0.029209,0.004474,0.118399,0.006174,0.660153,443.113190,432.876587,0.072555,0.060111,0.734316,0.605860,0.494433,43.077515,47.428371,0.075439,0.053228,0.541806,0.000147,0.000000,0.000000,0.000000
0:02:58,400,100000,0.032371,0.011307,0.009080,0.004631,0.019627,0.007342,0.406673,400.024384,265.687775,0.055227,0.053897,0.577531,0.541587,0.411983,60.747356,19.094416,0.053243,0.042967,0.268828,0.000081,0.000000,0.000000,0.000000
0:03:35,500,100000,0.071791,0.005065,0.062250,0.015249,0.082286,0.019631,0.430135,381.595398,537.054626,0.041887,0.046118,0.597401,0.503651,0.389885,32.350323,34.226925,0.043299,0.037715,0.176990,0.000077,0.000000,0.000000,0.000000
0:04:31,600,100000,0.007622,0.003857,0.066643,0.000227,0.025119,0.024103,0.448071,323.186157,99.573196,0.060174,0.063265,0.630215,0.473489,0.535519,27.031998,4.459367,0.048339,0.047813,0.181656,0.000050,0.000000,0.000000,0.000000
0:05:09,700,100000,0.200448,0.000748,0.026821,0.032828,0.013667,0.019769,0.532758,458.605652,318.931915,0.034781,0.040613,0.578906,0.415783,0.389920,29.535252,13.091247,0.035518,0.035161,0.439244,0.000056,0.000000,0.000000,0.000000
0:05:48,800,100000,0.011080,0.000727,0.038766,0.000741,0.072214,0.024260,0.531523,662.812622,416.717377,0.031693,0.033179,0.718177,0.452027,0.468799,48.231480,30.069077,0.036211,0.028893,0.171905,0.000029,0.000000,0.000000,0.000000
0:06:26,900,100000,0.057497,0.001986,0.025215,0.011047,0.102482,0.009300,0.505594,220.535568,295.578308,0.027383,0.028140,0.522887,0.378495,0.340708,12.780092,5.617516,0.029380,0.027003,0.099532,0.000034,0.000000,0.000000,0.000000
0:07:04,1000,100000,0.023682,0.000155,0.152249,0.007351,0.049615,0.034495,0.467482,470.386169,156.633957,0.044552,0.045490,0.513292,0.328307,0.434716,34.495491,12.812950,0.039839,0.042447,1.653843,0.000070,0.000000,0.000000,0.000000
