Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds
0:01:04,100,100000,0.309995,0.040205,0.007289,0.079667,0.047144,0.006866,1.088008,0.258288,0.236334,1.237164,0.601262,1.080370,0.241585,0.194932,3.220682,0.000322,0.999000
0:01:40,200,100000,0.033995,0.034393,0.011108,0.021037,0.011913,0.005891,1.522957,0.112032,0.104352,0.850012,0.582050,0.998529,0.122546,0.077351,1.094425,0.000135,0.998000
0:02:15,300,100000,0.028327,0.034124,0.021871,0.009301,0.035818,0.008410,0.933746,0.099271,0.092424,0.633806,0.520463,0.880578,0.064048,0.057696,0.512057,0.000123,0.997000
0:02:50,400,100000,0.741286,0.017347,0.107845,0.217692,0.087091,0.005761,0.579092,0.051314,0.052582,0.556958,0.462341,0.488609,0.053430,0.045492,0.565916,0.000050,0.996000
0:03:25,500,100000,0.036331,0.003918,0.054793,0.000066,0.021880,0.016199,1.028160,0.063515,0.062874,0.561726,0.468895,0.828499,0.048681,0.047771,0.821623,0.000081,0.995000
0:04:00,600,100000,0.080693,0.004577,0.082904,0.003976,0.060228,0.050817,1.120395,0.036879,0.037044,0.610304,0.467478,1.002044,0.037500,0.031203,0.290798,0.000049,0.994000
0:04:36,700,100000,0.038350,0.005475,0.060541,0.004306,0.031982,0.024865,0.819756,0.039266,0.041325,0.632234,0.385178,0.890956,0.031351,0.032691,0.384735,0.000050,0.993000
0:05:13,800,100000,0.026843,0.001547,0.082042,0.003768,0.112855,0.027281,1.019103,0.032466,0.032530,0.538702,0.401108,0.952182,0.037585,0.036564,0.120560,0.000024,0.992000
0:05:48,900,100000,0.014233,0.001554,0.109208,0.000592,0.187419,0.055587,0.969477,0.025795,0.027456,0.761621,0.415737,0.699727,0.029878,0.029312,0.151263,0.000016,0.991000
0:06:23,1000,100000,0.057643,0.000520,0.230583,0.003282,0.468611,0.039870,0.979117,0.019719,0.020269,0.432968,0.323420,0.611092,0.032586,0.032564,0.224827,0.000009,0.990000
