step,domain,loss,accuracy,f1
10000,61,4.071070551872253,0.5,0.3588516746411483
10000,62,3.3765870332717896,0.5,0.3472222222222222
10000,63,3.80712628364563,0.5,0.34705882352941175
10000,64,5.134265899658203,0.5,0.3337041156840934
10000,65,3.0926565527915955,0.5,0.375
10000,66,5.000605583190918,0.45,0.31650246305418717
20000,61,2.889757215976715,0.55,0.4580163043478261
20000,62,2.086077928543091,0.475,0.36135531135531135
20000,63,3.0317704677581787,0.35,0.2985507246376812
20000,64,3.2082042694091797,0.525,0.3903133903133903
20000,65,1.5080771148204803,0.425,0.359375
20000,66,4.510540008544922,0.275,0.19471153846153846
30000,61,2.997385621070862,0.4,0.35248085248085254
30000,62,2.989813983440399,0.55,0.43946678321678323
30000,63,3.155456304550171,0.5,0.36129032258064514
30000,64,3.2633018493652344,0.5,0.34855769230769235
30000,65,3.7887725830078125,0.5,0.375
30000,66,7.872032642364502,0.275,0.19070208728652752
40000,61,1.5827681422233582,0.5,0.4523685127133403
40000,62,2.6797438859939575,0.325,0.24658961727927245
40000,63,2.567597985267639,0.4,0.333974358974359
40000,64,2.208905577659607,0.6,0.5318260368663594
40000,65,2.0984973907470703,0.4,0.3637362637362637
40000,66,5.385509967803955,0.325,0.2653288740245262
50000,61,3.66454541683197,0.525,0.40786240786240785
50000,62,3.900805950164795,0.5,0.3337041156840934
50000,63,4.760814189910889,0.475,0.3374689826302729
50000,64,2.2396844625473022,0.575,0.4850082712985939
50000,65,3.4612865447998047,0.45,0.3316770186335404
50000,66,3.356055498123169,0.475,0.42979797979797973
60000,61,1.6858901381492615,0.45,0.4479205005520795
60000,62,2.847507357597351,0.5,0.3814102564102564
60000,63,4.975944995880127,0.25,0.19230769230769232
60000,64,3.2372584342956543,0.525,0.4
60000,65,2.9943807125091553,0.525,0.4469696969696969
60000,66,6.399538278579712,0.325,0.24526515151515152
70000,61,2.1438359022140503,0.4,0.328272604588394
70000,62,3.34333997964859,0.475,0.32867132867132864
70000,63,3.4862993955612183,0.425,0.37737262737262733
70000,64,3.0444294214248657,0.55,0.4407192270095496
70000,65,1.9017550945281982,0.5,0.44761904761904764
70000,66,6.305233478546143,0.25,0.15625
80000,61,2.8219597339630127,0.4,0.3386034255599473
80000,62,2.5196655988693237,0.475,0.35327635327635326
80000,63,3.706380605697632,0.325,0.27232142857142855
80000,64,2.101274013519287,0.6,0.5164984472049688
80000,65,3.308045268058777,0.4,0.34143920595533495
80000,66,5.3542574644088745,0.275,0.18872549019607843
90000,61,1.2126715779304504,0.475,0.46096837944664026
90000,62,2.8276219964027405,0.5,0.34285714285714286
90000,63,2.339975357055664,0.425,0.3323076923076923
90000,64,2.6161211729049683,0.6,0.5074404761904762
90000,65,1.253147840499878,0.5,0.43347338935574237
90000,66,3.5750170946121216,0.325,0.2627450980392157
100000,61,3.680529475212097,0.275,0.17424242424242425
100000,62,3.241843819618225,0.45,0.3436637931034483
100000,63,4.938137531280518,0.475,0.3374689826302729
100000,64,4.6669394969940186,0.525,0.3845350052246604
100000,65,3.4159334897994995,0.475,0.3488943488943489
100000,66,6.40034031867981,0.325,0.23958333333333331
110000,61,2.163187801837921,0.525,0.484375
110000,62,3.07541561126709,0.325,0.2545969498910675
110000,63,3.361888289451599,0.35,0.30256410256410254
110000,64,2.294413208961487,0.6,0.5314201927105152
110000,65,1.7196390628814697,0.5,0.49275362318840576
110000,66,5.136163711547852,0.275,0.20692431561996777
120000,61,6.11637806892395,0.4,0.31060606060606055
120000,62,5.046931266784668,0.45,0.3325358851674641
120000,63,6.9671406745910645,0.25,0.2
120000,64,5.274210095405579,0.55,0.44074074074074077
120000,65,5.664639353752136,0.45,0.3415584415584415
120000,66,6.060551643371582,0.3,0.2236467236467236
130000,61,4.000224590301514,0.4,0.312987012987013
130000,62,4.591089248657227,0.4,0.30072463768115937
130000,63,3.962034583091736,0.3,0.27142857142857146
130000,64,3.190907597541809,0.55,0.4529569892473118
130000,65,1.8382478952407837,0.4,0.3529357116313638
130000,66,4.833032846450806,0.25,0.15625
140000,61,2.267657518386841,0.45,0.43150183150183147
140000,62,4.083747327327728,0.35,0.30953996983408744
140000,63,3.8335899114608765,0.325,0.2833333333333333
140000,64,3.08005827665329,0.625,0.568956043956044
140000,65,2.0082868933677673,0.4,0.3938618925831202
140000,66,3.918477177619934,0.3,0.22596153846153846
150000,61,3.6635451316833496,0.45,0.376984126984127
150000,62,2.1597460508346558,0.4,0.376984126984127
150000,63,3.213620662689209,0.375,0.32023809523809527
150000,64,2.4650267362594604,0.675,0.6158645276292335
150000,65,1.8702244758605957,0.45,0.39230769230769236
150000,66,4.000436544418335,0.4,0.35392385392385395
160000,61,2.620702385902405,0.475,0.4278735632183908
160000,62,3.210854709148407,0.4,0.310515873015873
160000,63,4.112510442733765,0.35,0.3271428571428571
160000,64,3.3268022537231445,0.575,0.4903846153846154
160000,65,3.581568479537964,0.275,0.22171945701357468
160000,66,4.957310676574707,0.25,0.14705882352941177
170000,61,2.2227694392204285,0.525,0.487012987012987
170000,62,2.7226444482803345,0.4,0.32404692082111436
170000,63,4.291587948799133,0.35,0.3122685185185185
170000,64,3.1729570627212524,0.55,0.46739130434782605
170000,65,1.9311883449554443,0.375,0.3844155844155844
170000,66,4.643565058708191,0.325,0.2663170163170163
