Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_dom,D/loss_gp,D/loss_td_real,D/loss_td_fake,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot,G/loss_td_fake
0:00:07,100,-1.0239,0.3495,1.1279,4.1058,0.0049,-0.0186,0.0034,-0.2497,0.2382,1.1223,4.1023,0.2551,-0.0040
0:00:10,200,-0.5406,0.1009,1.0384,4.1290,0.0020,-0.0257,0.0358,-0.0964,0.1237,1.0488,4.1205,0.1275,-0.0332
0:00:14,300,-0.3096,-0.1940,1.0187,4.1183,0.0019,-0.0171,0.0393,0.2995,0.1093,1.0063,4.1144,0.1068,-0.0477
0:00:18,400,-0.4864,-0.0901,1.0771,4.1341,0.0036,-0.0155,0.0452,0.1447,0.1100,1.1267,4.1325,0.1078,-0.0498
0:00:22,500,-0.4454,-0.1102,0.9366,4.1067,0.0032,-0.0214,0.0594,0.1673,0.0988,1.1478,4.0802,0.0962,-0.0804
0:00:25,600,-0.4758,-0.0085,0.9088,4.1114,0.0015,-0.0522,0.0682,0.0561,0.1000,0.9853,4.1197,0.0959,-0.0683
0:00:29,700,-0.4391,-0.0064,0.6677,4.1351,0.0025,-0.0632,0.0605,0.0096,0.0897,0.7367,4.1571,0.0862,-0.0685
0:00:33,800,-0.4212,-0.0544,0.6329,4.1434,0.0014,-0.0048,0.0669,0.0890,0.1006,0.8476,4.1568,0.0984,-0.0572
0:00:37,900,-0.4295,-0.0471,0.3228,4.0804,0.0016,-0.0337,0.0738,0.0304,0.0957,0.4710,4.0802,0.0908,-0.0745
0:00:40,1000,-0.3480,-0.1011,0.5499,4.1456,0.0020,-0.0342,0.0443,0.0932,0.0741,0.7762,4.1540,0.0741,-0.0422
0:01:18,1100,-0.3103,-0.0866,0.4361,4.0981,0.0018,0.0029,0.0437,0.0797,0.0712,0.4615,4.0951,0.0676,-0.0615
0:01:22,1200,-0.2944,-0.0521,0.3982,4.0874,0.0022,-0.0166,0.0362,0.0330,0.0762,0.5039,4.0974,0.0737,-0.0352
0:01:26,1300,-0.2428,-0.0651,0.5210,4.1277,0.0014,0.0230,0.0150,0.0597,0.0847,0.3072,4.1139,0.0815,-0.0452
0:01:30,1400,-0.2382,-0.1184,0.8171,4.1133,0.0022,-0.0118,0.0014,0.1464,0.0853,0.7376,4.1371,0.0872,0.0043
0:01:34,1500,-0.2241,-0.1126,0.3615,4.1105,0.0010,-0.0248,0.0192,0.1051,0.0617,0.2272,4.1245,0.0611,-0.0228
0:01:37,1600,-0.1913,-0.1692,0.5086,4.0955,0.0017,0.0158,-0.0072,0.1566,0.0736,0.1272,4.0890,0.0737,-0.0140
0:01:41,1700,-0.2150,-0.1426,0.4555,4.1250,0.0010,-0.0558,0.0236,0.1328,0.0843,0.2806,4.1402,0.0860,-0.0160
0:01:45,1800,-0.2001,-0.1724,0.4250,4.1029,0.0023,-0.0516,0.0088,0.1738,0.0811,0.2749,4.1066,0.0849,0.0001
0:01:49,1900,-0.2054,-0.1467,0.1959,4.1191,0.0009,-0.0280,0.0125,0.1361,0.0636,0.0725,4.1007,0.0604,-0.0104
