Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_dom,D/loss_gp,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot
0:00:06,100,-0.9705,0.3047,0.8209,4.1230,0.0006,-0.3614,0.2360,0.9027,4.1213,0.2692
0:00:08,200,-0.6224,0.1329,1.0948,4.1214,0.0049,-0.0684,0.1344,1.0823,4.1175,0.1602
0:00:11,300,-0.3892,-0.1914,1.1251,4.1137,0.0032,0.1529,0.1212,1.1231,4.1146,0.1660
0:00:13,400,-0.3787,-0.1720,1.1055,4.1200,0.0012,0.0859,0.0987,1.1041,4.1164,0.1236
0:00:16,500,-0.2803,-0.2753,0.5680,4.0987,0.0013,0.1838,0.1094,0.5456,4.1032,0.1239
0:00:19,600,-0.3860,-0.1935,0.8827,4.1213,0.0015,0.2070,0.1136,0.8968,4.1396,0.1360
0:00:21,700,-0.3330,-0.1440,1.0979,4.1076,0.0022,0.1555,0.1234,0.9735,4.1171,0.1517
0:00:24,800,-0.4237,-0.0707,1.0692,4.1303,0.0023,0.1036,0.1045,1.0185,4.1390,0.1169
0:00:26,900,-0.4291,-0.0211,0.9187,4.0976,0.0024,0.0429,0.1033,0.8213,4.1130,0.1227
0:00:29,1000,-0.4648,-0.0192,0.7700,4.1312,0.0049,0.0334,0.1037,0.7130,4.1485,0.1649
0:01:07,1100,-0.3850,-0.0660,0.9202,4.0928,0.0016,0.0833,0.0957,0.9851,4.1003,0.1075
0:01:10,1200,-0.3970,-0.0619,0.6144,4.1049,0.0023,0.0766,0.1011,0.7945,4.1076,0.1171
0:01:12,1300,-0.4470,0.0256,0.3737,4.1183,0.0009,-0.0360,0.0906,0.3430,4.1225,0.0963
0:01:15,1400,-0.4395,0.0751,0.4913,4.1115,0.0033,-0.0789,0.1011,0.5966,4.1239,0.1008
0:01:18,1500,-0.4219,-0.0005,0.3857,4.1036,0.0011,-0.0068,0.1102,0.4493,4.1131,0.1359
0:01:21,1600,-0.4234,0.0281,0.5007,4.1116,0.0024,-0.0429,0.0957,0.6215,4.1459,0.1075
0:01:24,1700,-0.4594,0.0548,0.5420,4.1233,0.0023,-0.0459,0.0996,0.7353,4.1457,0.1039
0:01:26,1800,-0.4769,0.0706,0.6134,4.0972,0.0011,-0.0647,0.0963,0.6663,4.0839,0.1355
0:01:29,1900,-0.4336,0.0309,0.4051,4.1137,0.0017,-0.0427,0.0999,0.3377,4.1056,0.1072
0:01:32,2000,-0.5408,0.2212,0.4523,4.1132,0.0036,-0.2098,0.0782,0.4084,4.1330,0.1050
0:02:08,2100,-0.4091,0.2002,0.3858,4.1022,0.0023,-0.2186,0.0738,0.0831,4.0984,0.0899
0:02:11,2200,-0.0615,-0.1680,0.6014,4.0875,0.0033,0.1642,0.0956,0.2807,4.0856,0.1058
0:02:14,2300,-0.0882,-0.1200,0.6313,4.1345,0.0009,0.1194,0.0801,0.2853,4.1582,0.0910
0:02:17,2400,-0.1869,-0.0478,0.5011,4.1064,0.0054,0.0526,0.0820,0.1902,4.0883,0.0994
0:02:19,2500,-0.2183,0.0049,0.2914,4.0856,0.0017,-0.0158,0.0784,0.1467,4.0996,0.1024
0:02:22,2600,-0.2508,0.0612,0.6467,4.1053,0.0014,-0.0555,0.0787,0.2425,4.1088,0.0847
0:02:24,2700,-0.2166,0.0504,0.5178,4.0974,0.0044,-0.0562,0.0896,0.2039,4.1165,0.0992
0:02:28,2800,-0.3277,0.1066,0.5732,4.0993,0.0016,-0.0954,0.0746,0.1543,4.1041,0.1169
0:02:30,2900,-0.2879,0.1470,0.4962,4.1043,0.0023,-0.1397,0.0801,0.2481,4.1123,0.0828
0:02:33,3000,-0.2519,0.0497,0.6155,4.1130,0.0017,-0.0418,0.0965,0.4180,4.1328,0.1001
0:03:11,3100,-0.3613,0.1375,0.7690,4.1112,0.0015,-0.1354,0.1034,0.2191,4.1206,0.1102
0:03:14,3200,-0.3023,0.1932,0.5525,4.1051,0.0010,-0.1912,0.1557,0.1434,4.1086,0.0862
0:03:17,3300,-0.3129,0.1552,0.3852,4.1154,0.0011,-0.1628,0.0766,0.1110,4.1099,0.0715
0:03:20,3400,-0.2784,0.1333,0.6758,4.1126,0.0008,-0.1330,0.0728,0.1777,4.1129,0.0670
0:03:22,3500,-0.3007,0.1439,0.5538,4.1262,0.0016,-0.1395,0.0659,0.2030,4.1406,0.0752
0:03:26,3600,-0.3335,0.1826,0.5494,4.0799,0.0023,-0.1795,0.0651,0.1261,4.0592,0.0739
0:03:28,3700,-0.3486,0.1933,0.2739,4.1243,0.0014,-0.2037,0.0841,0.0457,4.1178,0.0792
0:03:31,3800,-0.2901,0.1450,0.5723,4.1537,0.0014,-0.1384,0.0684,0.1312,4.1530,0.0778
0:03:34,3900,-0.3113,0.1679,0.5944,4.0905,0.0008,-0.1623,0.0717,0.1267,4.0879,0.0722
0:03:37,4000,-0.3714,0.2224,0.3897,4.1068,0.0021,-0.2283,0.0679,0.0739,4.1108,0.0743
0:04:15,4100,-0.2909,0.1755,0.6425,4.0790,0.0012,-0.1592,0.0782,0.1779,4.0931,0.0741
0:04:18,4200,-0.3055,0.1938,0.6299,4.1477,0.0015,-0.1957,0.0585,0.1626,4.1429,0.0628
0:04:20,4300,-0.3300,0.2171,0.6791,4.1271,0.0023,-0.2394,0.0705,0.0963,4.1206,0.0665
0:04:23,4400,-0.3943,0.2555,0.4680,4.1336,0.0026,-0.2350,0.0664,0.1035,4.1439,0.0756
0:04:27,4500,-0.3107,0.2085,0.4270,4.1017,0.0008,-0.2218,0.0664,0.0420,4.0824,0.0602
0:04:29,4600,-0.3083,0.1718,0.4259,4.1554,0.0018,-0.1798,0.0831,0.0986,4.1320,0.0767
0:04:32,4700,-0.3913,0.2915,0.4330,4.1173,0.0026,-0.2929,0.0509,0.0808,4.1197,0.0692
0:04:35,4800,-0.3127,0.2155,0.4410,4.1300,0.0006,-0.2097,0.0685,0.1040,4.1175,0.0592
0:04:38,4900,-0.3187,0.2297,0.2986,4.0923,0.0013,-0.2310,0.0683,0.0558,4.1271,0.0576
0:04:41,5000,-0.3462,0.2111,0.4405,4.1210,0.0017,-0.2080,0.0971,0.0703,4.1119,0.0911
0:05:18,5100,-0.3035,0.2007,0.3891,4.0992,0.0011,-0.2024,0.0592,0.0875,4.1173,0.0588
0:05:21,5200,-0.2847,0.1947,0.4624,4.1011,0.0010,-0.1917,0.0652,0.0981,4.1371,0.0574
0:05:24,5300,-0.3077,0.2063,0.6434,4.1217,0.0008,-0.2101,0.0811,0.0603,4.1226,0.0565
0:05:27,5400,-0.3312,0.2404,0.4036,4.1035,0.0008,-0.2346,0.0609,0.0452,4.1164,0.0641
0:05:30,5500,-0.3141,0.2139,0.3510,4.1356,0.0007,-0.2139,0.0670,0.1103,4.1351,0.0581
0:05:32,5600,-0.2859,0.1886,0.5223,4.1268,0.0007,-0.1900,0.0648,0.1260,4.1271,0.0524
0:05:35,5700,-0.2687,0.1948,0.1936,4.1240,0.0011,-0.2029,0.0589,0.0175,4.1192,0.0444
0:05:38,5800,-0.2859,0.1628,0.6441,4.1098,0.0009,-0.1797,0.0674,0.0720,4.1177,0.0643
0:05:41,5900,-0.2493,0.1498,0.6234,4.0908,0.0019,-0.1421,0.0542,0.1064,4.0980,0.0525
0:05:44,6000,-0.2403,0.1884,0.4446,4.1277,0.0009,-0.1853,0.0603,0.0631,4.0907,0.0487
0:06:22,6100,-0.2355,0.1712,0.3379,4.0953,0.0008,-0.1762,0.0539,0.0600,4.1020,0.0535
0:06:24,6200,-0.2693,0.1751,0.4906,4.1003,0.0020,-0.1548,0.0704,0.0660,4.0972,0.0512
0:06:27,6300,-0.2325,0.1520,0.4087,4.1273,0.0011,-0.1527,0.0557,0.1068,4.1407,0.0452
0:06:30,6400,-0.1963,0.1027,0.2924,4.1123,0.0009,-0.1101,0.0496,0.0715,4.1047,0.0415
0:06:33,6500,-0.2906,0.2021,0.6163,4.0912,0.0010,-0.1728,0.0985,0.0490,4.0929,0.0562
0:06:36,6600,-0.2204,0.1004,0.2630,4.1272,0.0026,-0.0850,0.0731,0.0718,4.1210,0.0631
0:06:38,6700,-0.2014,0.1279,0.2358,4.1009,0.0009,-0.1266,0.0672,0.0559,4.1223,0.0460
0:06:41,6800,-0.2185,0.1117,0.6168,4.0996,0.0019,-0.1066,0.0673,0.0841,4.1100,0.0585
0:06:44,6900,-0.2374,0.1715,0.2279,4.1262,0.0010,-0.1698,0.0531,0.0424,4.1429,0.0384
0:06:47,7000,-0.1789,0.1151,0.1964,4.1215,0.0009,-0.1219,0.0761,0.0365,4.1147,0.0506
0:07:25,7100,-0.1813,0.0959,0.2193,4.0999,0.0020,-0.0972,0.0507,0.0404,4.0996,0.0405
0:07:27,7200,-0.2164,0.1327,0.1818,4.1154,0.0012,-0.1286,0.0616,0.0321,4.1044,0.0462
0:07:30,7300,-0.1955,0.1484,0.1598,4.1206,0.0016,-0.1433,0.0609,0.0503,4.1260,0.0472
0:07:33,7400,-0.1699,0.0870,0.2687,4.0976,0.0011,-0.0847,0.0561,0.0990,4.0968,0.0474
0:07:36,7500,-0.2164,0.1353,0.2431,4.0866,0.0011,-0.1225,0.0571,0.0520,4.1013,0.0440
0:07:39,7600,-0.1983,0.1213,0.4355,4.1413,0.0008,-0.1158,0.0893,0.0565,4.1187,0.0523
0:07:42,7700,-0.1745,0.1147,0.3141,4.1264,0.0012,-0.1168,0.0517,0.0476,4.1227,0.0431
0:07:45,7800,-0.0365,-0.0393,0.3990,4.1226,0.0005,0.0373,0.0599,0.0476,4.1094,0.0486
0:07:48,7900,-0.0988,0.0170,0.3618,4.1176,0.0007,-0.0143,0.0593,0.0968,4.1145,0.0467
0:07:51,8000,-0.1142,0.0183,0.5079,4.1190,0.0005,-0.0160,0.0484,0.0913,4.1124,0.0398
0:08:28,8100,-0.0984,0.0279,0.3418,4.1296,0.0006,-0.0254,0.0599,0.1416,4.1253,0.0502
0:08:31,8200,-0.1334,0.0482,0.1611,4.1055,0.0008,-0.0491,0.0531,0.0682,4.1001,0.0427
0:08:34,8300,-0.1454,0.0566,0.5911,4.1302,0.0011,-0.0513,0.0640,0.1064,4.1172,0.0507
0:08:36,8400,-0.1516,0.0576,0.4377,4.1250,0.0012,-0.0598,0.0700,0.0881,4.1413,0.0512
0:08:39,8500,-0.1564,0.0591,0.3059,4.1279,0.0011,-0.0586,0.0768,0.0950,4.1281,0.0466
0:08:42,8600,-0.1230,0.0596,0.3801,4.0924,0.0009,-0.0617,0.0621,0.0798,4.0901,0.0415
0:08:45,8700,-0.1301,0.0606,0.4547,4.1395,0.0011,-0.0580,0.0553,0.0451,4.1436,0.0467
0:08:48,8800,-0.1289,0.0725,0.1354,4.1055,0.0013,-0.0732,0.0719,0.0688,4.1004,0.0489
0:08:51,8900,-0.1441,0.0510,0.2522,4.1176,0.0016,-0.0471,0.0501,0.0614,4.1122,0.0387
0:08:53,9000,-0.1295,0.0466,0.3829,4.0985,0.0005,-0.0435,0.0559,0.0830,4.1088,0.0343
0:09:31,9100,-0.1068,0.0266,0.2802,4.1428,0.0009,-0.0235,0.0462,0.0569,4.1320,0.0435
0:09:34,9200,-0.1345,0.0480,0.1614,4.1292,0.0018,-0.0496,0.0445,0.0559,4.1418,0.0372
0:09:37,9300,-0.1216,0.0465,0.2382,4.0975,0.0005,-0.0405,0.0465,0.0616,4.1063,0.0398
0:09:39,9400,-0.1463,0.0736,0.2328,4.1028,0.0014,-0.0728,0.0517,0.0282,4.1012,0.0452
0:09:43,9500,-0.1142,0.0449,0.3291,4.1612,0.0008,-0.0408,0.0546,0.0397,4.1418,0.0383
0:09:45,9600,-0.1316,0.0208,0.8216,4.1011,0.0008,-0.0097,0.0638,0.1967,4.1028,0.0468
0:09:48,9700,-0.1165,0.0364,0.2800,4.1224,0.0005,-0.0374,0.0635,0.0285,4.1126,0.0421
0:09:51,9800,-0.1539,0.0761,0.9489,4.0908,0.0014,-0.0862,0.0504,0.1486,4.0937,0.0353
0:09:54,9900,-0.1293,0.0551,0.3067,4.1174,0.0011,-0.0545,0.0655,0.0595,4.1185,0.0352
0:09:57,10000,-0.0918,0.0282,0.1903,4.1408,0.0008,-0.0276,0.0497,0.0434,4.1472,0.0417
0:13:54,10100,-0.1055,0.0232,0.4002,4.0907,0.0008,-0.0247,0.0596,0.0764,4.0886,0.0427
0:13:56,10200,-0.1075,0.0344,0.2265,4.1111,0.0008,-0.0357,0.0568,0.0254,4.1128,0.0409
0:13:59,10300,-0.1192,0.0460,0.1761,4.1242,0.0005,-0.0477,0.0480,0.0711,4.1337,0.0355
0:14:02,10400,-0.1104,0.0211,0.5681,4.0860,0.0008,-0.0222,0.0527,0.0158,4.1069,0.0461
0:14:05,10500,-0.0878,-0.0078,0.1613,4.1228,0.0008,0.0148,0.0830,0.0858,4.1345,0.0635
0:14:08,10600,-0.1315,0.0386,0.1279,4.1151,0.0003,-0.0401,0.0535,0.0446,4.1254,0.0389
0:14:11,10700,-0.1069,0.0246,0.1815,4.1256,0.0008,-0.0275,0.0551,0.0395,4.1365,0.0379
0:14:14,10800,-0.0792,0.0481,0.3167,4.0893,0.0009,-0.0454,0.0611,0.1731,4.0802,0.0355
0:14:17,10900,-0.0923,0.0313,0.1741,4.1167,0.0005,-0.0314,0.0524,0.0118,4.1377,0.0400
0:14:20,11000,-0.0952,0.0363,0.1501,4.1332,0.0013,-0.0410,0.0561,0.0774,4.1224,0.0395
0:14:56,11100,-0.0947,0.0215,0.0430,4.1203,0.0009,-0.0187,0.0536,0.0214,4.1181,0.0396
0:15:00,11200,-0.0786,-0.0384,0.4737,4.0938,0.0003,0.0434,0.0468,0.0060,4.1128,0.0413
0:15:02,11300,-0.0697,-0.0155,0.2347,4.1141,0.0007,0.0173,0.0506,0.0513,4.1151,0.0358
0:15:05,11400,-0.0577,-0.0161,0.3018,4.1518,0.0011,0.0137,0.0561,0.0330,4.1567,0.0394
0:15:08,11500,-0.0749,-0.0064,0.1291,4.1318,0.0012,0.0109,0.0557,0.0361,4.1361,0.0384
0:15:11,11600,-0.0631,-0.0195,0.3426,4.1178,0.0012,0.0224,0.0446,0.0792,4.1161,0.0307
0:15:14,11700,-0.0589,-0.0031,0.1471,4.1020,0.0016,0.0031,0.0525,0.0363,4.0923,0.0375
0:15:16,11800,-0.0549,-0.0157,0.2232,4.1164,0.0012,0.0174,0.0416,0.0548,4.1340,0.0327
0:15:19,11900,-0.0882,0.0027,0.1702,4.1232,0.0019,0.0013,0.0539,0.0636,4.1233,0.0387
0:15:22,12000,-0.0837,0.0393,0.2800,4.1245,0.0012,-0.0427,0.0636,0.0199,4.1208,0.0406
0:16:01,12100,-0.0729,-0.0131,0.2297,4.1043,0.0010,0.0165,0.0539,0.0209,4.1042,0.0392
0:16:04,12200,-0.0719,0.0040,0.2295,4.1356,0.0018,-0.0039,0.0614,0.0357,4.1331,0.0462
0:16:07,12300,-0.1065,0.0266,0.1436,4.1297,0.0009,-0.0309,0.0629,0.0307,4.1099,0.0376
0:16:10,12400,-0.1035,0.0206,0.2535,4.1358,0.0017,-0.0238,0.0652,0.0641,4.1345,0.0495
0:16:13,12500,-0.0878,0.0186,0.0814,4.1264,0.0009,-0.0189,0.0468,0.0087,4.1199,0.0335
0:16:16,12600,-0.0535,-0.0131,0.1212,4.1280,0.0013,0.0164,0.0525,0.0128,4.1171,0.0362
0:16:19,12700,-0.0820,-0.0132,0.2822,4.1067,0.0014,0.0161,0.0726,0.0491,4.1054,0.0534
0:16:21,12800,-0.0835,0.0009,0.1545,4.1162,0.0009,0.0021,0.0514,0.0160,4.1130,0.0404
