Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_dom,D/loss_gp,D/loss_sd,D/loss_td,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot,G/loss_td
0:00:06,100,-0.9307,0.2564,0.9038,4.1040,0.0030,0.2938,0.3585,-0.2674,0.2532,1.0226,4.1080,0.2795,0.4702
0:00:09,200,-0.8701,0.3822,0.9061,4.1399,0.0029,0.1078,0.0423,-0.3976,0.1403,0.9005,4.1205,0.1889,0.0262
0:00:13,300,-0.4696,0.2196,1.0289,4.1528,0.0006,0.0614,0.2980,-0.1734,0.1137,1.0613,4.1468,0.1544,0.3459
0:00:16,400,-0.1615,-0.0510,1.1564,4.1292,0.0010,0.0545,0.0219,0.0634,0.1120,1.1300,4.1130,0.1467,0.0239
0:00:19,500,-0.0880,-0.1501,1.1447,4.1290,0.0029,0.0671,0.0412,0.1327,0.0980,1.1092,4.1294,0.1204,0.0354
0:00:23,600,-0.2076,-0.0960,0.8236,4.1028,0.0028,0.0107,0.0226,0.1024,0.0999,0.8480,4.1112,0.1391,0.0265
0:00:26,700,-0.0003,-0.1007,1.1821,4.1170,0.0048,0.0313,0.0311,0.0840,0.0861,1.1659,4.1148,0.1186,0.0264
0:00:29,800,-0.0109,-0.1617,1.0333,4.1347,0.0037,0.0055,0.0747,0.1552,0.0848,1.0447,4.1292,0.0951,0.0175
0:00:32,900,-0.0232,-0.2484,1.1721,4.1555,0.0030,0.0010,0.0897,0.2555,0.0963,1.1923,4.1486,0.1208,0.0650
0:00:35,1000,-0.1298,-0.1355,0.8320,4.1455,0.0039,0.1529,0.0412,0.1439,0.0934,0.7818,4.1420,0.1482,0.0110
0:01:14,1100,-0.0769,-0.1592,1.1330,4.1154,0.0021,0.0184,0.2409,0.1871,0.0840,1.0663,4.1199,0.0824,0.0240
0:01:17,1200,-0.0650,-0.1935,0.9487,4.1253,0.0035,0.0003,0.0638,0.1880,0.0806,0.8424,4.1114,0.1066,0.0161
0:01:20,1300,-0.0330,-0.1741,0.3551,4.1300,0.0057,0.0004,0.2293,0.1699,0.0718,0.2114,4.1370,0.0892,0.0679
0:01:24,1400,0.0239,-0.2400,0.6440,4.1034,0.0022,0.0039,0.0173,0.2472,0.0721,0.5981,4.1158,0.0776,0.0048
0:01:27,1500,-0.0790,-0.1824,0.8586,4.1026,0.0016,0.1161,0.0202,0.1833,0.0886,0.8027,4.1354,0.1047,0.0055
0:01:30,1600,-0.0568,-0.1916,0.7895,4.0530,0.0011,0.0002,0.0413,0.1820,0.0685,0.7241,4.0761,0.0790,0.0053
0:01:34,1700,-0.0425,-0.1892,0.7068,4.1308,0.0022,0.0013,0.0298,0.1969,0.0694,0.6757,4.1433,0.0769,0.0025
0:01:38,1800,-0.1281,-0.1548,0.5710,4.1012,0.0034,0.0031,0.0395,0.1763,0.0903,0.4632,4.1161,0.0995,0.0050
0:01:41,1900,-0.1807,-0.0825,0.5999,4.1366,0.0022,0.0000,0.2856,0.0675,0.0694,0.5304,4.1301,0.0793,0.0140
0:01:44,2000,-0.2020,-0.0812,0.8032,4.1540,0.0031,0.0000,0.0168,0.0740,0.0963,0.6995,4.1715,0.1084,0.0022
0:02:21,2100,-0.2405,-0.0173,0.5604,4.1032,0.0016,0.0000,0.1979,0.0305,0.0854,0.7341,4.1000,0.1030,0.0052
0:02:25,2200,-0.2264,-0.0318,0.4124,4.0891,0.0019,0.0153,0.0477,0.0313,0.0810,0.4329,4.1130,0.0764,0.0051
0:02:28,2300,-0.1923,0.0014,0.6909,4.1305,0.0029,0.0503,0.0189,-0.0171,0.0962,0.3287,4.1225,0.0884,0.0172
0:02:31,2400,-0.2519,0.1388,0.6175,4.1423,0.0018,0.0232,0.0141,-0.1297,0.0838,0.4422,4.1478,0.0782,0.0035
0:02:34,2500,-0.3126,0.1418,0.3363,4.1214,0.0007,0.0035,0.0310,-0.1485,0.0864,0.2349,4.1325,0.0904,0.0110
0:02:38,2600,-0.3257,0.1043,0.3059,4.1269,0.0017,0.0002,0.0191,-0.1015,0.0965,0.2556,4.1610,0.0815,0.0022
0:02:41,2700,-0.2042,0.0424,0.8015,4.1195,0.0059,0.0010,0.0298,-0.0568,0.0827,0.3804,4.1409,0.0785,0.0083
0:02:44,2800,-0.2202,0.1043,0.5673,4.1146,0.0011,0.4530,0.0138,-0.1229,0.0929,0.2112,4.1238,0.0768,0.0060
0:02:47,2900,-0.3482,0.1866,0.6299,4.1235,0.0038,0.0000,0.2815,-0.1455,0.0749,0.3188,4.1188,0.0755,0.1038
0:02:51,3000,-0.2149,0.1133,0.3057,4.1268,0.0011,0.0000,0.0124,-0.1129,0.0564,0.1405,4.1023,0.0601,0.0027
0:03:29,3100,-0.3008,0.1918,0.5882,4.1148,0.0019,0.0052,0.0115,-0.1862,0.1050,0.2513,4.1238,0.0796,0.0041
0:03:32,3200,-0.2163,0.1235,0.5684,4.1477,0.0027,0.0004,0.0660,-0.1411,0.0791,0.2307,4.1364,0.0642,0.0138
0:03:35,3300,-0.2578,0.1362,0.8335,4.1127,0.0013,0.0001,0.0348,-0.1530,0.0688,0.2144,4.1226,0.0679,0.0027
0:03:39,3400,-0.2826,0.1520,0.2912,4.1270,0.0015,0.0015,0.0111,-0.1784,0.0888,0.0732,4.1158,0.0718,0.0013
0:03:42,3500,-0.2642,0.1619,0.6287,4.1518,0.0018,0.0001,0.0062,-0.1427,0.0751,0.1768,4.1439,0.0638,0.0023
0:03:45,3600,-0.1753,0.0553,0.6428,4.1368,0.0015,0.0327,0.0059,-0.0584,0.0826,0.1357,4.1479,0.0672,0.0035
0:03:49,3700,-0.2430,0.1482,0.2919,4.1157,0.0013,0.0106,0.0076,-0.1535,0.0912,0.1780,4.1096,0.0738,0.0012
0:03:52,3800,-0.2472,0.1528,0.5553,4.1219,0.0017,0.0000,0.0203,-0.1251,0.0654,0.1284,4.1074,0.0659,0.0035
0:03:55,3900,-0.1950,0.0754,0.6859,4.1356,0.0014,0.0002,0.0085,-0.0757,0.0722,0.1797,4.1320,0.0586,0.0040
0:03:58,4000,-0.3471,-0.1728,0.9172,4.1315,0.0042,0.0001,0.0150,0.2043,0.1864,3.1328,4.1239,0.2698,0.0054
0:04:38,4100,-0.3647,-0.0453,0.3715,4.0808,0.0451,0.0015,0.0200,0.0719,0.1175,0.1679,4.1371,0.1572,0.0074
0:04:42,4200,-0.3637,0.0173,0.2712,4.1169,0.0029,0.0003,0.0187,0.0000,0.0921,0.0977,4.1213,0.1462,0.0047
0:04:45,4300,-0.2545,0.0231,0.2651,4.1225,0.0014,0.0007,0.0292,-0.0237,0.0916,0.0296,4.1224,0.1003,0.0121
0:04:48,4400,-0.3070,0.1689,0.5236,4.1485,0.0029,0.0693,0.0122,-0.1782,0.0863,0.1554,4.1520,0.0800,0.0240
0:04:52,4500,-0.2610,0.0515,0.2761,4.1403,0.0030,0.0012,0.0079,-0.0408,0.0943,0.0396,4.1161,0.0917,0.0253
0:04:55,4600,-0.2092,0.0498,0.3830,4.1653,0.0073,0.0007,0.0094,-0.0307,0.0758,0.1437,4.1750,0.0725,0.0048
0:04:58,4700,-0.2353,0.1240,0.7844,4.1214,0.0043,0.0022,0.4274,-0.1253,0.0623,0.1376,4.1236,0.0604,0.0902
0:05:02,4800,-0.2228,0.0476,0.3413,4.1590,0.0011,0.0000,0.0052,-0.0435,0.0702,0.0923,4.1502,0.0772,0.0033
0:05:05,4900,-0.2140,0.0642,0.3792,4.1172,0.0011,0.0000,0.0058,-0.0776,0.0780,0.0730,4.1242,0.0690,0.0023
0:05:09,5000,-0.1920,0.0610,0.4429,4.1326,0.0014,0.0563,0.0060,-0.0662,0.0764,0.1385,4.1442,0.0786,0.0045
0:05:46,5100,-0.1881,0.0743,0.5105,4.1439,0.0008,0.0023,0.0168,-0.0779,0.0783,0.1084,4.1502,0.0691,0.0056
0:05:50,5200,-0.1581,0.0585,0.4669,4.1456,0.0012,0.0044,0.0061,-0.0650,0.0596,0.0947,4.1544,0.0606,0.0022
