Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_dom,D/loss_gp,D/loss_td_real,D/loss_td_fake,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot,G/loss_td_fake
0:00:07,100,0.0295,0.0092,0.9262,4.1439,0.0392,-7.1256,1.9785,-0.0177,0.2290,0.9210,4.1484,0.2435,-1.9886
0:00:11,200,-0.0571,0.0394,0.9120,4.1538,0.0170,-2.2216,-0.4599,-0.0311,0.1478,0.8860,4.1493,0.1485,0.3743
0:00:16,300,-0.0063,0.0029,1.0408,4.1791,0.0070,-1.2851,-0.5063,-0.0125,0.1248,1.0407,4.1782,0.1372,0.5779
0:00:21,400,-0.0097,0.0119,1.1806,4.1112,0.0089,-1.1017,-0.6700,0.0109,0.1137,1.1595,4.1098,0.1595,0.5484
0:00:25,500,0.0011,0.0090,1.0918,4.1344,0.0073,-0.3523,-1.3705,-0.0012,0.0990,1.0687,4.1404,0.1295,1.2189
0:00:30,600,-0.0307,-0.0021,0.8840,4.0926,0.0063,-0.4783,-1.2596,-0.0145,0.0958,0.8638,4.0931,0.1631,1.2236
0:00:34,700,0.0097,0.0074,1.1814,4.1425,0.0067,-0.4506,-1.2757,-0.0064,0.0811,1.1633,4.1274,0.1068,1.1841
0:00:39,800,0.0026,0.0048,1.0144,4.0982,0.0064,-0.5988,-1.0786,0.0041,0.0857,0.9980,4.1044,0.0994,1.0778
0:00:44,900,-0.0048,-0.0254,1.1873,4.1293,0.0064,-1.3270,-0.3313,0.0432,0.0947,1.1340,4.1287,0.1295,0.2109
0:00:48,1000,-0.0685,0.0045,0.8691,4.1055,0.0074,-0.1147,-1.5905,-0.0153,0.0959,0.7999,4.1016,0.1606,1.7735
0:01:27,1100,-0.0681,0.0389,1.1326,4.1191,0.0091,0.0289,-1.6525,-0.0338,0.0847,1.0699,4.1063,0.1027,1.5633
0:01:32,1200,0.0292,-0.0347,1.0709,4.1235,0.0102,-4.1498,3.6743,0.0154,0.1036,1.0389,4.1307,0.1217,-2.1846
0:01:36,1300,0.0517,-0.0418,0.4338,4.1412,0.0048,1.2818,-1.6606,0.0149,0.0791,0.3188,4.1472,0.0999,1.9337
0:01:41,1400,0.0769,-0.0589,0.7647,4.1138,0.0039,0.7060,-1.0592,0.0685,0.0780,0.6517,4.1203,0.0910,0.7349
0:01:46,1500,0.0169,-0.0141,0.8944,4.1003,0.0041,0.7553,-1.3611,0.0174,0.0926,0.8172,4.1041,0.1098,1.1367
0:01:50,1600,-0.0037,-0.0227,0.8438,4.1040,0.0072,-0.8943,0.6870,0.0159,0.0711,0.6830,4.1178,0.0887,-0.7592
0:01:55,1700,0.0675,-0.0402,0.6872,4.1303,0.0072,0.5272,-0.9062,0.0430,0.0737,0.6772,4.1317,0.0930,0.8581
0:02:00,1800,0.0186,-0.0669,0.5506,4.1110,0.0039,1.9000,-2.1175,0.0693,0.0936,0.5216,4.0997,0.1195,1.9905
0:02:04,1900,0.1155,-0.1196,0.6269,4.1084,0.0032,1.4832,-1.7513,0.1252,0.0714,0.5215,4.1148,0.0953,1.6530
0:02:09,2000,0.0993,-0.1411,0.8378,4.1354,0.0075,1.3173,-1.5700,0.1433,0.0977,0.6350,4.1439,0.1206,1.6496
0:02:48,2100,0.1448,-0.1457,0.5739,4.0998,0.0049,0.2659,-0.5937,0.1488,0.0799,0.5094,4.1349,0.1099,0.6504
0:02:52,2200,0.1935,-0.1982,0.4471,4.0961,0.0028,0.3309,-0.6433,0.1953,0.0819,0.3035,4.1021,0.0884,0.5596
0:02:57,2300,0.1735,-0.1813,1.1089,4.1385,0.0055,1.4856,-1.6729,0.1715,0.0881,0.3721,4.1243,0.0987,1.8832
0:03:02,2400,0.1656,-0.1692,0.7222,4.1002,0.0022,2.1919,-2.4805,0.1765,0.0793,0.4981,4.1269,0.0832,2.2624
0:03:06,2500,0.1441,-0.1568,0.3327,4.0891,0.0043,0.1510,-0.4400,0.1500,0.0813,0.1535,4.0883,0.0897,0.4504
0:03:11,2600,0.2122,-0.2087,0.3249,4.1440,0.0038,-0.1741,-0.1598,0.2024,0.0971,0.1640,4.1540,0.1046,0.3819
0:03:16,2700,0.2597,-0.2625,0.8272,4.1144,0.0053,0.5516,-0.8566,0.2656,0.0810,0.5151,4.1270,0.0878,0.4596
0:03:20,2800,0.2638,-0.2661,0.5618,4.1382,0.0021,2.8271,-2.9765,0.2722,0.1042,0.3585,4.1456,0.0870,3.1083
0:03:25,2900,0.2608,-0.2579,0.8470,4.1131,0.0060,1.9492,-2.0860,0.2570,0.0792,0.3459,4.1144,0.0765,1.8061
0:03:30,3000,0.2318,-0.2324,0.3790,4.1158,0.0018,-0.1377,-0.0076,0.2319,0.0569,0.1171,4.1410,0.0692,0.0681
0:04:08,3100,0.2587,-0.2477,0.6204,4.1063,0.0050,-1.1309,1.0644,0.2549,0.1042,0.3433,4.1188,0.0939,-1.0701
0:04:13,3200,0.2159,-0.2289,0.5719,4.1090,0.0048,1.4358,-1.6248,0.2311,0.0808,0.3410,4.1096,0.0761,1.6065
0:04:17,3300,0.2700,-0.2850,0.8200,4.1315,0.0160,-0.9628,0.8674,0.2883,0.0713,0.3190,4.1237,0.0737,-1.1191
0:04:22,3400,0.3062,-0.3135,0.3026,4.1051,0.0028,0.9532,-1.1687,0.3149,0.0890,0.0768,4.1008,0.0814,1.2434
0:04:27,3500,0.3281,-0.3304,0.6013,4.1290,0.0042,0.6912,-0.9129,0.3299,0.0756,0.1967,4.1101,0.0758,0.8516
0:04:31,3600,-0.0018,0.0017,0.4790,4.1167,0.0059,0.5511,-0.7553,-0.0050,0.0831,0.2657,4.1270,0.0754,0.9681
