Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_dom,D/loss_gp,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot
0:00:08,100,-8.9460,-0.4723,1.0610,4.0795,0.0992,0.4020,0.2723,1.1630,4.0548,0.2822
0:00:14,200,-5.9232,-1.1329,0.8436,4.1621,0.0728,1.3938,0.1767,0.8124,4.1830,0.1777
0:00:19,300,-5.9694,-0.0935,1.0869,4.1654,0.0716,0.3998,0.1542,1.0045,4.1370,0.1692
0:00:25,400,-2.9873,-2.1740,0.7168,4.0984,0.0509,1.3758,0.1326,0.7130,4.1176,0.1434
0:00:30,500,-2.1036,-2.8111,0.9270,4.1118,0.0461,2.4940,0.1290,0.9130,4.0875,0.1385
0:00:36,600,-3.1314,-2.0429,1.3763,4.0840,0.0464,2.2724,0.1228,1.2069,4.0760,0.1487
0:00:42,700,-2.4729,-2.4214,0.8241,4.1203,0.0335,2.3587,0.1241,0.8063,4.1499,0.1528
0:00:47,800,-3.1142,-2.0635,0.8817,4.1468,0.0500,1.7559,0.1072,0.8980,4.1543,0.1262
0:00:53,900,-2.2375,-1.7820,1.2973,4.1152,0.0274,2.0904,0.1246,1.2154,4.1155,0.1372
0:00:58,1000,-2.7431,-1.2201,0.8884,4.1237,0.0374,1.6137,0.1144,0.8752,4.1048,0.1747
0:01:48,1100,-2.5883,-0.9548,1.2807,4.0943,0.0240,1.3966,0.1048,1.1568,4.0932,0.1153
0:01:54,1200,-2.4280,-1.3146,0.9018,4.0906,0.0287,1.3523,0.0957,0.8884,4.1033,0.1205
0:02:00,1300,-2.3187,-1.2249,1.0949,4.1180,0.0268,1.6493,0.0999,1.0895,4.1293,0.1093
0:02:06,1400,-1.6444,-1.4821,1.2807,4.1157,0.0137,1.9299,0.0928,1.1541,4.1266,0.0969
0:02:13,1500,-2.6493,-0.1114,0.8392,4.1452,0.0347,-0.4126,0.1102,0.8363,4.1385,0.1285
0:02:19,1600,-1.8688,-0.2897,1.2556,4.1064,0.0180,0.7663,0.1044,1.1213,4.1056,0.1131
0:02:25,1700,-2.0489,0.9205,1.1942,4.0924,0.0094,-0.5018,0.1071,1.0511,4.0887,0.0989
0:02:32,1800,-2.3777,0.5172,0.9854,4.0947,0.0054,-0.5263,0.1211,0.9464,4.1004,0.1441
0:02:38,1900,-1.6704,0.5903,1.1281,4.1167,0.0151,-0.6865,0.1430,1.0257,4.1209,0.0945
0:02:44,2000,-1.2272,0.2966,0.7391,4.1260,0.0040,-0.0634,0.1111,0.7094,4.1262,0.1200
0:03:23,2100,-0.9551,0.5508,0.7441,4.1147,0.0220,-0.3751,0.1186,0.5823,4.1182,0.1366
0:03:29,2200,-1.6356,0.1094,0.5927,4.1003,0.0486,0.0390,0.0879,0.4964,4.1008,0.1050
0:03:35,2300,-0.9461,0.3642,0.8051,4.1320,0.0097,-0.3906,0.0816,0.6216,4.1195,0.0802
0:03:41,2400,-1.7999,0.3376,0.4257,4.1190,0.0070,-0.2576,0.1050,0.4307,4.1127,0.1325
0:03:47,2500,-1.6509,0.3282,1.1101,4.0985,0.0070,-0.2401,0.0918,0.7198,4.1250,0.1189
0:03:52,2600,-0.7917,-0.1031,0.7383,4.1322,0.0204,-0.1910,0.0867,0.6103,4.1447,0.0818
0:03:59,2700,-1.0330,-0.3147,0.4089,4.1106,0.0075,0.4631,0.0960,0.3931,4.1138,0.1143
0:04:05,2800,-1.5322,-0.0128,1.1852,4.0870,0.0129,-0.1055,0.1004,1.6065,4.1383,0.1344
0:04:11,2900,-0.4450,-0.3613,0.4846,4.1295,0.0064,0.2630,0.0779,0.4452,4.1271,0.0795
0:04:16,3000,0.1387,-0.8243,0.4815,4.0998,0.0231,0.6695,0.0744,0.5159,4.1070,0.0775
0:04:54,3100,-1.6199,0.1018,0.7656,4.1363,0.0103,-0.1566,0.0951,0.7473,4.1212,0.1066
0:05:00,3200,-0.6933,-0.1614,0.6768,4.1153,0.0110,0.2756,0.0908,0.7076,4.1155,0.1025
0:05:06,3300,-0.7677,-0.7827,0.4749,4.1025,0.0139,0.9067,0.0905,0.3776,4.0906,0.1094
0:05:12,3400,-0.2531,-0.4071,0.3012,4.1188,0.0066,0.5258,0.0859,0.2050,4.1320,0.0939
0:05:18,3500,-0.5492,-0.4011,0.6373,4.1132,0.0057,0.2602,0.0898,0.6127,4.1064,0.0771
0:05:24,3600,-1.3605,0.1019,0.6202,4.0844,0.0235,-0.1632,0.0855,0.3088,4.0884,0.0886
0:05:30,3700,0.1019,-0.3816,0.5307,4.0960,0.0091,0.4850,0.0835,0.3875,4.0949,0.0822
0:05:36,3800,-0.3502,-0.2200,1.2243,4.0905,0.0402,0.2088,0.0754,1.2094,4.1044,0.0861
0:05:42,3900,-0.4291,-0.4777,0.5196,4.1041,0.0131,0.5515,0.0945,0.3904,4.1011,0.0874
0:05:48,4000,-0.6371,-0.6023,0.5524,4.0948,0.0152,0.5813,0.0794,0.3965,4.0919,0.0950
0:06:26,4100,-0.4265,-0.3884,0.2526,4.0859,0.0089,0.3574,0.0735,0.2302,4.0956,0.0750
0:06:32,4200,-0.8258,-0.0041,2.0814,4.1360,0.0241,-0.2209,0.0837,1.6237,4.1302,0.0795
0:06:37,4300,-0.1513,-0.5824,0.6118,4.1328,0.0152,0.5797,0.0903,0.4255,4.1520,0.0863
0:06:43,4400,-1.0401,-0.3254,0.3963,4.1354,0.0079,0.3092,0.0876,0.1764,4.0906,0.1083
0:06:49,4500,-1.0275,-0.1810,0.5056,4.0818,0.0174,0.1151,0.0882,0.3274,4.0960,0.0858
0:06:55,4600,-0.6320,-0.2577,0.4460,4.1260,0.0071,0.2607,0.0908,0.2367,4.1143,0.0850
0:07:01,4700,-0.6577,-0.2055,0.4257,4.1231,0.0143,0.1495,0.0736,0.1653,4.1332,0.0817
0:07:07,4800,-0.8733,-0.3496,0.4782,4.0812,0.0208,0.2755,0.0783,0.3649,4.0699,0.0807
0:07:13,4900,-0.1325,-0.4687,0.5211,4.1203,0.0036,0.5235,0.0741,0.2348,4.1033,0.0681
0:07:19,5000,-0.9519,-0.4826,0.6588,4.1239,0.0041,0.4297,0.0840,0.3406,4.1132,0.0993
0:07:57,5100,-0.4264,-0.1068,0.5819,4.1136,0.0028,0.2067,0.0749,0.2554,4.0941,0.0858
0:08:03,5200,-0.0993,-0.6160,0.4259,4.1203,0.0051,0.5810,0.0827,0.2154,4.1120,0.0808
0:08:09,5300,-0.2830,-0.3862,0.1988,4.1286,0.0112,0.2956,0.0941,0.1653,4.1377,0.0738
0:08:14,5400,-0.2750,-0.2533,0.3217,4.1420,0.0049,0.2450,0.0720,0.1519,4.1381,0.0739
0:08:20,5500,-0.1509,-0.5853,0.4417,4.1297,0.0051,0.6976,0.0794,0.2191,4.1168,0.0656
0:08:26,5600,-0.1426,-0.3820,0.3960,4.1134,0.0064,0.3680,0.0886,0.0358,4.1294,0.0799
0:08:32,5700,-0.0958,-0.3739,0.2432,4.1475,0.0086,0.3213,0.0766,0.2024,4.1604,0.0580
0:08:39,5800,-0.8436,-0.1227,0.5355,4.1427,0.0058,0.1547,0.0854,0.1824,4.1578,0.1021
0:08:44,5900,-0.4300,-0.3423,0.6214,4.1323,0.0124,0.2642,0.0996,0.2735,4.1246,0.1063
0:08:50,6000,0.6733,-1.3354,0.6680,4.0817,0.0102,1.3238,0.0857,0.2703,4.1010,0.0862
0:09:29,6100,-0.3034,-0.3711,0.3049,4.1088,0.0123,0.4160,0.0864,0.0633,4.1161,0.0813
0:09:35,6200,-0.7185,-0.2045,0.3786,4.1089,0.0033,0.1354,0.0931,0.0917,4.1277,0.0872
0:09:40,6300,0.3185,-0.7830,0.3091,4.1498,0.0096,0.8657,0.0659,0.1252,4.1448,0.0589
0:09:46,6400,0.2601,-0.6475,0.1725,4.1208,0.0058,0.7050,0.0730,0.0571,4.0979,0.0570
0:09:52,6500,-0.6664,-0.5334,0.4308,4.1215,0.0158,0.5208,0.0927,0.1779,4.1291,0.0855
0:09:58,6600,-0.2241,-0.3316,0.2471,4.1338,0.0027,0.3511,0.0825,0.0863,4.1216,0.0707
0:10:04,6700,-0.1158,-0.4463,0.4626,4.0952,0.0040,0.5260,0.0745,0.1306,4.1038,0.0720
0:10:10,6800,-1.2661,-0.0370,0.4058,4.1172,0.0142,0.0825,0.0885,0.1014,4.0864,0.0860
0:10:16,6900,0.4455,-1.1726,0.4732,4.1352,0.0043,1.1834,0.0627,0.3317,4.1133,0.0690
0:10:22,7000,0.0315,-0.4488,0.2059,4.1323,0.0085,0.3502,0.0895,0.0899,4.1222,0.0695
0:11:00,7100,-0.2805,-0.2955,0.2989,4.1038,0.0074,0.3265,0.0912,0.1434,4.0889,0.0758
0:11:06,7200,-0.4245,-0.2941,0.3839,4.1250,0.0147,0.2990,0.0681,0.0848,4.1255,0.0682
