Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_dom,D/loss_gp,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot
0:00:05,100,-0.9721,0.3089,0.8209,4.1227,0.0005,-0.3710,0.2384,0.9013,4.1204,0.2680
0:00:08,200,-0.6225,0.1387,1.0940,4.1221,0.0043,-0.0820,0.1325,1.0820,4.1181,0.1614
0:00:11,300,-0.4151,-0.1607,1.1251,4.1138,0.0030,0.1197,0.1218,1.1236,4.1162,0.1662
0:00:13,400,-0.4266,-0.1185,1.1065,4.1203,0.0009,0.0322,0.0971,1.0989,4.1165,0.1233
0:00:16,500,-0.3056,-0.2524,0.5692,4.0952,0.0018,0.1562,0.1093,0.5483,4.0990,0.1242
0:00:19,600,-0.4023,-0.2030,0.8823,4.1226,0.0022,0.2121,0.1132,0.8939,4.1422,0.1380
0:00:22,700,-0.3219,-0.2082,1.0851,4.1076,0.0027,0.1969,0.1264,0.9617,4.1188,0.1565
0:00:24,800,-0.4276,-0.1026,1.0521,4.1332,0.0019,0.1319,0.1080,0.9261,4.1387,0.1197
0:00:26,900,-0.4102,-0.0902,0.9192,4.0979,0.0022,0.1107,0.1022,0.8146,4.1160,0.1242
0:00:29,1000,-0.5529,0.1017,1.1040,4.1366,0.0016,-0.0823,0.1052,0.9686,4.1507,0.1611
0:01:07,1100,-0.4479,-0.0073,0.9159,4.0949,0.0018,0.0286,0.0956,0.9666,4.1066,0.1074
0:01:10,1200,-0.4460,-0.0181,0.6218,4.0981,0.0022,0.0353,0.1039,0.7652,4.1024,0.1177
0:01:12,1300,-0.4977,0.0736,0.3755,4.1186,0.0010,-0.0939,0.0951,0.3334,4.1253,0.0962
0:01:15,1400,-0.4763,0.0212,0.4935,4.1086,0.0022,-0.0316,0.1020,0.5864,4.1199,0.1020
0:01:18,1500,-0.4862,-0.0244,0.4137,4.1071,0.0022,0.0158,0.1096,0.4577,4.1186,0.1377
0:01:21,1600,-0.4923,0.0329,0.5075,4.1027,0.0018,-0.0427,0.0951,0.5901,4.1298,0.1108
0:01:23,1700,-0.5070,0.0339,0.5374,4.1211,0.0022,-0.0288,0.0989,0.7193,4.1469,0.1091
0:01:26,1800,-0.4807,0.0120,0.6125,4.0917,0.0014,-0.0059,0.0945,0.6559,4.0795,0.1390
0:01:28,1900,-0.4459,0.0459,0.4084,4.1266,0.0018,-0.0575,0.1004,0.3209,4.1228,0.1068
0:01:31,2000,-0.4989,0.1049,0.4572,4.1093,0.0028,-0.1079,0.0804,0.5455,4.1306,0.1027
0:02:07,2100,-0.4486,0.0884,0.3810,4.1096,0.0010,-0.1073,0.0773,0.2041,4.1115,0.0976
0:02:09,2200,-0.4758,0.1715,0.5968,4.0811,0.0013,-0.1718,0.0938,0.3311,4.0814,0.1055
0:02:12,2300,-0.4256,0.1601,0.6362,4.1330,0.0015,-0.1656,0.0755,0.4920,4.1544,0.0875
0:02:15,2400,-0.4432,0.1477,0.4945,4.1089,0.0011,-0.1527,0.0804,0.3224,4.0858,0.0949
0:02:18,2500,-0.4738,0.1568,0.2846,4.0795,0.0009,-0.1645,0.0757,0.2452,4.1005,0.1001
0:02:20,2600,-0.4433,0.1922,0.6434,4.1042,0.0023,-0.1889,0.0826,0.2476,4.1020,0.0889
0:02:23,2700,-0.4839,0.3164,0.5210,4.0984,0.0031,-0.3357,0.0964,0.1879,4.1159,0.0986
0:02:25,2800,-0.5394,0.2596,0.5600,4.0942,0.0014,-0.2514,0.0741,0.1249,4.0919,0.1214
0:02:28,2900,-0.3319,0.1789,0.4972,4.1121,0.0012,-0.1775,0.0806,0.2446,4.1140,0.0811
0:02:31,3000,-0.3209,0.1416,0.6258,4.1084,0.0027,-0.1367,0.0895,0.1771,4.1258,0.0926
0:03:07,3100,-0.4264,0.2058,0.7790,4.1199,0.0022,-0.2063,0.1028,0.2240,4.1228,0.1092
0:03:09,3200,-0.3601,0.2102,0.5466,4.0999,0.0014,-0.2070,0.0732,0.1249,4.0973,0.0823
0:03:12,3300,-0.3948,0.2232,0.3881,4.1111,0.0027,-0.2154,0.0773,0.0993,4.1086,0.0758
0:03:15,3400,-0.3392,0.0819,0.6727,4.1126,0.0008,-0.0833,0.0772,0.3822,4.1161,0.0796
0:03:18,3500,-0.3240,0.1272,0.5496,4.1328,0.0010,-0.1259,0.0655,0.1833,4.1514,0.0752
0:03:20,3600,-0.3441,0.1395,0.5451,4.0928,0.0026,-0.1349,0.0617,0.0885,4.0706,0.0725
0:03:23,3700,-0.3564,0.1511,0.2865,4.1232,0.0011,-0.1666,0.0874,0.0469,4.1150,0.0786
0:03:26,3800,-0.3308,0.1619,0.5574,4.1540,0.0013,-0.1579,0.0706,0.1126,4.1561,0.0793
0:03:29,3900,-0.3387,0.1194,0.5800,4.0899,0.0011,-0.1164,0.0821,0.1209,4.0804,0.0848
0:03:31,4000,-0.3993,0.1698,0.3761,4.0983,0.0035,-0.1775,0.0732,0.0715,4.1095,0.0802
0:04:07,4100,-0.3426,0.2138,0.6252,4.0867,0.0007,-0.1984,0.0745,0.1655,4.0939,0.0728
0:04:10,4200,-0.3149,0.1744,0.6159,4.1482,0.0014,-0.1764,0.0598,0.1551,4.1511,0.0650
0:04:13,4300,-0.3399,0.1953,0.6601,4.1303,0.0019,-0.2247,0.0798,0.0985,4.1229,0.0748
0:04:15,4400,-0.3854,0.2461,0.4443,4.1257,0.0021,-0.2307,0.0676,0.1124,4.1380,0.0730
0:04:18,4500,-0.3387,0.2178,0.4113,4.1228,0.0007,-0.2400,0.0680,0.0397,4.1047,0.0674
0:04:21,4600,-0.3370,0.1834,0.4220,4.1417,0.0014,-0.1910,0.0835,0.0830,4.1266,0.0738
0:04:24,4700,-0.3946,0.2976,0.4259,4.1194,0.0012,-0.2969,0.0524,0.0767,4.1210,0.0658
0:04:26,4800,-0.3475,0.2275,0.4578,4.1199,0.0007,-0.2161,0.0736,0.0935,4.1060,0.0643
0:04:29,4900,-0.3258,0.2451,0.2888,4.0969,0.0011,-0.2487,0.0681,0.0481,4.1270,0.0652
0:04:31,5000,-0.3616,0.1785,0.4558,4.1286,0.0031,-0.1674,0.0965,0.0836,4.1197,0.1021
0:05:08,5100,-0.3035,0.1988,0.3678,4.1031,0.0020,-0.2052,0.0606,0.0685,4.1270,0.0664
0:05:10,5200,-0.3054,0.2027,0.4619,4.1102,0.0007,-0.2030,0.0680,0.0938,4.1409,0.0598
0:05:13,5300,-0.3396,0.2514,0.6485,4.1289,0.0011,-0.2546,0.0772,0.0584,4.1299,0.0564
0:05:15,5400,-0.3555,0.2557,0.3907,4.1160,0.0022,-0.2493,0.0622,0.0313,4.1267,0.0617
0:05:18,5500,-0.3266,0.2225,0.3333,4.1509,0.0010,-0.2256,0.0671,0.1017,4.1425,0.0591
0:05:21,5600,-0.2984,0.2066,0.5098,4.1281,0.0008,-0.2167,0.0608,0.0836,4.1352,0.0553
0:05:24,5700,-0.2626,0.2036,0.1921,4.1370,0.0035,-0.2198,0.0579,0.0130,4.1404,0.0449
0:05:26,5800,-0.3340,0.1867,0.6559,4.1026,0.0010,-0.2008,0.0696,0.0668,4.1172,0.0728
0:05:29,5900,-0.2897,0.1966,0.6209,4.0877,0.0011,-0.1921,0.0546,0.1002,4.0941,0.0570
0:05:32,6000,-0.2891,0.2127,0.4399,4.1149,0.0010,-0.2159,0.0600,0.0472,4.0842,0.0526
0:06:08,6100,-0.2889,0.1820,0.3457,4.1068,0.0020,-0.1783,0.0571,0.0522,4.1105,0.0637
0:06:10,6200,-0.3095,0.1841,0.4804,4.0986,0.0008,-0.1752,0.0678,0.0591,4.1049,0.0568
