Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_dom,D/loss_gp,D/loss_td_real,D/loss_td_fake,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot,G/loss_td_fake
0:00:07,100,-0.8994,0.2598,1.0907,1.7960,0.0016,0.0134,-0.0030,-0.2985,0.2306,1.2887,1.7907,0.2316,0.0047
0:00:11,200,-0.8134,0.4605,1.2013,1.7992,0.0053,0.0304,-0.0261,-0.3471,0.0936,1.6774,1.7962,0.0995,0.0255
0:00:15,300,-0.7506,0.3228,0.6272,1.7910,0.0012,0.0495,-0.0453,-0.3210,0.0821,1.0175,1.8131,0.0841,0.0420
0:00:19,400,-0.6660,0.1890,0.5485,1.8023,0.0024,0.0444,-0.0423,-0.1903,0.0743,0.8009,1.8102,0.0779,0.0421
0:00:22,500,-0.6374,0.1613,0.4921,1.7994,0.0044,0.0268,-0.0328,-0.1748,0.0773,0.6473,1.8245,0.0822,0.0323
0:00:26,600,-0.6193,0.3056,0.5672,1.8328,0.0015,0.0123,-0.0361,-0.2945,0.0589,0.6661,1.8104,0.0616,0.0341
0:00:31,700,-0.5183,0.1593,0.6939,1.8267,0.0012,0.0143,-0.0353,-0.1546,0.0552,0.9295,1.8005,0.0591,0.0368
0:00:35,800,-0.4819,0.1234,0.5282,1.7793,0.0006,-0.0018,-0.0020,-0.1194,0.0554,1.1234,1.7498,0.0619,0.0056
0:00:38,900,-0.5156,0.3169,0.4532,1.8499,0.0019,-0.0736,0.0026,-0.3284,0.0525,0.6052,1.7702,0.0482,-0.0007
0:00:42,1000,-0.4264,0.2206,0.4648,1.8187,0.0021,-0.0477,0.0244,-0.2306,0.0489,0.6594,1.8251,0.0471,-0.0192
0:01:20,1100,-0.4127,0.1722,0.4815,1.8094,0.0003,-0.0533,-0.0053,-0.1715,0.0440,0.5208,1.8257,0.0421,-0.0045
0:01:24,1200,-0.3729,0.1255,0.3531,1.8530,0.0006,-0.0832,0.0435,-0.1293,0.0466,0.4939,1.8449,0.0456,-0.0396
0:01:28,1300,-0.3794,0.1258,0.3908,1.8320,0.0030,-0.1037,0.0484,-0.1282,0.0471,0.4973,1.8363,0.0467,-0.0534
0:01:33,1400,-0.3725,0.1216,0.3239,1.7909,0.0007,-0.0862,0.0246,-0.1181,0.0556,0.3745,1.7892,0.0532,-0.0332
0:01:38,1500,-0.3823,0.1297,0.3691,1.7754,0.0009,-0.0831,0.0295,-0.1277,0.0452,0.2692,1.7499,0.0457,-0.0361
0:01:42,1600,-0.3992,0.1277,0.2925,1.8371,0.0019,-0.0935,0.0165,-0.1126,0.0546,0.4248,1.8082,0.0555,-0.0104
0:01:46,1700,-0.3865,0.1219,0.4480,1.8050,0.0017,-0.0859,0.0296,-0.1250,0.0415,0.2679,1.7822,0.0428,-0.0229
0:01:50,1800,-0.3726,0.1019,0.2868,1.8974,0.0005,-0.0978,0.0615,-0.1055,0.0415,0.3612,1.8608,0.0427,-0.0688
0:01:54,1900,-0.3913,0.1370,0.3683,1.8367,0.0008,-0.1144,0.0644,-0.1305,0.0489,0.2497,1.8086,0.0466,-0.0759
0:01:59,2000,-0.4184,0.1562,0.2884,1.8006,0.0015,-0.1185,0.0501,-0.1313,0.0439,0.2346,1.8451,0.0448,-0.0563
0:02:36,2100,-0.2969,0.0177,0.2715,1.8241,0.0022,-0.1074,-0.0075,-0.0259,0.0877,0.4322,1.7566,0.0932,0.0018
0:02:40,2200,-0.4245,0.1263,0.2284,1.8617,0.0017,-0.1193,0.0109,-0.1179,0.0586,0.3236,1.7980,0.0622,0.0028
0:02:45,2300,-0.4323,0.1843,0.3629,1.8772,0.0012,-0.1021,0.0212,-0.1727,0.0518,0.0948,1.8036,0.0525,-0.0293
0:02:48,2400,-0.4942,0.4526,0.3537,1.8219,0.0022,-0.1065,0.0369,-0.4482,0.0471,0.0777,1.7954,0.0407,-0.0368
0:02:52,2500,-0.0101,-0.0041,0.3695,1.8552,0.0010,-0.0829,0.0220,-0.0052,0.0454,0.0627,1.8087,0.0400,-0.0288
0:02:57,2600,-0.0070,-0.0046,0.2113,1.8318,0.0014,-0.0769,0.0410,0.0131,0.0414,0.0534,1.7846,0.0371,-0.0324
0:03:01,2700,0.0031,-0.0174,0.3652,1.8418,0.0008,-0.0955,0.0206,0.0197,0.0395,0.0606,1.8246,0.0346,-0.0218
0:03:05,2800,-0.0179,0.0008,0.2500,1.7979,0.0014,-0.0482,0.0186,-0.0032,0.0386,0.1019,1.7846,0.0346,-0.0213
0:03:09,2900,-0.0340,0.0155,0.2642,1.8135,0.0016,-0.0768,0.0590,-0.0110,0.0366,0.0264,1.7879,0.0318,-0.0533
0:03:14,3000,-0.0068,-0.0105,0.1647,1.7975,0.0012,-0.0730,0.0495,0.0124,0.0341,0.0159,1.8086,0.0292,-0.0426
0:03:50,3100,-0.0022,-0.0048,0.1489,1.8143,0.0011,-0.1002,0.0410,0.0146,0.0290,0.0152,1.8079,0.0251,-0.0391
0:03:54,3200,-0.0279,0.0048,0.1587,1.8308,0.0024,-0.1036,0.0323,-0.0094,0.0321,0.0352,1.7924,0.0285,-0.0407
0:03:59,3300,-0.0633,-0.0308,0.0847,1.8419,0.0014,-0.0866,0.0368,0.0363,0.0785,0.0185,1.8562,0.0758,-0.0368
0:04:03,3400,-0.1085,0.0377,0.2787,1.8190,0.0018,-0.0815,0.0813,-0.0251,0.0593,0.1579,1.8977,0.0518,-0.0833
0:04:07,3500,-0.1346,0.0961,0.0853,1.7711,0.0015,-0.1133,0.0405,-0.0986,0.0389,0.0191,1.7984,0.0342,-0.0426
0:04:12,3600,-0.1472,0.1229,0.1348,1.8357,0.0016,-0.1242,0.0787,-0.1194,0.0368,0.0192,1.8084,0.0319,-0.0547
0:04:16,3700,-0.1633,0.1314,0.2270,1.8329,0.0015,-0.0834,0.0503,-0.1398,0.0382,0.0332,1.8046,0.0340,-0.0482
0:04:20,3800,-0.1708,0.1406,0.0927,1.8519,0.0024,-0.0829,0.0655,-0.1478,0.0321,0.0231,1.7968,0.0285,-0.0584
0:04:24,3900,-0.2031,0.1663,0.2080,1.8847,0.0015,-0.0857,0.0079,-0.1724,0.0355,0.0148,1.7948,0.0304,-0.0270
0:04:29,4000,-0.2288,0.1912,0.0868,1.8930,0.0017,-0.1130,0.0436,-0.1867,0.0337,0.0125,1.8490,0.0282,-0.0312
0:05:05,4100,-0.1731,0.1398,0.1301,1.7857,0.0010,-0.0985,0.0014,-0.1445,0.0350,0.0101,1.7821,0.0315,-0.0089
0:05:09,4200,-0.2156,0.1809,0.1284,1.7915,0.0007,-0.0896,0.0324,-0.1841,0.0348,0.0191,1.8027,0.0303,-0.0145
0:05:14,4300,-0.2404,0.1960,0.1581,1.8157,0.0009,-0.1006,0.0239,-0.1949,0.0350,0.0051,1.7893,0.0307,-0.0416
0:05:18,4400,-0.2430,0.1878,0.0606,1.8648,0.0017,-0.1035,0.0736,-0.1919,0.0347,0.0045,1.7625,0.0295,-0.0646
0:05:22,4500,-0.1823,0.1572,0.0589,1.8463,0.0010,-0.1541,0.0273,-0.1538,0.0291,0.0058,1.8463,0.0244,-0.0130
0:05:26,4600,-0.1543,0.1279,0.1419,1.8346,0.0024,-0.1210,0.0279,-0.1453,0.0310,0.0060,1.7960,0.0273,-0.0268
0:05:30,4700,-0.1863,0.1537,0.1108,1.9401,0.0015,-0.1093,0.0636,-0.1657,0.0304,0.0053,1.9287,0.0257,-0.0574
0:05:34,4800,-0.1760,0.1410,0.0408,1.8423,0.0013,-0.1062,0.0326,-0.1351,0.0300,0.0056,1.8181,0.0252,-0.0311
0:05:39,4900,-0.1559,0.1064,0.1565,1.9306,0.0020,-0.1395,0.0538,-0.1292,0.0304,0.0031,1.9408,0.0259,-0.0583
0:05:43,5000,-0.1940,0.1392,0.0287,1.8643,0.0009,-0.1147,0.0535,-0.1366,0.0290,0.0283,1.8243,0.0244,-0.0511
0:06:21,5100,-0.1696,0.1268,0.0333,1.8925,0.0014,-0.0367,0.0454,-0.1220,0.0274,0.0091,1.8412,0.0234,-0.0324
0:06:26,5200,-0.1675,0.1259,0.0365,1.8480,0.0008,-0.0956,0.0417,-0.1366,0.0280,0.0022,1.8578,0.0235,-0.0381
0:06:30,5300,-0.1647,0.1172,0.0462,1.9200,0.0012,-0.0939,0.0554,-0.1013,0.0302,0.0052,1.8556,0.0250,-0.0524
0:06:34,5400,-0.1350,0.0881,0.0221,1.8566,0.0017,-0.1131,0.0363,-0.0937,0.0267,0.0060,1.8600,0.0221,-0.0376
0:06:38,5500,-0.1658,0.1128,0.1542,1.7753,0.0008,-0.0857,0.0520,-0.1029,0.0270,0.0087,1.7227,0.0223,-0.0648
0:06:42,5600,-0.1480,0.0980,0.0620,1.9340,0.0010,-0.0980,0.0708,-0.0879,0.0291,0.0069,1.8914,0.0236,-0.0855
0:06:46,5700,0.0910,-0.1009,0.0489,1.8518,0.0071,-0.0460,0.0511,0.0921,0.0270,0.0076,1.8370,0.0220,-0.0396
0:06:50,5800,0.0763,-0.0774,0.0311,1.8389,0.0035,-0.0701,0.0292,0.0791,0.0247,0.0066,1.8153,0.0206,-0.0268
0:06:55,5900,0.0648,-0.0706,0.0487,1.7859,0.0018,-0.0996,0.0606,0.0704,0.0252,0.0089,1.8204,0.0201,-0.0571
0:06:59,6000,0.0629,-0.0727,0.0257,1.8411,0.0007,-0.1079,0.0427,0.0740,0.0251,0.0057,1.8152,0.0207,-0.0391
0:07:36,6100,0.0679,-0.0815,0.0417,1.8137,0.0017,-0.0498,0.0525,0.0815,0.0251,0.0038,1.8319,0.0204,-0.0516
0:07:40,6200,0.0997,-0.1256,0.1170,1.8864,0.0019,-0.0397,0.0219,0.1320,0.0371,0.0018,1.8325,0.0302,-0.0324
0:07:44,6300,0.0838,-0.1096,0.0288,1.8215,0.0008,-0.0539,0.0392,0.1069,0.0267,0.0016,1.7880,0.0222,-0.0343
0:07:48,6400,0.0604,-0.0960,0.0432,1.7565,0.0008,-0.0299,0.0271,0.0992,0.0245,0.0083,1.7697,0.0207,-0.0280
0:07:53,6500,0.0626,-0.0898,0.0244,1.7651,0.0011,-0.0639,0.0260,0.0872,0.0213,0.0074,1.7577,0.0173,-0.0201
0:07:57,6600,0.0105,-0.0217,1.8765,1.8159,0.0032,0.0514,0.0656,0.0128,0.0684,2.4512,1.8058,0.0629,-0.1072
0:08:01,6700,0.0076,-0.0641,0.0349,1.8373,0.0019,-0.0700,0.0473,0.0633,0.0315,0.0076,1.8188,0.0262,-0.0483
0:08:06,6800,0.0030,-0.0479,0.1293,1.8421,0.0007,-0.1002,0.0492,0.0490,0.0282,0.0023,1.8010,0.0228,-0.0511
0:08:09,6900,-0.0039,-0.0441,0.0815,1.8579,0.0014,-0.0661,0.0447,0.0477,0.0264,0.0020,1.7813,0.0217,-0.0565
0:08:13,7000,0.0101,-0.0419,0.0602,1.7937,0.0018,-0.0594,0.0159,0.0443,0.0224,0.0039,1.8056,0.0184,-0.0300
0:08:51,7100,-0.0141,-0.0302,0.0043,1.8761,0.0012,-0.0877,0.0583,0.0388,0.0257,0.0026,1.7971,0.0205,-0.0596
