Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_dom,D/loss_gp,D/loss_td_real,D/loss_td_fake,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot,G/loss_td_fake
0:00:06,100,-0.8796,0.1630,1.1320,1.7959,0.0004,0.0066,-0.0028,-0.2399,0.2225,1.2251,1.7883,0.2835,0.0037
0:00:10,200,-0.7268,0.1683,1.3722,1.7965,0.0071,0.0298,-0.0314,-0.0754,0.1145,1.4776,1.7882,0.1510,0.0334
0:00:14,300,-0.7192,0.1329,1.1812,1.7984,0.0043,0.0530,-0.0448,-0.0449,0.0984,1.3405,1.7982,0.1690,0.0458
0:00:18,400,-0.6922,0.2690,1.3128,1.8037,0.0098,0.0213,-0.0215,-0.2829,0.0899,1.2484,1.8096,0.1233,0.0272
0:00:22,500,-0.4395,0.0436,1.3581,1.7901,0.0095,0.0307,-0.0077,-0.0443,0.0905,1.0785,1.7902,0.1160,0.0289
0:00:26,600,-0.4789,0.0733,0.7108,1.8139,0.0034,0.0098,0.0077,-0.0823,0.0773,0.7991,1.8131,0.1268,-0.0058
0:00:30,700,-0.4688,0.1496,0.7837,1.7997,0.0014,0.0032,0.0197,-0.1799,0.0589,0.8132,1.7975,0.1191,-0.0195
0:00:34,800,-0.6210,0.3926,0.5876,1.7738,0.0032,0.0171,0.0017,-0.4510,0.0646,0.6061,1.7616,0.0903,-0.0021
0:00:38,900,-0.5847,0.2899,0.6737,1.8177,0.0022,0.0054,0.0079,-0.2884,0.0597,0.7432,1.7900,0.1052,-0.0098
0:00:42,1000,-0.5617,0.2982,0.6899,1.8031,0.0026,-0.0057,0.0228,-0.2464,0.0672,0.6472,1.8204,0.1578,-0.0266
0:01:21,1100,-0.5106,0.2495,0.6511,1.8005,0.0008,-0.0052,0.0236,-0.2436,0.0578,0.7135,1.7950,0.0955,-0.0253
0:01:25,1200,-0.5189,0.2725,0.4178,1.8317,0.0009,-0.0208,0.0316,-0.2765,0.0580,0.4941,1.8350,0.0905,-0.0314
0:01:29,1300,-0.6287,0.3650,0.6089,1.8058,0.0014,-0.0094,0.0290,-0.3989,0.0555,0.5211,1.8162,0.0742,-0.0280
0:01:33,1400,-0.5182,0.2382,0.4725,1.7803,0.0014,-0.0153,0.0266,-0.2580,0.0604,0.3738,1.7841,0.0769,-0.0239
0:01:37,1500,-0.5888,0.2927,0.5691,1.7640,0.0023,-0.0120,0.0301,-0.2919,0.0553,0.6233,1.7532,0.0871,-0.0290
0:01:41,1600,-0.5285,0.2877,0.6765,1.7940,0.0011,-0.0143,0.0329,-0.3206,0.0537,0.5980,1.8179,0.0659,-0.0359
0:01:46,1700,-0.5765,0.2984,0.6416,1.7983,0.0008,-0.0269,0.0384,-0.3128,0.0511,0.5940,1.7766,0.0705,-0.0352
0:01:49,1800,-0.5195,0.2196,0.4406,1.8432,0.0008,-0.0226,0.0374,-0.1915,0.0563,0.5079,1.8309,0.1228,-0.0403
0:01:53,1900,-0.6308,0.3070,0.5110,1.8287,0.0009,-0.0323,0.0476,-0.3247,0.0498,0.6261,1.8289,0.0830,-0.0477
0:01:57,2000,-0.6811,0.4013,0.5784,1.7812,0.0031,-0.0001,0.0194,-0.3827,0.0569,0.5903,1.7976,0.0982,-0.0195
0:02:36,2100,-0.6234,0.3241,0.5207,1.7892,0.0011,-0.0240,0.0429,-0.3222,0.0490,0.5522,1.7794,0.0903,-0.0431
0:02:39,2200,-0.5692,0.2519,0.8407,1.8172,0.0036,-0.0224,0.0456,-0.2875,0.0512,0.5185,1.7872,0.0950,-0.0496
0:02:43,2300,-0.4599,0.1719,0.5234,1.8273,0.0017,-0.0243,0.0421,-0.2153,0.0651,0.9278,1.8230,0.0983,-0.0415
0:02:48,2400,-0.5145,0.2583,0.5118,1.7930,0.0010,-0.0286,0.0479,-0.2675,0.0476,0.5980,1.7775,0.0627,-0.0480
0:02:52,2500,-0.5181,0.2247,0.4387,1.8194,0.0018,-0.0370,0.0574,-0.2363,0.0499,0.4200,1.8166,0.0801,-0.0598
0:02:55,2600,-0.5708,0.3787,0.5251,1.8051,0.0033,-0.0171,0.0414,-0.3797,0.0570,0.4003,1.7897,0.0767,-0.0423
0:03:00,2700,-0.6588,0.4291,0.5587,1.8126,0.0060,-0.0200,0.0437,-0.3788,0.0542,0.4531,1.8006,0.1026,-0.0436
0:03:04,2800,-0.5807,0.3625,0.6293,1.7798,0.0004,-0.0164,0.0444,-0.3774,0.0529,0.4996,1.8050,0.0899,-0.0493
0:03:08,2900,-0.4828,0.3628,0.4732,1.8498,0.0006,-0.0224,0.0421,-0.3827,0.0559,0.2519,1.8493,0.0651,-0.0428
0:03:12,3000,-0.6002,0.4271,0.5283,1.7793,0.0009,-0.0043,0.0350,-0.4074,0.0584,0.4041,1.7818,0.0876,-0.0346
0:03:51,3100,-0.6933,0.3546,0.5043,1.8125,0.0011,-0.0031,0.0371,-0.3386,0.0467,0.3823,1.8273,0.1442,-0.0375
0:03:54,3200,-0.6847,0.5315,0.6394,1.8188,0.0027,-0.0010,0.0288,-0.5603,0.0496,0.5346,1.7838,0.0727,-0.0293
0:03:59,3300,-0.5931,0.4858,0.3918,1.8602,0.0043,-0.0086,0.0446,-0.4332,0.0443,0.2492,1.8470,0.0573,-0.0456
0:04:04,3400,-0.5726,0.3942,0.5230,1.8113,0.0014,-0.0154,0.0430,-0.3913,0.0530,0.3567,1.8232,0.0686,-0.0424
0:04:08,3500,-0.5718,0.4498,0.5771,1.7915,0.0016,-0.0007,0.0401,-0.4165,0.0497,0.2857,1.7959,0.0559,-0.0379
0:04:12,3600,-0.5685,0.3887,0.3125,1.8398,0.0074,-0.0030,0.0382,-0.3843,0.0468,0.1988,1.8156,0.0689,-0.0369
0:04:16,3700,-0.5122,0.3707,0.5148,1.8133,0.0020,-0.0082,0.0401,-0.3558,0.0487,0.3409,1.8189,0.0669,-0.0424
0:04:20,3800,-0.2924,0.2504,0.6170,1.8436,0.0021,-0.0146,0.0520,-0.2301,0.0403,0.1799,1.8059,0.0520,-0.0514
0:04:24,3900,-0.4801,0.2989,0.5064,1.8635,0.0012,-0.0164,0.0489,-0.3018,0.0472,0.1743,1.7990,0.0614,-0.0500
0:04:28,4000,-0.4420,0.3142,0.5733,1.8083,0.0022,-0.0046,0.0430,-0.3239,0.0452,0.2167,1.8145,0.0630,-0.0440
0:05:06,4100,-0.4092,0.3261,0.6301,1.7955,0.0027,-0.0125,0.0439,-0.3556,0.0466,0.1681,1.7617,0.0525,-0.0474
