step,domain,loss,accuracy,f1
10000,6,6.575885477273134,0.325,0.20614231371671515
10000,7,9.312100682939802,0.25,0.1
10000,8,4.649363283600118,0.405,0.2666398282340311
10000,9,14.9045102255685,0.25,0.1
10000,10,10.261674199785505,0.25,0.1
10000,11,3.0989713072776794,0.435,0.32037615101359107
10000,12,10.459287779671806,0.25,0.1
10000,13,8.695852892739433,0.25,0.10080645161290322
10000,14,13.207352774483818,0.25,0.1
10000,15,14.325881958007812,0.25,0.1
10000,16,3.7038739989958622,0.365,0.23471173328421444
10000,17,5.019334593521685,0.25,0.1
10000,18,12.314885343824114,0.25,0.1
10000,19,15.706385294596354,0.2604166666666667,0.10761019283746558
10000,20,10.580092361995153,0.25,0.1
20000,6,4.084664267530376,0.395,0.26024399329484077
20000,7,8.530470848083496,0.25,0.1
20000,8,5.250851541757584,0.46,0.30759651307596514
20000,9,3.400550249589417,0.395,0.27638455895837155
20000,10,8.061000176838466,0.255,0.11138758782201405
20000,11,6.413532078266144,0.435,0.31668806161745827
20000,12,4.512090176876102,0.255,0.13
20000,13,6.630905253546579,0.285,0.16
20000,14,1.321546821721962,0.6,0.5285829307568437
20000,15,8.687513862337385,0.25,0.1
20000,16,5.516818281789905,0.265,0.1311111111111111
20000,17,3.2666361869445217,0.485,0.32899140660334697
20000,18,4.123197223991156,0.375,0.2455357142857143
20000,19,6.060018142064412,0.2604166666666667,0.12169003115264798
20000,20,9.911504813602992,0.25,0.1
30000,6,5.624810932071081,0.485,0.3654207505967193
30000,7,3.8164137990346734,0.33,0.24936793560618484
30000,8,4.507242263182498,0.5,0.3731528931787651
30000,9,4.5152225973350095,0.465,0.33116155247302786
30000,10,4.3738303338839,0.48,0.32629870129870125
30000,11,5.631067031749159,0.5,0.356193009118541
30000,12,4.512834651690874,0.44,0.3414484451718494
30000,13,3.3712405604975566,0.51,0.36037720691932806
30000,14,4.7944672191515565,0.5,0.3588516746411483
30000,15,5.87519109249115,0.475,0.3468508615567439
30000,16,4.1103942471173855,0.5,0.36793563579277866
30000,17,5.350136802781241,0.505,0.385432062272145
30000,18,6.583860225289494,0.5,0.3731528931787651
30000,19,3.766261418660482,0.3125,0.21063288381948161
30000,20,5.891707289383703,0.5,0.35492877762528985
40000,6,3.02699505005564,0.48,0.39230470872908235
40000,7,5.552244050162179,0.33,0.20990180032733224
40000,8,2.063161315088753,0.66,0.6232865048957003
40000,9,3.144560210338568,0.41,0.33658008658008653
40000,10,3.5519970474498592,0.435,0.31371406371406374
40000,11,2.3841451520898502,0.525,0.4120490620490621
40000,12,3.7313322360288503,0.38,0.3468503680541984
40000,13,4.960287830982712,0.5,0.3720015925151786
40000,14,2.008859717420169,0.465,0.31083318417755507
40000,15,2.9079958088696003,0.49,0.3968076616121309
40000,16,3.0249121062307887,0.515,0.438931654644474
40000,17,3.542133806705741,0.525,0.46641248905808397
40000,18,3.795527326735152,0.53,0.4676470588235294
40000,19,3.884515643119812,0.2916666666666667,0.17827888810970857
40000,20,5.613456741066459,0.5,0.3616898148148148
50000,6,2.805344163307122,0.535,0.47493418514783814
50000,7,5.500257296221597,0.485,0.36200778670346456
50000,8,2.039099001990896,0.57,0.49384122581071266
50000,9,3.3717150313147743,0.505,0.38359130030650124
50000,10,2.2202246811773065,0.49,0.4158757338551859
50000,11,2.8419112360903176,0.54,0.4716313119207415
50000,12,3.0213618976246965,0.47,0.41230899830220713
50000,13,2.9993641887392317,0.43,0.31837311412439834
50000,14,1.6340684507574355,0.55,0.4645010862496022
50000,15,3.6044214027268544,0.395,0.31363944321261394
50000,16,2.789282269044114,0.6,0.5389643463497453
50000,17,3.2318800235433236,0.54,0.485426731078905
50000,18,3.1932800699358785,0.51,0.4464404978749241
50000,19,3.609743556007743,0.296875,0.18698819845857417
50000,20,2.915022431207554,0.43,0.3332272421466646
60000,6,3.361466878226825,0.545,0.4753288612712047
60000,7,5.359583854675293,0.305,0.20096902529127594
60000,8,2.3074007430862236,0.635,0.5780536056618187
60000,9,3.8709583596563397,0.495,0.4167422867513612
