step,domain,loss,accuracy,f1
5,6,1.7634938997881753,0.25,0.1
5,7,1.5212283219609941,0.25,0.1
5,8,1.440895438194275,0.13,0.07566204287515763
5,9,1.382594347000122,0.335,0.26469098277608916
5,10,1.5006994775363378,0.25,0.1
5,11,1.3908592973436629,0.235,0.2338317847464189
5,12,1.428597824914115,0.245,0.09879032258064518
5,13,1.4055968352726527,0.25,0.1
5,14,1.4394475051334925,0.21,0.09419896991054488
5,15,1.3907559258597237,0.29,0.18493187862997337
5,16,1.500423686844962,0.115,0.051569506726457395
5,17,1.4596834012440272,0.34,0.22997835497835495
5,18,1.3510333469935827,0.25,0.1
5,19,1.3913118640581768,0.2604166666666667,0.10761019283746558
5,20,1.3623697587421961,0.25,0.1
