Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_gp,G/loss_fake,G/loss_rec,G/loss_cls
0:00:06,100,-4.3056,-0.6835,1.4884,0.0361,0.1200,0.3029,1.6869
0:00:10,200,-3.0616,-0.1526,1.1687,0.0406,-0.1398,0.1493,1.3479
0:00:14,300,-2.0333,-0.7339,1.0624,0.0271,0.7004,0.1205,1.6686
0:00:18,400,-2.3128,0.2033,0.8347,0.0323,0.6877,0.1078,0.9978
0:00:23,500,-1.3093,-0.8751,1.0545,0.0064,0.8423,0.0929,0.9340
0:00:27,600,-1.9832,-0.3601,0.8921,0.0133,0.3066,0.0876,0.8727
0:00:32,700,-1.9842,-0.3276,1.1453,0.0121,0.3961,0.0913,0.8577
0:00:36,800,-0.7244,-1.5403,0.8251,0.0091,1.5446,0.0902,0.7565
0:00:40,900,-0.9377,-0.9665,0.7586,0.0106,0.9454,0.0903,0.5677
0:00:45,1000,-0.8292,-0.7446,1.1254,0.0078,0.8196,0.0681,0.8227
0:01:00,1100,-0.7864,-0.7841,0.6390,0.0046,0.8607,0.0829,0.5663
0:01:05,1200,-0.9260,-0.6854,0.6263,0.0104,0.6626,0.0728,0.5517
0:01:09,1300,-0.8491,-0.7174,0.9260,0.0038,0.8245,0.0653,0.5427
0:01:13,1400,-0.6889,-0.8835,0.9082,0.0096,0.8697,0.0653,0.5864
0:01:18,1500,-0.9118,-0.6109,0.6966,0.0023,0.7062,0.0756,0.7117
0:01:23,1600,-0.8164,-0.7686,0.5965,0.0035,0.7943,0.0712,0.4287
0:01:27,1700,-0.7336,-0.9091,0.7647,0.0089,0.8363,0.0597,0.5838
0:01:31,1800,-1.0216,-0.2858,0.6181,0.0165,0.6522,0.0711,0.4173
0:01:36,1900,-0.5011,-1.0932,0.7097,0.0064,1.0800,0.0646,0.4842
0:01:40,2000,-0.4327,-1.1562,0.3912,0.0052,1.1882,0.0782,0.3051
0:01:56,2100,-0.4743,-1.1283,0.4896,0.0040,1.1818,0.0650,0.3587
0:02:01,2200,-0.2913,-0.5294,0.6754,0.0034,0.5947,0.0611,0.4788
0:02:05,2300,-0.3148,0.1239,0.9333,0.0116,-0.0903,0.0638,0.4870
0:02:10,2400,-0.2395,-0.0435,0.5842,0.0043,0.1592,0.0554,0.3908
0:02:15,2500,-0.1295,-0.0726,0.6129,0.0040,0.1071,0.0660,0.3294
0:02:19,2600,-0.0595,-0.1606,0.5819,0.0086,0.0520,0.0623,0.3515
0:02:24,2700,0.0943,-0.2204,0.6829,0.0018,0.0854,0.0528,0.4561
0:02:28,2800,0.0733,-0.2024,0.6618,0.0058,0.1566,0.0452,0.2674
0:02:33,2900,0.3557,-0.5080,0.3879,0.0167,0.2710,0.0583,0.3309
0:02:37,3000,0.1941,-0.3624,0.7559,0.0143,0.2102,0.0575,0.2217
0:02:53,3100,-0.0913,-0.1081,0.9043,0.0038,0.0721,0.0525,0.2908
0:02:58,3200,0.0543,-0.2686,0.7287,0.0096,0.2703,0.0520,0.2039
0:03:02,3300,-0.0136,-0.1451,0.4308,0.0037,0.0971,0.0594,0.0787
0:03:07,3400,-0.0820,-0.0871,0.3534,0.0037,0.1970,0.0519,0.1513
0:03:11,3500,-0.0829,-0.0900,0.2925,0.0036,0.0775,0.0530,0.1478
0:03:16,3600,-0.0493,-0.1300,0.6190,0.0043,0.0872,0.0522,0.1020
0:03:21,3700,0.0250,-0.1637,0.2605,0.0039,0.1405,0.0489,0.0670
0:03:25,3800,0.0808,-0.2403,0.3117,0.0032,0.2262,0.0539,0.1116
0:03:30,3900,0.0771,-0.1694,0.3896,0.0053,0.2200,0.0437,0.0555
0:03:34,4000,0.0314,-0.1884,0.3795,0.0042,0.1400,0.0463,0.0955
0:03:50,4100,0.0334,-0.2273,0.3753,0.0049,0.1616,0.0466,0.1238
0:03:55,4200,-0.2438,0.0318,0.5857,0.0098,-0.0322,0.0493,0.1253
0:03:59,4300,-0.0385,-0.0999,0.3951,0.0044,0.1175,0.0432,0.0365
0:04:04,4400,-0.0552,-0.0932,0.3324,0.0086,0.0583,0.0430,0.1103
0:04:09,4500,-0.8730,0.8181,0.6830,0.0086,-0.8222,0.0559,0.0800
0:04:13,4600,-0.7948,0.6109,0.2817,0.0033,-0.6343,0.0490,0.0744
0:04:18,4700,-0.6221,0.4756,0.2672,0.0049,-0.4938,0.0460,0.0989
0:04:22,4800,-0.5794,0.4432,0.3085,0.0045,-0.4287,0.0448,0.1028
0:04:27,4900,-0.5283,0.3249,0.1470,0.0045,-0.3281,0.0380,0.0310
0:04:32,5000,-0.4311,0.1980,0.2274,0.0047,-0.2342,0.0437,0.0789
0:04:47,5100,-0.4373,0.1788,0.2220,0.0037,-0.2203,0.0515,0.0374
0:04:52,5200,-0.4463,0.2551,0.4432,0.0028,-0.2435,0.0417,0.0600
0:04:56,5300,-0.5265,0.2842,0.2796,0.0070,-0.1943,0.0484,0.0604
0:05:01,5400,-0.4780,0.2928,0.1803,0.0029,-0.3068,0.0425,0.0225
0:05:06,5500,-0.4856,0.2527,0.2021,0.0056,-0.2947,0.0466,0.0591
0:05:10,5600,-0.4099,0.2661,0.3177,0.0047,-0.2752,0.0391,0.0491
0:05:15,5700,-0.4648,0.3238,0.1280,0.0051,-0.3871,0.0440,0.0418
0:05:19,5800,-0.4330,0.2594,0.1333,0.0046,-0.2367,0.0425,0.0573
0:05:24,5900,-0.4914,0.3179,0.0903,0.0081,-0.2664,0.0411,0.0121
0:05:28,6000,-0.4290,0.2110,0.2594,0.0056,-0.1603,0.0513,0.0280
0:05:44,6100,-0.4722,0.2959,0.8156,0.0025,-0.2708,0.0449,0.0360
0:05:49,6200,-0.3820,0.1748,0.3888,0.0019,-0.1620,0.0417,0.0277
0:05:53,6300,-0.1327,-0.0042,0.0607,0.0109,-0.0621,0.0422,0.0513
0:05:58,6400,-0.4074,0.2371,0.6350,0.0029,-0.2150,0.0439,0.0534
0:06:03,6500,-0.3534,-0.0528,0.5551,0.0033,0.0799,0.0610,0.0571
0:06:07,6600,-0.4139,0.1488,0.0520,0.0084,-0.0914,0.0435,0.0320
0:06:12,6700,-0.3788,0.1532,0.2961,0.0029,-0.1132,0.0468,0.0429
0:06:16,6800,-0.3330,0.1482,0.1903,0.0061,-0.1366,0.0408,0.0183
0:06:21,6900,-0.4549,0.2389,0.0602,0.0066,-0.2291,0.0444,0.0240
0:06:25,7000,-0.3745,0.1597,0.0644,0.0056,-0.1628,0.0440,0.0194
0:06:41,7100,-0.4349,0.2188,0.1157,0.0039,-0.1665,0.0441,0.0159
0:06:46,7200,-0.3121,0.0668,0.0364,0.0065,-0.1553,0.0465,0.0281
0:06:50,7300,-0.2888,0.0528,0.1358,0.0058,-0.0919,0.0450,0.0375
0:06:55,7400,-0.3741,0.1157,0.1005,0.0060,-0.0346,0.0423,0.1519
0:06:59,7500,-0.3155,0.0733,0.2589,0.0037,-0.1108,0.0432,0.0479
0:07:04,7600,-0.3665,0.1636,0.4879,0.0068,-0.1601,0.0442,0.0677
0:07:08,7700,-0.3866,0.1549,0.0315,0.0043,-0.1209,0.0429,0.0244
0:07:13,7800,-0.4291,0.2789,0.0636,0.0034,-0.2136,0.0444,0.0085
0:07:18,7900,-0.2793,0.0679,0.1177,0.0076,-0.0709,0.0384,0.0219
0:07:22,8000,-0.2877,0.1193,0.3623,0.0032,-0.1242,0.0381,0.0116
0:07:38,8100,-0.2507,0.1328,0.2176,0.0074,-0.1565,0.0354,0.0039
0:07:43,8200,-0.3705,0.1495,0.0278,0.0039,-0.1597,0.0413,0.0070
0:07:47,8300,-0.5583,0.3455,0.1575,0.0079,-0.1346,0.0528,0.0894
0:07:51,8400,-0.2910,0.1160,0.0658,0.0054,-0.1096,0.0447,0.0127
0:07:56,8500,-0.3202,0.0877,0.0156,0.0049,-0.0620,0.0388,0.0444
0:08:01,8600,-0.3085,0.0821,0.4047,0.0081,-0.0290,0.0378,0.0452
0:08:05,8700,-0.0459,-0.1516,0.0917,0.0050,0.1755,0.0484,0.0086
0:08:10,8800,-0.2147,0.0632,0.0252,0.0027,-0.0641,0.0328,0.0067
0:08:14,8900,-0.2991,0.1560,0.0270,0.0044,-0.1628,0.0379,0.0171
0:08:19,9000,-0.3135,0.1214,0.0566,0.0032,-0.1177,0.0393,0.0422
0:08:34,9100,-0.3209,0.1633,0.0383,0.0042,-0.1357,0.0372,0.0228
0:08:39,9200,-0.2676,0.1159,0.1277,0.0053,-0.0739,0.0414,0.0171
0:08:44,9300,-0.3052,-0.0175,0.0086,0.0060,-0.0239,0.0486,0.0127
0:08:48,9400,-0.3172,-0.0752,0.1732,0.0055,0.1589,0.0661,0.8437
0:08:53,9500,-0.1683,-0.3692,0.0304,0.0037,0.3832,0.0536,0.0463
0:08:57,9600,-0.3524,-0.0191,0.1014,0.0057,0.0187,0.0482,0.0195
0:09:02,9700,-0.2693,0.0278,0.0772,0.0073,-0.0507,0.0379,0.0035
0:09:06,9800,-0.2242,0.0346,0.1808,0.0012,-0.0439,0.0427,0.0074
0:09:11,9900,-0.2725,0.0662,0.0600,0.0040,-0.0293,0.0392,0.0157
0:09:15,10000,-0.2526,0.0125,0.0261,0.0031,-0.0259,0.0359,0.0276
0:09:59,10100,-0.1567,-0.0257,0.0472,0.0037,-0.0103,0.0449,0.0277
0:10:04,10200,-0.3316,0.0749,0.0179,0.0025,-0.0570,0.0452,0.0110
0:10:08,10300,-0.1911,-0.0037,0.0493,0.0047,-0.0203,0.0371,0.0052
0:10:13,10400,-0.1613,-0.0379,0.0290,0.0038,0.0193,0.0398,0.0078
0:10:17,10500,-0.2645,0.0455,0.0333,0.0026,-0.0083,0.0433,0.0498
0:10:22,10600,-0.3755,0.1985,0.0300,0.0026,-0.1480,0.0353,0.0405
0:10:26,10700,-0.3286,0.1197,0.0385,0.0020,-0.1087,0.0395,0.0430
0:10:31,10800,-0.2627,-0.0355,0.0113,0.0027,0.0169,0.0407,0.0025
0:10:36,10900,-0.1170,-0.2761,0.6958,0.0061,0.2904,0.0530,0.0165
0:10:40,11000,-0.2924,0.0488,0.0293,0.0068,0.0098,0.0384,0.0029
0:10:55,11100,-0.2347,0.1303,0.1446,0.0040,-0.1381,0.0380,0.0023
0:11:00,11200,-0.2967,0.0629,0.0320,0.0053,-0.0381,0.0382,0.0064
0:11:04,11300,-0.2234,0.0176,0.0008,0.0042,0.0028,0.0384,0.0012
0:11:09,11400,-0.2259,0.0596,0.0086,0.0028,-0.0699,0.0351,0.0083
0:11:14,11500,-0.3583,0.1609,0.0025,0.0028,-0.1345,0.0379,0.0027
0:11:18,11600,-0.2035,0.0070,0.0962,0.0067,-0.0105,0.0412,0.0109
0:11:23,11700,-0.2587,0.0796,0.0943,0.0030,-0.0553,0.0370,0.0784
0:11:27,11800,-0.2947,0.0479,0.0217,0.0015,-0.0826,0.0431,0.0044
0:11:32,11900,-0.2876,0.0996,0.0660,0.0075,0.0105,0.0368,0.0016
0:11:36,12000,-0.2166,0.0708,0.0087,0.0025,-0.0296,0.0399,0.0208
0:11:52,12100,-0.1984,0.0188,0.1256,0.0019,-0.0059,0.0337,0.0012
0:11:56,12200,-0.2377,0.0480,0.0512,0.0083,-0.0528,0.0347,0.0026
0:12:01,12300,-0.2429,0.0472,0.0088,0.0037,-0.0515,0.0430,0.0013
0:12:05,12400,-0.2453,-0.1987,0.0504,0.0042,0.1653,0.0529,0.0343
0:12:10,12500,-0.2407,-0.0167,0.0317,0.0118,0.0818,0.0393,0.0034
0:12:14,12600,-0.0750,-0.0678,0.0260,0.0061,0.0440,0.0392,0.0632
0:12:19,12700,-0.2305,0.0574,0.0381,0.0023,-0.0687,0.0370,0.0092
0:12:24,12800,-0.0647,-0.1181,0.0433,0.0032,0.1019,0.0398,0.3287
0:12:28,12900,-0.1447,-0.0599,0.0230,0.0028,0.0903,0.0504,0.0122
0:12:33,13000,-0.3170,0.0370,0.1230,0.0040,-0.0356,0.0406,0.0008
0:12:48,13100,-0.2456,0.0855,0.5389,0.0097,-0.1153,0.0357,0.1495
0:12:52,13200,-0.2021,-0.1861,0.2783,0.0057,0.1827,0.0508,0.0028
0:12:57,13300,-0.2796,-0.1299,0.0004,0.0096,0.1090,0.0544,0.0001
0:13:01,13400,-0.1761,-0.0881,0.0453,0.0075,0.1586,0.0412,0.0093
0:13:06,13500,-0.2249,-0.0938,0.0587,0.0039,0.1313,0.0441,0.1019
0:13:10,13600,-0.2233,-0.1395,0.0033,0.0088,0.1452,0.0433,0.0018
0:13:15,13700,-0.1084,-0.1259,0.0044,0.0024,0.1351,0.0402,0.0005
0:13:20,13800,-0.2109,-0.0848,0.0389,0.0022,0.0882,0.0391,0.0009
0:13:24,13900,-0.0903,-0.1084,0.0384,0.0033,0.1101,0.0353,0.0589
0:13:29,14000,-0.2820,0.0765,0.4814,0.0044,-0.0502,0.0415,0.0098
0:13:44,14100,-0.1533,-0.0171,0.1139,0.0102,0.0082,0.0377,0.0145
0:13:48,14200,-0.0955,-0.0995,0.0123,0.0067,0.0318,0.0411,0.0099
0:13:53,14300,-0.2844,0.0599,0.0040,0.0007,-0.0496,0.0364,0.0009
