Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_gp,D/loss_cls,D/loss_dom,D/loss_rot,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot
0:00:08,100,-3.7357,-0.9064,1.1763,0.0176,2.3131,0.2567,0.6270,0.3017,1.6613,2.3225,0.2542
0:00:13,200,-1.9647,-1.1980,1.5256,0.0106,2.3072,0.2548,0.7142,0.1478,1.6362,2.3132,0.2590
0:00:17,300,-1.7246,-1.4472,1.1916,0.0217,2.2343,0.2519,1.2108,0.1201,1.4503,2.2636,0.2590
0:00:22,400,-1.5635,-1.4533,0.8440,0.0312,2.2815,0.2520,1.2658,0.1135,1.2558,2.2068,0.2592
0:00:26,500,-1.8689,-1.1328,0.6661,0.0872,2.4032,0.2534,1.1094,0.1124,1.3159,2.3410,0.2593
0:00:31,600,-1.5991,-1.1259,0.9306,0.0131,2.3120,0.2548,1.1283,0.0951,0.9187,2.2180,0.2611
0:00:36,700,-1.5415,-0.9526,0.9873,0.0379,2.3758,0.2556,0.7058,0.0940,1.2513,2.3976,0.2597
0:00:40,800,-1.3939,-0.4662,0.8152,0.0012,2.3059,0.2549,0.5954,0.0772,0.8767,2.3898,0.2580
0:00:45,900,-1.3453,-0.2096,0.7597,0.0032,2.1418,0.2572,0.4313,0.0819,0.7568,2.2484,0.2591
0:00:49,1000,-1.1124,-0.2383,0.7091,0.0007,2.2113,0.2563,0.3405,0.0760,0.7421,2.4396,0.2615
0:01:06,1100,-0.7377,-0.6186,0.7378,0.0037,2.1920,0.2568,0.6068,0.0749,0.6881,2.3340,0.2634
0:01:11,1200,-0.6273,-0.7308,0.7255,0.0021,2.1365,0.2590,0.7056,0.0702,0.6465,2.2074,0.2639
0:01:16,1300,0.0761,-0.8905,0.7145,0.0059,2.1039,0.2593,0.8797,0.0658,1.0800,2.3066,0.2609
0:01:20,1400,0.0891,-0.3842,0.7816,0.0019,2.1441,0.2629,0.3914,0.0627,0.5890,2.0935,0.2634
0:01:24,1500,0.3616,-0.5966,0.6357,0.0017,1.8038,0.2632,0.5185,0.0609,0.4716,2.1064,0.2640
0:01:29,1600,0.3214,-0.5438,0.5675,0.0092,1.9367,0.2651,0.5038,0.0612,0.5531,2.2508,0.2647
0:01:34,1700,0.1362,-0.3811,0.4701,0.0064,1.6026,0.2635,0.4738,0.0628,0.4666,2.8896,0.2629
0:01:38,1800,0.2116,-0.4504,0.7448,0.0031,1.7761,0.2603,0.3957,0.0618,0.7833,2.1883,0.2585
0:01:43,1900,0.2166,-0.3767,0.7450,0.0037,1.8842,0.2643,0.4765,0.0560,0.6339,1.6839,0.2639
0:01:47,2000,0.5764,-0.7556,0.6874,0.0040,1.9390,0.2617,0.6450,0.0594,0.4280,1.6948,0.2610
0:02:03,2100,0.1973,-0.5261,0.6890,0.0098,2.0178,0.2625,0.3904,0.0601,0.4544,2.7677,0.2596
0:02:08,2200,0.0466,-0.3724,0.5315,0.0037,1.6623,0.2597,0.4137,0.0652,0.4393,2.0371,0.2607
0:02:13,2300,0.3519,-0.5885,0.3748,0.0029,1.4422,0.2591,0.6120,0.0634,0.4045,1.6927,0.2588
0:02:17,2400,0.4805,-0.8196,0.3336,0.0039,1.3882,0.2587,0.7800,0.0688,0.2924,2.0392,0.2602
0:02:22,2500,0.2491,-0.4106,0.3362,0.0046,1.5582,0.2564,0.4257,0.0576,0.2527,1.8845,0.2551
0:02:26,2600,0.2768,-0.5206,0.6985,0.0023,1.2865,0.2593,0.5845,0.0652,0.2335,1.6248,0.2583
0:02:31,2700,0.5051,-0.7282,0.4033,0.0058,1.5762,0.2603,0.6742,0.0613,0.2396,1.8459,0.2591
0:02:35,2800,0.3806,-0.5754,0.7926,0.0027,1.3898,0.2611,0.5700,0.0573,0.3089,2.0581,0.2608
0:02:40,2900,0.5792,-0.7981,0.3563,0.0085,1.1063,0.2599,0.7381,0.0614,0.2346,2.0600,0.2595
0:02:45,3000,0.4622,-0.6438,0.9967,0.0047,1.3485,0.2604,0.7383,0.0565,0.5771,1.9167,0.2611
