Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_dom,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_dom,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds
0:00:58,100,100000,0.027282,0.088105,0.010107,0.030115,0.113944,0.012391,0.422819,104.848480,0.390395,0.408737,9.081091,0.755915,0.817432,66.345810,0.424950,0.332296,2.054237,0.010026,0.000000
0:01:29,200,100000,0.279279,0.013061,0.043107,0.018797,0.046606,0.012576,0.816240,89.470123,0.218501,0.208404,12.378925,0.649288,0.484337,25.309195,0.209228,0.166260,0.696822,0.003572,0.000000
0:02:00,300,100000,0.133967,0.047510,0.020735,0.024271,0.124785,0.014340,0.376406,110.714195,0.133757,0.125286,19.028765,0.615713,0.283994,14.031201,0.130955,0.104452,1.160038,0.001950,0.000000
0:02:31,400,100000,0.098532,0.002357,0.035269,0.021475,0.115590,0.031737,0.579088,65.691162,0.128641,0.108457,21.520073,0.509414,0.310244,13.555224,0.118445,0.097238,0.627252,0.000718,0.000000
0:03:03,500,100000,0.128935,0.025915,0.024921,0.052936,0.119383,0.024167,0.691036,37.557781,0.089713,0.075571,27.079018,0.355455,0.317281,11.582697,0.075113,0.067707,0.665855,0.000580,0.000000
0:03:50,600,100000,0.029367,0.067589,0.038258,0.056762,0.030432,0.067111,0.459613,92.994102,0.079358,0.068309,36.914639,0.274051,0.135976,14.709588,0.067016,0.059383,1.735201,0.000369,0.000000
0:04:24,700,100000,0.093544,0.041261,0.037232,0.032757,0.076198,0.024592,0.282215,84.831642,0.085258,0.073181,45.178116,0.201061,0.325222,14.696558,0.068534,0.063050,0.737791,0.000315,0.000000
0:04:56,800,100000,0.043789,0.008044,0.048901,0.006733,0.162169,0.027177,0.620146,61.476471,0.069311,0.058925,49.860836,0.126958,0.327256,12.147065,0.058027,0.053541,0.669533,0.000150,0.000000
0:05:27,900,100000,0.044002,0.145390,0.029173,0.121987,0.070747,0.027655,0.331085,66.890961,0.067563,0.061134,53.803513,0.095536,0.148823,10.072588,0.059956,0.056072,0.978122,0.000141,0.000000
0:06:28,1000,100000,0.055210,0.055963,0.046733,0.022512,0.089112,0.020340,0.373397,44.034550,0.123136,0.116128,37.062439,0.081183,0.263579,15.697547,0.087141,0.081202,0.599964,0.000210,0.000000
0:07:14,1100,100000,0.156292,0.011748,0.036725,0.040349,0.137535,0.020709,0.256030,47.187149,0.062680,0.057878,20.964294,0.061523,0.200755,14.841020,0.058062,0.052295,0.705997,0.000239,0.000000
0:07:47,1200,100000,0.054023,0.136849,0.024721,0.166266,0.038512,0.039181,0.132566,18.951466,0.061861,0.056968,19.147758,0.057224,0.086148,13.979416,0.056537,0.051006,0.565179,0.000239,0.000000
