Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_dom,G/latent_trts,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_dom,G/ref_trts,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds
0:00:58,100,100000,0.118919,0.016889,0.009997,0.008880,0.040453,0.010077,0.614962,95.521133,24.919220,0.348063,0.355347,0.577393,0.729697,0.479752,46.201836,15.132007,0.330709,0.285951,1.345831,0.026574,0.000000
0:01:29,200,100000,0.126750,0.008126,0.070123,0.015284,0.145289,0.025092,0.754391,110.604073,23.053898,0.177091,0.187415,0.548803,0.523324,0.477355,33.023361,1.241167,0.197745,0.161238,0.224546,0.030399,0.000000
0:02:00,300,100000,0.119992,0.019267,0.037825,0.015118,0.085373,0.031217,0.717256,78.930077,13.328283,0.135011,0.126421,0.488807,0.530928,0.245103,20.207441,4.595633,0.136434,0.109766,0.111256,0.008206,0.000000
0:02:32,400,100000,0.033830,0.008011,0.028941,0.002522,0.002985,0.019651,0.445432,38.883438,20.949059,0.229978,0.233561,0.490839,0.392409,0.428261,18.168589,10.263777,0.214524,0.178044,0.252927,0.020456,0.000000
0:03:03,500,100000,0.073312,0.007942,0.051449,0.004461,0.187613,0.031592,0.535100,54.468784,24.592009,0.090188,0.082826,0.479392,0.310977,0.308772,10.050860,2.848522,0.076931,0.071742,0.048757,0.005270,0.000000
0:03:51,600,100000,0.185284,0.019586,0.040924,0.055196,0.048447,0.024281,0.360456,21.359449,5.838036,0.107099,0.092489,0.509162,0.111308,0.303744,20.921951,4.448939,0.096462,0.085704,0.079638,0.005639,0.000000
0:04:23,700,100000,0.090082,0.049469,0.017452,0.021927,0.109713,0.016841,0.483788,19.664925,1.289402,0.061126,0.057806,0.501325,0.074733,0.421435,16.412285,4.876815,0.054691,0.053112,0.130433,0.015182,0.000000
0:04:55,800,100000,0.152304,0.038037,0.027628,0.023971,0.154568,0.022726,0.685168,9.924724,1.610663,0.080707,0.066270,0.463859,0.054086,0.639369,13.472658,2.755822,0.077094,0.065121,0.071864,0.010179,0.000000
0:05:27,900,100000,0.108286,0.088823,0.018737,0.077313,0.110461,0.019312,0.235091,16.227352,2.162156,0.074032,0.066974,0.437452,0.052747,0.213891,16.969379,0.458551,0.067994,0.065254,0.029434,0.002317,0.000000
0:06:26,1000,100000,0.159017,0.064500,0.020249,0.061376,0.117304,0.017228,0.265508,8.579744,1.237185,0.066787,0.062332,0.537455,0.046275,0.227917,8.362259,0.988844,0.067193,0.064371,0.101726,0.004718,0.000000
0:07:13,1100,100000,0.108614,0.152941,0.012848,0.096028,0.094055,0.017184,0.192182,16.726234,1.977258,0.073633,0.066217,0.493559,0.045883,0.126204,15.769400,0.315722,0.058143,0.051119,0.053863,0.006014,0.000000
0:07:46,1200,100000,0.136497,0.064783,0.028502,0.064575,0.146792,0.023586,0.239471,7.424593,0.522207,0.076366,0.070171,0.482391,0.040569,0.218114,10.261263,0.354604,0.075011,0.069863,0.105777,0.012452,0.000000
0:08:19,1300,100000,0.148403,0.074858,0.018539,0.079945,0.100009,0.020027,0.170119,20.872347,2.462011,0.073714,0.069626,0.484784,0.051238,0.131322,12.770234,1.186285,0.062895,0.060379,0.096446,0.011788,0.000000
0:08:51,1400,100000,0.206934,0.059339,0.021807,0.082953,0.115811,0.011049,0.182207,11.505874,0.475028,0.059060,0.054958,0.420519,0.034971,0.167567,7.982018,0.116724,0.052889,0.050399,0.070812,0.011384,0.000000
0:09:24,1500,100000,0.131845,0.126065,0.014768,0.103202,0.083029,0.014965,0.240760,14.261568,1.982905,0.064550,0.057612,0.348687,0.040502,0.203024,11.902335,0.005617,0.058512,0.054485,0.135284,0.012885,0.000000
0:10:11,1600,100000,0.225785,0.128792,0.012954,0.100362,0.124798,0.009816,0.159283,8.396047,1.082111,0.050818,0.045434,0.380440,0.034293,0.151256,10.077249,0.005437,0.047241,0.043225,0.103335,0.006256,0.000000
0:10:43,1700,100000,0.136224,0.083089,0.014660,0.049152,0.091311,0.011525,0.387699,10.951512,0.308118,0.054244,0.046789,0.387033,0.038317,0.378656,8.160040,0.003117,0.054892,0.049089,0.363760,0.029925,0.000000
0:11:16,1800,100000,0.104922,0.096488,0.018181,0.073054,0.104628,0.018736,0.230729,8.946835,0.065314,0.061690,0.056535,0.385755,0.043194,0.213936,9.907891,0.426271,0.056759,0.054383,0.073692,0.028514,0.000000
0:11:49,1900,100000,0.114137,0.100931,0.014601,0.091421,0.101339,0.015453,0.191539,4.177756,0.541130,0.074265,0.067597,0.419071,0.036298,0.165470,8.266078,0.224977,0.069797,0.061199,0.046703,0.023977,0.000000
0:12:44,2000,100000,0.122558,0.101863,0.017271,0.110926,0.066281,0.020970,0.166378,7.487870,0.208656,0.058980,0.051781,0.370218,0.044599,0.137878,8.808735,0.486620,0.054930,0.050712,0.111945,0.037194,0.000000
0:16:37,2100,100000,0.111830,0.097449,0.017832,0.095355,0.091798,0.018572,0.167324,12.727381,0.655541,0.062876,0.058239,0.305318,0.030085,0.146366,14.565802,0.852957,0.061341,0.056899,0.087938,0.017545,0.000000
