Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_dom,G/latent_trts,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_dom,G/ref_trts,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds,G/lambda_dom
0:00:57,100,100000,0.120679,0.036254,0.009240,0.001737,0.057569,0.009747,0.175331,89.157425,23.765474,0.401082,0.422912,0.579626,0.741228,0.499183,56.886635,13.871932,0.371552,0.348415,1.889127,0.027116,0.000000,0.001980
0:01:28,200,100000,0.062230,0.006600,0.047102,0.005809,0.082941,0.022471,0.784979,61.366028,9.118333,0.195578,0.190517,0.555501,0.480837,0.575609,17.378836,0.880085,0.193193,0.168952,0.356468,0.019938,0.000000,0.003980
0:02:00,300,100000,0.115559,0.008464,0.049134,0.007636,0.091284,0.027730,0.525874,42.797386,13.789299,0.153085,0.133253,0.481707,0.487834,0.296986,17.572304,4.521849,0.139344,0.118620,0.257138,0.007857,0.000000,0.005980
0:02:32,400,100000,0.060354,0.006781,0.037069,0.011397,0.156083,0.030121,0.589401,23.503452,15.504929,0.132784,0.124545,0.538221,0.391483,0.326547,10.800373,5.711394,0.117125,0.102034,0.335369,0.016395,0.000000,0.007980
0:03:03,500,100000,0.100185,0.002654,0.026919,0.021550,0.118918,0.028139,0.515621,30.073837,26.420532,0.101630,0.090423,0.500137,0.321396,0.269170,13.312460,3.742532,0.090967,0.075754,0.129773,0.004816,0.000000,0.009980
0:03:51,600,100000,0.074579,0.023199,0.089484,0.020184,0.098195,0.022580,0.472042,17.993025,3.818938,0.115606,0.098750,0.516345,0.137177,0.267711,14.203988,4.416859,0.103574,0.094258,0.076271,0.008690,0.000000,0.011980
0:04:23,700,100000,0.064109,0.044237,0.032162,0.005944,0.108552,0.031214,0.588371,12.082063,1.774014,0.074601,0.068257,0.540645,0.091191,0.544549,8.982117,1.140421,0.075823,0.067621,0.292816,0.015087,0.000000,0.013980
0:04:55,800,100000,0.128718,0.030123,0.028700,0.031542,0.090690,0.031251,0.520187,9.424380,2.681824,0.081177,0.073401,0.468632,0.073347,0.411506,1.893102,3.219583,0.076641,0.073007,0.083106,0.011581,0.000000,0.015980
0:05:27,900,100000,0.042362,0.085493,0.037890,0.067895,0.061674,0.047079,0.287082,13.716971,4.188190,0.088875,0.079222,0.464426,0.058620,0.232521,7.124091,5.870620,0.090063,0.080471,0.072647,0.005219,0.000000,0.017980
0:06:24,1000,100000,0.043927,0.064760,0.037979,0.059377,0.037003,0.043550,0.331695,9.477527,4.720670,0.079830,0.072053,0.565537,0.050326,0.223821,6.829712,4.948563,0.075045,0.070438,0.061427,0.003391,0.000000,0.019980
0:07:12,1100,100000,0.111731,0.139188,0.037769,0.119455,0.057077,0.027769,0.201035,7.638335,1.568112,0.067576,0.062901,0.524142,0.051515,0.178288,4.598621,1.553933,0.067327,0.063701,0.074138,0.005908,0.000000,0.021980
0:07:43,1200,100000,0.116428,0.041779,0.051314,0.044459,0.133036,0.035781,0.300185,5.525367,1.906704,0.082294,0.074829,0.483044,0.044084,0.261321,2.830077,1.266755,0.079092,0.074923,0.083605,0.020417,0.000000,0.023980
0:08:16,1300,100000,0.135781,0.052214,0.027358,0.049168,0.100052,0.032528,0.278872,6.952499,5.380946,0.074274,0.071285,0.493576,0.046105,0.217240,3.546843,4.086820,0.069807,0.069066,0.136141,0.012179,0.000000,0.025980
0:08:49,1400,100000,0.147976,0.064042,0.024230,0.062389,0.070465,0.024934,0.252382,8.487067,1.967027,0.075386,0.071240,0.469469,0.036459,0.252481,2.359605,3.239073,0.076965,0.071152,0.113245,0.011212,0.000000,0.027980
0:09:21,1500,100000,0.040610,0.108080,0.048537,0.139742,0.014373,0.034353,0.152462,8.877202,3.849738,0.071164,0.065324,0.401582,0.039963,0.123791,2.553188,4.523855,0.066990,0.064111,0.132670,0.009595,0.000000,0.029980
0:10:06,1600,100000,0.154587,0.056484,0.037429,0.046859,0.119783,0.025805,0.289402,3.350107,4.697857,0.065916,0.058546,0.410451,0.031167,0.251376,0.836984,1.011623,0.064244,0.057424,0.101793,0.009194,0.000000,0.031980
0:10:39,1700,100000,0.088728,0.065860,0.031528,0.034492,0.055022,0.025670,0.349510,7.120519,2.207633,0.072854,0.064148,0.408910,0.038826,0.300562,1.861426,1.024624,0.074719,0.064672,0.097806,0.018363,0.000000,0.033980
0:11:11,1800,100000,0.111501,0.042287,0.043876,0.028618,0.104143,0.035617,0.315754,2.607779,2.324944,0.073620,0.067695,0.432215,0.034667,0.301106,0.539216,3.043714,0.073597,0.066366,0.114567,0.018431,0.000000,0.035980
0:11:43,1900,100000,0.083028,0.054197,0.031853,0.053119,0.063221,0.035360,0.284029,8.432018,1.284576,0.083334,0.075127,0.459572,0.036349,0.249949,3.399507,1.780125,0.084526,0.075271,0.083585,0.009539,0.000000,0.037980
0:12:37,2000,100000,0.109052,0.062045,0.034633,0.060177,0.083624,0.034745,0.288549,1.978390,3.591636,0.082389,0.061712,0.432912,0.038895,0.253593,0.384070,1.100188,0.075566,0.060352,0.247431,0.021466,0.000000,0.039980
0:16:09,2100,100000,0.071016,0.056169,0.039243,0.045680,0.067479,0.042142,0.305294,3.811280,3.135453,0.080910,0.070181,0.346375,0.030797,0.253688,1.170909,3.376970,0.077407,0.068144,0.163778,0.011279,0.000000,0.041980
0:16:41,2200,100000,0.035876,0.086900,0.037954,0.096467,0.030872,0.042910,0.207665,5.423906,2.286139,0.086710,0.076392,0.428577,0.041423,0.172426,1.612284,3.810044,0.087782,0.076855,0.146705,0.019524,0.000000,0.043980
0:17:13,2300,100000,0.085276,0.064876,0.037706,0.034253,0.077102,0.031242,0.407837,1.975962,0.546381,0.065981,0.057551,0.437693,0.042500,0.358691,0.814766,1.267024,0.065365,0.057038,0.107483,0.018591,0.000000,0.045980
0:17:45,2400,100000,0.028584,0.062674,0.043225,0.036832,0.037795,0.039049,0.312809,2.888993,6.386082,0.078765,0.071510,0.367113,0.026875,0.300067,0.193825,3.400437,0.083996,0.070626,0.105213,0.017894,0.000000,0.047980
0:18:18,2500,100000,0.170276,0.072046,0.038115,0.045741,0.102186,0.015976,0.308233,2.165895,2.719723,0.054309,0.050000,0.412111,0.031315,0.291924,2.411020,1.858613,0.055347,0.051884,0.100012,0.012424,0.000000,0.049980
0:19:03,2600,100000,0.142238,0.058953,0.028733,0.064304,0.084130,0.022820,0.262924,3.225153,2.559946,0.081454,0.065864,0.395869,0.025946,0.249233,1.052523,1.908431,0.077040,0.064411,0.112004,0.006626,0.000000,0.051980
0:19:36,2700,100000,0.146243,0.129036,0.039753,0.083369,0.067856,0.014508,0.236884,1.670549,2.061846,0.060079,0.053220,0.462885,0.032435,0.218673,1.716873,1.835304,0.059708,0.053007,0.139085,0.014784,0.000000,0.053980
0:20:09,2800,100000,0.069952,0.107520,0.029023,0.057584,0.055188,0.026657,0.253654,1.681823,3.365659,0.093759,0.078970,0.401694,0.028576,0.240999,0.453977,1.898007,0.092347,0.078104,0.147068,0.018957,0.000000,0.055980
0:20:40,2900,100000,0.062663,0.033671,0.046461,0.020721,0.062251,0.027225,0.451873,0.442073,2.691735,0.088297,0.071416,0.442956,0.026675,0.425128,0.039382,1.667486,0.077453,0.069787,0.134830,0.011175,0.000000,0.057980
0:21:34,3000,100000,0.076273,0.099257,0.041315,0.066632,0.072618,0.024813,0.238334,1.762735,1.431757,0.079436,0.069466,0.354771,0.024939,0.240151,0.531667,1.655161,0.077718,0.068263,0.110237,0.015444,0.000000,0.059980
0:22:22,3100,100000,0.136704,0.071908,0.026737,0.072082,0.103853,0.021740,0.205853,2.195314,2.297375,0.064762,0.056179,0.367040,0.023012,0.214420,1.398269,4.539812,0.067446,0.060184,0.125731,0.010494,0.000000,0.061980
0:22:54,3200,100000,0.079105,0.047772,0.043962,0.038274,0.065196,0.035907,0.364315,1.648606,2.141616,0.069645,0.061558,0.331660,0.036303,0.361707,0.312913,1.809755,0.067677,0.061767,0.049075,0.013101,0.000000,0.063980
0:23:26,3300,100000,0.071795,0.088083,0.045435,0.083760,0.060668,0.041284,0.200864,1.556511,1.646378,0.070361,0.060519,0.384550,0.028839,0.194968,1.745298,1.557194,0.069834,0.061492,0.084260,0.011757,0.000000,0.065980
0:23:59,3400,100000,0.065698,0.054067,0.043000,0.044916,0.046308,0.036162,0.315238,1.221847,2.401428,0.084352,0.073542,0.370151,0.026150,0.306236,0.046957,1.837173,0.083026,0.072393,0.093678,0.015515,0.000000,0.067980
0:24:31,3500,100000,0.108557,0.073854,0.044818,0.080248,0.064248,0.034206,0.205226,1.082716,1.164690,0.073960,0.057543,0.335273,0.035655,0.190979,1.466630,1.097367,0.069919,0.060149,0.090369,0.016722,0.000000,0.069980
0:25:17,3600,100000,0.054052,0.095464,0.039414,0.076603,0.035183,0.042138,0.202895,2.500537,1.895119,0.074639,0.066083,0.325655,0.024753,0.196188,0.832434,1.233426,0.074762,0.067562,0.060028,0.009713,0.000000,0.071980
0:25:50,3700,100000,0.074336,0.114981,0.039948,0.089228,0.065666,0.032151,0.188851,3.004251,1.791730,0.062965,0.059200,0.360071,0.022648,0.181774,1.012260,2.075520,0.066376,0.063510,0.083054,0.010812,0.000000,0.073980
0:26:22,3800,100000,0.082140,0.072036,0.035175,0.081379,0.032834,0.037369,0.207098,2.415755,1.187433,0.070716,0.061178,0.331042,0.032754,0.193565,0.452087,1.153245,0.068035,0.061213,0.062815,0.012467,0.000000,0.075980
0:26:54,3900,100000,0.131768,0.072806,0.044046,0.055123,0.107847,0.018928,0.257718,0.978359,2.552920,0.062716,0.055781,0.421534,0.033689,0.250795,0.640134,1.738542,0.062879,0.056797,0.092315,0.017992,0.000000,0.077980
0:27:49,4000,100000,0.075416,0.058647,0.026445,0.042943,0.072621,0.022985,0.278734,1.011839,1.704080,0.069102,0.058839,0.328860,0.025100,0.275847,0.547978,2.431840,0.066152,0.056793,0.112122,0.016830,0.000000,0.079980
0:31:23,4100,100000,0.053557,0.115451,0.022092,0.094444,0.035172,0.023410,0.237549,0.782702,1.346208,0.061723,0.054955,0.316181,0.025561,0.206659,1.073240,1.613203,0.060949,0.054719,0.062643,0.009417,0.000000,0.081980
0:31:55,4200,100000,0.045444,0.097006,0.037056,0.067552,0.055505,0.032239,0.245432,0.580189,1.878374,0.065630,0.060993,0.317814,0.024936,0.227320,0.361077,0.481160,0.068758,0.061957,0.137721,0.011088,0.000000,0.083980
0:32:27,4300,100000,0.053691,0.080333,0.030896,0.068736,0.031220,0.028735,0.236586,0.079527,1.439992,0.071363,0.068411,0.321607,0.021801,0.219516,0.045847,2.029497,0.069771,0.067134,0.088175,0.015124,0.000000,0.085980
0:33:00,4400,100000,0.076641,0.070540,0.038139,0.059576,0.075079,0.032338,0.245062,0.925076,2.807080,0.057954,0.048861,0.355910,0.023748,0.241554,1.425090,0.925600,0.059770,0.050019,0.066324,0.015999,0.000000,0.087980
0:33:32,4500,100000,0.087035,0.091003,0.039669,0.079230,0.075116,0.035766,0.206381,1.083483,0.499739,0.061247,0.052353,0.338960,0.028715,0.193221,0.055339,0.312865,0.058285,0.051457,0.090266,0.015600,0.000000,0.089980
0:34:17,4600,100000,0.096475,0.086497,0.034028,0.059527,0.088347,0.023129,0.249955,1.116215,2.023836,0.051489,0.044047,0.334717,0.024475,0.233864,0.739018,0.889332,0.051975,0.044736,0.081272,0.008040,0.000000,0.091980
0:34:50,4700,100000,0.091137,0.079997,0.035665,0.065973,0.059325,0.027978,0.257796,3.003290,5.708512,0.069945,0.061036,0.357134,0.023740,0.262830,0.343142,3.431378,0.070482,0.063813,0.058851,0.010643,0.000000,0.093980
0:35:21,4800,100000,0.078368,0.068180,0.036910,0.048411,0.065520,0.036571,0.290307,1.124171,0.392023,0.070675,0.060259,0.319593,0.028857,0.281937,0.101019,1.676800,0.069909,0.059769,0.092139,0.017974,0.000000,0.095980
0:36:16,4900,100000,0.052017,0.085150,0.035295,0.057513,0.048177,0.029218,0.284274,0.050816,1.103589,0.076922,0.070170,0.355286,0.024060,0.271037,0.028212,1.108823,0.074917,0.069046,0.098096,0.019099,0.000000,0.097980
0:36:49,5000,100000,0.039861,0.117019,0.025049,0.094062,0.040441,0.033193,0.185466,0.730258,2.835808,0.059781,0.055689,0.329466,0.026161,0.193253,0.012694,2.180439,0.058976,0.055576,0.100140,0.017605,0.000000,0.099980
0:37:35,5100,100000,0.077685,0.066214,0.037450,0.055858,0.062992,0.031172,0.260374,0.695468,2.404550,0.070660,0.060882,0.338054,0.025357,0.258516,0.061143,3.355533,0.065302,0.060462,0.110562,0.011786,0.000000,0.099980
0:38:08,5200,100000,0.043567,0.057814,0.038734,0.060143,0.023555,0.035208,0.181170,0.722057,0.840821,0.068371,0.060438,0.325519,0.028336,0.175426,0.002396,0.771765,0.074146,0.061728,0.089030,0.016196,0.000000,0.099980
0:38:40,5300,100000,0.094750,0.061896,0.043823,0.039698,0.084669,0.027392,0.304606,0.498912,2.794521,0.052294,0.045583,0.289713,0.025193,0.320992,0.212335,1.397941,0.054490,0.049183,0.079760,0.014788,0.000000,0.099980
0:39:13,5400,100000,0.077509,0.089852,0.040788,0.061428,0.044147,0.029154,0.283316,0.395562,2.785564,0.070074,0.058397,0.349669,0.023371,0.275141,0.110596,4.167297,0.070344,0.058038,0.080467,0.020263,0.000000,0.099980
0:39:44,5500,100000,0.113024,0.053810,0.041879,0.051332,0.087141,0.019170,0.297628,0.551091,2.766803,0.053976,0.046377,0.338695,0.024098,0.297270,0.048139,2.238627,0.054979,0.046839,0.095362,0.018848,0.000000,0.099980
0:40:31,5600,100000,0.116656,0.050166,0.031400,0.066225,0.083509,0.027750,0.245252,0.009453,1.326179,0.071115,0.058190,0.306230,0.020684,0.229537,0.001282,0.894653,0.069720,0.057937,0.097671,0.011182,0.000000,0.099980
0:41:04,5700,100000,0.078802,0.073818,0.039080,0.036099,0.048513,0.019962,0.379665,0.459364,3.656727,0.055235,0.049518,0.341380,0.027127,0.359339,0.005034,1.421246,0.056830,0.050531,0.085884,0.013904,0.000000,0.099980
0:41:35,5800,100000,0.018697,0.109102,0.032815,0.093550,0.008571,0.032996,0.182919,0.937639,2.139347,0.067514,0.058156,0.249940,0.026829,0.174377,0.064313,1.415348,0.065557,0.057059,0.068321,0.014405,0.000000,0.099980
0:42:30,5900,100000,0.127499,0.078742,0.038164,0.036281,0.110045,0.022478,0.272145,0.155788,1.070753,0.070792,0.060195,0.311955,0.027456,0.272399,0.001912,1.455632,0.067618,0.059180,0.077871,0.015722,0.000000,0.099980
0:43:03,6000,100000,0.084710,0.100649,0.043908,0.082465,0.092796,0.036054,0.186868,0.214521,1.771247,0.058376,0.051875,0.292594,0.022106,0.176800,0.181216,2.117289,0.058389,0.052522,0.058218,0.013863,0.000000,0.099980
0:46:37,6100,100000,0.078244,0.067123,0.038161,0.058810,0.067592,0.033119,0.273560,0.317319,0.301945,0.068101,0.056822,0.318034,0.031051,0.256383,0.003235,0.091155,0.064913,0.056403,0.070821,0.023721,0.000000,0.099980
0:47:09,6200,100000,0.124087,0.060275,0.036026,0.053653,0.107947,0.032112,0.258630,0.468840,0.872864,0.056537,0.053034,0.288153,0.025133,0.246520,0.000949,0.497878,0.055616,0.052378,0.062792,0.012188,0.000000,0.099980
0:47:41,6300,100000,0.090387,0.120424,0.038940,0.085544,0.072181,0.027233,0.206994,1.945021,0.461192,0.064169,0.053514,0.286745,0.021364,0.205834,0.663773,0.539257,0.064090,0.054647,0.099895,0.014363,0.000000,0.099980
0:48:14,6400,100000,0.045968,0.115951,0.043558,0.037186,0.054971,0.027666,0.326148,0.805614,1.035027,0.084928,0.067602,0.305629,0.023370,0.297480,0.018449,0.283291,0.088975,0.065872,0.059976,0.011161,0.000000,0.099980
0:48:46,6500,100000,0.119974,0.141175,0.030209,0.068244,0.091584,0.020271,0.252510,0.061999,0.264794,0.051475,0.044744,0.306135,0.027958,0.253616,0.000282,0.269867,0.048648,0.044437,0.070475,0.014888,0.000000,0.099980
0:49:32,6600,100000,0.106456,0.095269,0.038368,0.078651,0.074562,0.030966,0.207279,0.403062,3.016488,0.057769,0.051313,0.346397,0.022390,0.202840,0.021766,1.485887,0.060109,0.050696,0.075080,0.009571,0.000000,0.099980
0:50:04,6700,100000,0.111962,0.038258,0.034422,0.032866,0.092667,0.021870,0.292447,0.497292,0.925005,0.069799,0.060870,0.266742,0.020502,0.282928,0.307652,0.393114,0.072894,0.060889,0.054015,0.008368,0.000000,0.099980
0:50:36,6800,100000,0.083056,0.087368,0.027078,0.078467,0.074119,0.029744,0.213917,0.160630,0.729605,0.080278,0.063743,0.317441,0.026566,0.204906,0.151399,0.554654,0.077658,0.063147,0.079211,0.014964,0.000000,0.099980
0:51:30,6900,100000,0.098415,0.061665,0.035294,0.062893,0.067772,0.029983,0.239477,0.340304,1.499675,0.064340,0.049728,0.301792,0.029968,0.227409,0.097165,0.822900,0.067613,0.050389,0.068092,0.010160,0.000000,0.099980
0:52:02,7000,100000,0.093942,0.085884,0.033514,0.062980,0.080670,0.025084,0.256062,0.847869,0.509127,0.063368,0.055423,0.306796,0.026384,0.236078,0.043166,0.910817,0.062964,0.056061,0.063321,0.014867,0.000000,0.099980
0:52:48,7100,100000,0.082319,0.068282,0.030327,0.054238,0.064690,0.021873,0.290100,0.843906,0.916111,0.060282,0.051042,0.286066,0.025888,0.277452,0.025999,0.585981,0.059344,0.049907,0.056822,0.010792,0.000000,0.099980
0:53:21,7200,100000,0.066265,0.084865,0.033136,0.063863,0.073640,0.031091,0.235654,1.109633,0.257345,0.069169,0.057298,0.254204,0.030531,0.215642,0.524903,0.581354,0.066227,0.055493,0.069069,0.015986,0.000000,0.099980
0:53:53,7300,100000,0.051253,0.051840,0.033432,0.029185,0.043001,0.025642,0.371697,0.021189,1.606612,0.074894,0.065458,0.273533,0.022902,0.363822,0.064541,1.442033,0.070599,0.063126,0.056813,0.010548,0.000000,0.099980
0:54:26,7400,100000,0.153224,0.063678,0.035137,0.062216,0.105051,0.027323,0.203517,0.007530,1.187100,0.066458,0.055698,0.283115,0.023695,0.204816,0.005080,1.631795,0.063609,0.055366,0.091864,0.025227,0.000000,0.099980
0:54:57,7500,100000,0.112460,0.069023,0.032505,0.082560,0.080708,0.030158,0.219412,0.707548,0.289231,0.056680,0.050184,0.288803,0.018670,0.198278,0.000041,0.764335,0.059281,0.051085,0.056505,0.016013,0.000000,0.099980
0:55:45,7600,100000,0.080821,0.094711,0.029106,0.083393,0.044630,0.027303,0.204760,0.009163,0.136312,0.047681,0.042009,0.260721,0.020926,0.212941,0.008373,0.490656,0.046898,0.041833,0.098339,0.022376,0.000000,0.099980
0:56:16,7700,100000,0.093817,0.107701,0.030101,0.098085,0.050712,0.023442,0.216274,0.975645,1.470734,0.058309,0.047084,0.308852,0.030575,0.199320,0.000318,1.728608,0.060443,0.051138,0.091494,0.019372,0.000000,0.099980
0:56:49,7800,100000,0.063858,0.105138,0.035442,0.073234,0.057976,0.025810,0.248999,0.069480,0.628655,0.057306,0.047910,0.292002,0.020851,0.229065,0.000361,0.722510,0.056058,0.046633,0.060073,0.016544,0.000000,0.099980
