Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_dom,G/latent_trts,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_dom,G/ref_trts,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds,G/lambda_dom,G/lambda_trts
0:01:00,100,100000,0.113541,0.026717,0.014594,0.008935,0.041825,0.010954,0.631596,95.942337,27.720062,0.301640,0.327003,0.706940,0.692093,0.499421,48.027866,13.055182,0.306168,0.235389,2.069355,0.018146,0.000000,0.004950,0.000000
0:01:33,200,100000,0.122912,0.004065,0.048414,0.008781,0.140119,0.016274,0.471318,59.727547,13.020126,0.160244,0.154254,0.559601,0.586057,0.447132,13.641644,2.153839,0.160210,0.119451,0.358000,0.007775,0.000000,0.009950,0.000000
0:02:06,300,100000,0.129616,0.006062,0.042067,0.014440,0.145032,0.028497,0.440259,38.925121,11.838873,0.117282,0.098227,0.473337,0.495972,0.302311,13.255705,4.145519,0.110285,0.082285,0.335898,0.003721,0.000000,0.014950,0.000000
0:02:39,400,100000,0.132914,0.005457,0.024192,0.035537,0.150271,0.021813,0.521144,28.512127,24.494301,0.106578,0.097489,0.500780,0.450961,0.201335,8.565959,7.459124,0.091523,0.078059,0.164849,0.003384,0.000000,0.019950,0.000000
0:03:13,500,100000,0.112618,0.008754,0.027707,0.025417,0.158618,0.022666,0.429843,40.531487,31.521866,0.099255,0.088254,0.496749,0.364123,0.216643,12.670306,5.242368,0.074260,0.065778,0.432188,0.001946,0.000000,0.024950,0.000000
0:04:02,600,100000,0.082632,0.006978,0.035447,0.020303,0.203186,0.020242,0.428053,29.742086,12.260622,0.079961,0.073656,0.517790,0.323874,0.228144,10.949385,3.299354,0.074758,0.062352,0.205449,0.002887,0.000000,0.029950,0.000000
0:04:36,700,100000,0.051594,0.009425,0.016226,0.008672,0.124832,0.014547,0.388737,10.869213,7.920614,0.063164,0.054262,0.707956,0.232763,0.350257,14.901063,0.519836,0.146388,0.142120,0.915095,0.146073,0.000000,0.034950,0.000000
0:05:10,800,100000,0.091947,0.000996,0.019114,0.038776,0.121991,0.017379,0.531143,12.223649,8.524243,0.079676,0.070205,0.510441,0.233570,0.336168,7.330797,6.760273,0.067716,0.059332,0.779241,0.006590,0.000000,0.039950,0.000000
0:05:44,900,100000,0.082742,0.000596,0.014505,0.028805,0.126492,0.016568,0.513248,18.132990,12.573720,0.082147,0.077749,0.467024,0.197607,0.205720,7.913190,3.560284,0.072377,0.066475,0.438063,0.000950,0.000000,0.044950,0.000000
0:06:45,1000,100000,0.058186,0.000783,0.027131,0.023233,0.169519,0.023456,0.521285,7.938971,17.026619,0.071887,0.066744,0.608944,0.181580,0.211723,6.568175,4.773540,0.063075,0.057998,0.592547,0.003203,0.000000,0.049950,0.000000
