Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_gp,D/loss_dom,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom
0:00:07,100,-4.8401,0.0866,1.4240,0.0236,2.7379,0.2039,0.2984,1.3931,2.7104
0:00:11,200,-2.6547,-0.7293,1.1726,0.0182,2.6794,0.8285,0.1748,1.5754,2.6870
0:00:15,300,-1.9615,-0.8390,0.8081,0.0071,2.6974,0.9223,0.1340,1.3814,2.7130
0:00:20,400,-1.8876,-0.6038,1.1279,0.0061,2.7048,0.6099,0.1125,1.0105,2.7228
0:00:24,500,-1.9677,-0.5776,0.9600,0.0262,2.7272,0.5305,0.0969,1.0462,2.7342
0:00:28,600,-1.8722,-0.8201,0.6730,0.0200,2.7541,0.8696,0.0998,0.7866,2.7333
0:00:33,700,-1.4059,-0.4683,0.8981,0.0072,2.6981,0.4526,0.0958,0.9087,2.7178
0:00:37,800,-1.4746,-0.3339,1.0130,0.0057,2.6793,0.1890,0.0744,1.0233,2.7138
0:00:42,900,-1.3096,-0.4483,1.0057,0.0054,2.6954,0.5049,0.0728,0.7884,2.6847
0:00:46,1000,-1.2340,-0.6398,0.6020,0.0048,2.7195,0.6109,0.0821,0.5437,2.7524
0:01:03,1100,-1.2451,-0.5900,1.1427,0.0051,2.7291,0.7665,0.0729,0.8053,2.7599
0:01:08,1200,-1.1389,-0.7330,0.6782,0.0097,2.7053,0.6609,0.0684,0.7670,2.7062
0:01:12,1300,-1.0565,-0.8263,0.9305,0.0075,2.7474,0.8221,0.0705,0.7132,2.7001
0:01:17,1400,-1.0230,-0.8019,1.0440,0.0062,2.7247,0.9184,0.0675,0.7291,2.6848
0:01:21,1500,-0.9312,-0.8985,0.7943,0.0042,2.7602,1.0367,0.0712,0.6285,2.7304
0:01:26,1600,-0.7965,-1.1162,0.7464,0.0208,2.7274,0.9508,0.0709,0.6213,2.7387
0:01:30,1700,-0.6565,-0.9926,0.6744,0.0022,2.7114,1.0283,0.0737,0.6967,2.7545
0:01:35,1800,-0.6634,-0.9584,0.5089,0.0109,2.7444,0.8324,0.0684,0.5721,2.7473
0:01:39,1900,-0.5541,-0.3612,0.7338,0.0041,2.7198,0.3099,0.0655,0.5184,2.7095
0:01:44,2000,-0.3128,-0.6423,0.8016,0.0034,2.6814,0.5465,0.0547,0.5884,2.7146
0:02:01,2100,-0.4167,-0.6004,0.6454,0.0086,2.7006,0.5689,0.0549,0.7307,2.6891
0:02:06,2200,-0.2316,-0.4021,0.5535,0.0089,2.7523,0.3150,0.0593,0.4298,2.7422
0:02:10,2300,-0.0569,-0.1685,0.4914,0.0047,2.7161,0.0945,0.0554,0.3843,2.7446
0:02:14,2400,0.0673,-0.3432,0.5186,0.0150,2.6985,0.1576,0.0730,0.4165,2.6920
0:02:19,2500,0.0118,-0.1779,0.6103,0.0051,2.6781,0.1455,0.0471,0.3204,2.6663
0:02:24,2600,0.0102,-0.1601,0.4636,0.0025,2.6918,0.1239,0.0593,0.2697,2.6927
0:02:28,2700,-0.3659,0.2006,0.5094,0.0134,2.6899,-0.0607,0.0529,0.2564,2.7024
