Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_gp,D/loss_cls,D/loss_dom,D/loss_rot,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot
0:00:08,100,-0.9324,-2.5075,1.3616,0.0650,2.6798,0.3203,2.3644,0.2519,1.5027,2.6907,0.2849
0:00:13,200,-1.5319,-0.9890,1.4635,0.0051,2.7498,0.3863,0.9729,0.1636,1.6580,2.7746,0.3774
0:00:18,300,-1.8877,-0.3198,1.3168,0.0227,2.7006,0.2585,-0.0456,0.1579,1.3510,2.7062,0.2423
0:00:22,400,-0.0212,-1.3387,1.4534,0.0030,2.6946,0.0689,1.3039,0.1244,1.4436,2.6793,0.0724
0:00:27,500,-0.1447,-1.1115,1.3786,0.0017,2.7492,0.0983,1.2183,0.1114,1.4904,2.7256,0.0657
0:00:32,600,-1.3559,-0.3622,1.4757,0.0155,2.7375,0.2068,0.3709,0.1566,1.3873,2.7053,0.3314
0:00:36,700,-0.6595,-0.8124,1.3221,0.0057,2.6968,0.2540,0.8618,0.1238,1.3615,2.7109,0.2760
0:00:42,800,-0.9186,-0.5624,1.2690,0.0088,2.7016,0.0959,0.5888,0.1051,1.3738,2.7085,0.0793
0:00:47,900,-0.6537,-0.9895,1.5390,0.0372,2.7009,0.0163,0.8434,0.1337,1.4806,2.7093,0.2299
0:00:51,1000,-0.2470,-1.0124,1.0995,0.0010,2.7291,0.0324,1.1051,0.1189,1.2038,2.7253,0.0255
0:01:08,1100,-0.2624,-1.2115,0.8842,0.0015,2.6962,0.4187,1.1662,0.1168,1.0056,2.6950,0.4248
0:01:13,1200,-0.6008,-1.0643,1.1641,0.0162,2.7584,0.1980,1.0612,0.1292,1.8490,2.7596,0.1764
0:01:17,1300,-0.3213,-1.1884,0.9391,0.1191,2.6976,0.0464,1.0146,0.1454,0.9229,2.6975,0.1082
0:01:22,1400,-0.1925,-1.3810,0.8612,0.0145,2.7093,0.0638,1.2396,0.1453,0.8220,2.6818,0.0794
0:01:27,1500,-0.8824,-1.0994,0.9632,0.0215,2.6899,0.0921,1.0385,0.1437,0.8720,2.6704,0.1181
0:01:32,1600,-0.4914,-0.6045,0.7001,0.0031,2.6784,0.1184,0.6250,0.1195,0.6229,2.6704,0.1319
0:01:37,1700,-0.1416,-1.0970,0.6346,0.0065,2.6940,0.0156,1.0449,0.1086,0.6843,2.7073,0.0103
0:01:42,1800,-0.5622,-0.9966,0.8709,0.0395,2.7403,0.0079,0.9496,0.1224,1.0257,2.7274,0.0301
0:01:47,1900,-0.4678,-0.8432,1.1609,0.0101,2.6921,0.0058,0.8054,0.1136,0.6230,2.7015,0.0405
0:01:52,2000,-0.2354,-0.5550,0.7788,0.0148,2.7286,0.0385,0.5353,0.1198,0.6439,2.7038,0.0480
0:02:08,2100,-0.7610,-0.6268,0.9101,0.0049,2.7007,0.0128,0.5671,0.1325,0.6260,2.6512,0.1016
0:02:13,2200,-0.1573,-0.8429,0.8184,0.0031,2.6727,0.0839,0.9064,0.1133,0.8392,2.6755,0.1721
0:02:18,2300,-0.6539,-0.6339,0.7317,0.0052,2.6824,0.3315,0.5676,0.1066,0.7175,2.6855,0.3332
0:02:22,2400,-0.8162,-0.4017,0.9766,0.0162,2.6957,0.0024,0.4410,0.1433,0.6191,2.6991,0.0838
0:02:27,2500,-0.9258,0.2347,0.6813,0.0444,2.6638,0.0124,-0.1674,0.1243,0.7059,2.6753,0.0419
0:02:32,2600,-0.6503,0.0505,0.8884,0.0035,2.7565,0.1866,-0.0471,0.0942,0.8661,2.7369,0.1923
0:02:37,2700,-1.1019,-0.0068,1.2075,0.0084,2.7333,0.0201,-0.0840,0.1304,0.8731,2.7315,0.0428
0:02:42,2800,-1.2612,0.2012,0.8959,0.0103,2.6968,0.0337,-0.1858,0.1212,0.6975,2.6978,0.0342
0:02:47,2900,-1.1591,0.1890,0.5556,0.0017,2.6729,0.3014,-0.2321,0.1261,0.4687,2.6869,0.2829
0:02:52,3000,-0.8329,0.0875,0.8531,0.0053,2.7478,0.0016,-0.1775,0.1140,0.8014,2.7473,0.0140
0:03:08,3100,-0.8115,0.3147,0.6405,0.0059,2.6804,0.0874,-0.3391,0.1034,0.7290,2.6979,0.0711
0:03:14,3200,-0.2660,0.1987,0.9753,0.0223,2.6964,0.5944,-0.6007,0.1354,2.0835,2.6546,0.2032
0:03:18,3300,-0.6422,0.0132,0.9130,0.0017,2.7436,0.0416,-0.0239,0.0975,0.6649,2.7327,0.0451
