source,domain,accuracy,loss
WAL,15,0.6,0.9807862043380737
WAL,16,0.9444444444444444,0.14497846364974976
WAL,17,0.9245283018867925,0.18414872884750366
WAL,18,0.8518518518518519,0.7635337114334106
WAL,19,1.0,0.03257404640316963
WAL,20,0.9607843137254902,0.09474045038223267
WAL,21,0.9361702127659575,0.18507245182991028
WAL,22,0.9814814814814815,0.05481386184692383
WAL,23,0.8846153846153846,0.30680233240127563
WAL,24,0.6862745098039216,0.9579740166664124
WAL,25,0.7777777777777778,0.792104959487915
WAL,26,0.7380952380952381,0.7317368388175964
WAL,27,0.8333333333333334,0.4658733606338501
WAL,28,0.9047619047619048,0.23559577763080597
WAL,29,0.9523809523809523,0.12057425081729889
WAL,30,0.76,1.0705993175506592
WAL,31,0.8837209302325582,0.3787352442741394
WAL,32,0.9038461538461539,0.2953817546367645
WAL,33,0.9318181818181818,0.11790163069963455
WAL,34,0.7959183673469388,0.933274507522583
WAL,35,0.9375,0.10939962416887283
WAL,36,0.9302325581395349,0.14983545243740082
WAL,37,0.9047619047619048,0.2506043016910553
WAL,38,0.6808510638297872,1.783518671989441
WAL,39,0.9074074074074074,0.1714264154434204
WAL,40,0.8181818181818182,0.36008283495903015
WAL,41,0.5111111111111111,1.3800041675567627
WAL,42,0.9347826086956522,0.1241491436958313
WAL,43,0.7380952380952381,1.5517539978027344
WAL,44,0.9523809523809523,0.11385317146778107
WAL,45,0.9807692307692307,0.05739925429224968
WAL,46,1.0,0.04472622647881508
WAL,47,0.9318181818181818,0.19378934800624847
WAL,48,1.0,0.0696379616856575
WAL,49,0.9433962264150944,0.1354684978723526
WAL,50,0.9285714285714286,0.18424026668071747
WAL,51,0.8260869565217391,0.3729056119918823
WAL,52,0.9761904761904762,0.056074585765600204
WAL,53,0.9166666666666666,0.23787027597427368
WAL,54,0.8571428571428571,0.7792574763298035
WAL,55,0.9387755102040817,0.12998268008232117
WAL,56,1.0,0.023742834106087685
WAL,57,0.9761904761904762,0.04342673346400261
WAL,58,0.8947368421052632,0.2862929403781891
WAL,59,0.8837209302325582,0.1617959439754486
WAL,60,0.851063829787234,0.6713830828666687
WAL,61,0.8723404255319149,0.43251314759254456
WAL,62,1.0,0.018132179975509644
WAL,63,0.9523809523809523,0.3127158582210541
WAL,64,0.9523809523809523,0.14203360676765442
WAL,65,0.84,0.4994942545890808
WAL,66,0.8809523809523809,0.39981046319007874
WAL,67,0.8571428571428571,0.48454031348228455
WAL,68,1.0,0.00997624360024929
WAL,69,1.0,0.05904588848352432
WAL,70,0.8333333333333334,0.4415036141872406
WAL,71,0.8863636363636364,0.23702673614025116
WAL,72,0.9285714285714286,0.2018168717622757
WAL,73,0.8536585365853658,0.5247703194618225
WAL,74,0.7428571428571429,0.6636208891868591
WAL,75,1.0,0.017025640234351158
