Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_gp,D/loss_cls,D/loss_dom,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot
0:00:08,100,-10.0196,-2.5016,1.4911,0.2306,2.8114,3.3702,0.5252,1.6381,2.8548,0.3967
0:00:12,200,-10.4772,0.9807,1.3323,0.0746,2.7113,-1.2477,0.2901,1.3716,2.7402,0.2841
0:00:17,300,-8.4996,0.0854,1.3712,0.1028,2.6508,-0.2306,0.1976,1.4771,2.6575,0.2067
0:00:21,400,-3.1806,-3.6189,1.3726,0.0836,2.7106,2.7165,0.1453,1.3785,2.7255,0.1626
0:00:25,500,-6.0813,-0.6363,1.3079,0.0706,2.7084,0.7446,0.1350,1.3662,2.6891,0.1528
0:00:29,600,-5.2590,-0.7613,1.3412,0.0784,2.7052,1.2039,0.1345,1.4123,2.7190,0.1754
0:00:34,700,-2.9157,-2.3084,1.3072,0.0296,2.6901,2.2261,0.1092,1.4053,2.7348,0.1289
0:00:38,800,-4.3747,-1.5290,1.3158,0.0635,2.6865,0.7667,0.1088,1.3917,2.6700,0.1293
0:00:42,900,-2.9355,-2.4532,1.2282,0.0410,2.6628,2.4166,0.1195,1.5057,2.7120,0.1557
0:00:47,1000,-3.4217,-1.6464,1.3413,0.0311,2.7197,1.3824,0.1147,1.4161,2.6902,0.1427
0:01:12,1100,-2.6286,-2.7890,1.1450,0.0667,2.7376,2.2368,0.1157,1.3800,2.7365,0.1291
0:01:17,1200,-2.7513,-2.5765,1.4212,0.0510,2.6954,2.5692,0.1128,1.6564,2.7065,0.1552
0:01:21,1300,-2.3281,-2.4707,0.9705,0.0319,2.7325,2.5633,0.1112,1.6287,2.7151,0.1563
0:01:25,1400,-2.9993,-2.0778,1.4092,0.0495,2.6953,2.0752,0.1184,1.3850,2.7143,0.1507
0:01:30,1500,-2.4236,-2.6977,0.9605,0.0545,2.7010,2.6290,0.1090,1.6511,2.6937,0.1678
0:01:34,1600,-2.6746,-2.5985,1.2161,0.0632,2.7242,2.3696,0.0904,1.3012,2.7522,0.1549
0:01:38,1700,-2.5747,-2.6598,1.0905,0.0577,2.7393,2.7777,0.1049,1.2004,2.6932,0.1101
0:01:43,1800,-2.1704,-2.8787,0.9395,0.0465,2.7728,3.0441,0.0978,1.4533,2.7657,0.1578
0:01:47,1900,-2.7133,-3.2768,1.2500,0.0469,2.6879,3.4599,0.0885,1.1702,2.6927,0.1701
0:01:51,2000,-1.2974,-3.3670,0.7785,0.0707,2.6370,2.8269,0.1075,0.8326,2.6657,0.1453
0:02:18,2100,-2.2930,-3.4575,1.0113,0.0584,2.7219,3.3213,0.0970,0.9097,2.7738,0.1771
0:02:23,2200,-2.1078,-3.0335,0.7969,0.0208,2.6551,3.2407,0.1081,0.7599,2.6727,0.1721
0:02:27,2300,-1.2132,-3.5429,0.8327,0.0410,2.7589,3.5253,0.0922,0.8271,2.7568,0.0936
0:02:32,2400,-1.8138,-3.4844,1.1750,0.0404,2.7264,3.4423,0.0916,0.8120,2.7478,0.1642
0:02:36,2500,-1.1173,-3.5169,0.6658,0.0297,2.6827,3.9319,0.0963,0.8469,2.7273,0.1526
0:02:41,2600,-2.8841,-3.3166,1.2537,0.0630,2.6298,3.4168,0.0979,0.8600,2.6527,0.1794
0:02:45,2700,-0.4830,-3.7799,0.6962,0.0274,2.7157,3.9158,0.1056,0.6909,2.7016,0.1414
0:02:49,2800,-1.7362,-3.5652,0.5708,0.0818,2.7017,3.4421,0.1068,0.8550,2.7725,0.1389
0:02:54,2900,-1.0280,-3.5938,0.5826,0.0285,2.7646,3.7331,0.1013,0.5335,2.7774,0.1279
0:02:58,3000,-0.4459,-4.0437,1.4380,0.0779,2.7334,3.2190,0.0788,1.1375,2.7824,0.1626
