source,domain,accuracy,loss,f1
WAL,15,0.11320754716981132,23.199717112949916,0.029532403609515995
WAL,16,0.2545454545454545,29.12708064488002,0.10329380764163373
WAL,17,0.24770642201834864,19.24839491540167,0.12531768191919768
WAL,18,0.37272727272727274,15.291725402585664,0.26443704899667203
WAL,19,0.37272727272727274,16.499287612969056,0.28688995215311003
WAL,20,0.3644859813084112,22.160377144813538,0.25592557144465716
WAL,21,0.1941747572815534,25.182902295674598,0.14512784949678154
WAL,22,0.11818181818181818,21.608267341341293,0.02539444027047333
WAL,23,0.1574074074074074,29.93968037338484,0.09674981103552532
WAL,24,0.3177570093457944,26.77921860558646,0.2620930471397761
WAL,25,0.37272727272727274,41.37116998327214,0.28688995215311003
WAL,26,0.09183673469387756,20.97623062133789,0.051879699248120296
WAL,27,0.36363636363636365,19.616586691211392,0.203922973578146
WAL,28,0.2857142857142857,27.996601104736328,0.12698412698412698
WAL,29,0.2755102040816326,16.22761344909668,0.24985994397759106
WAL,30,0.3113207547169811,12.876441496823503,0.22965725708156598
WAL,31,0.3434343434343434,24.770700454711914,0.2611324512732963
WAL,32,0.12962962962962962,30.237247739519393,0.04396019582801192
WAL,33,0.07,26.899682998657227,0.009158878504672896
WAL,34,0.638095238095238,4.757228136062622,0.6444017710913047
WAL,35,0.125,31.31197197309561,0.027777777777777776
WAL,36,0.18181818181818182,22.04116439819336,0.16232500443026757
WAL,37,0.09183673469387756,32.4496955871582,0.0321436949163902
WAL,38,0.1262135922330097,30.897554880580824,0.037835135632909724
WAL,39,0.1,40.61678307397025,0.025490196078431376
WAL,40,0.24,19.222326278686523,0.10838709677419354
WAL,41,0.39603960396039606,4.06659517969404,0.4589059821313939
WAL,42,0.27450980392156865,24.134055595458317,0.21995572422517395
WAL,43,0.1326530612244898,37.279605865478516,0.11125700280112046
WAL,44,0.22448979591836735,15.431188583374023,0.21153067012397697
WAL,45,0.17592592592592593,7.686473899720503,0.13317502128565348
WAL,46,0.3173076923076923,32.2580363690192,0.18111189885383433
WAL,47,0.19,14.078845977783203,0.159406850459482
WAL,48,0.2980769230769231,8.55168581753969,0.16302921884317234
WAL,49,0.13761467889908258,21.985335622515,0.06009174311926606
WAL,50,0.32653061224489793,32.92021942138672,0.28204177897574123
WAL,51,0.45098039215686275,5.021136335047361,0.47170576921877744
WAL,52,0.04081632653061224,28.29253578186035,0.0146906488369903
WAL,53,0.25961538461538464,12.452740119969738,0.20163345690454124
WAL,54,0.32653061224489793,24.58690071105957,0.2825287919627542
WAL,55,0.4380952380952381,33.843267689226195,0.3015744866754041
WAL,56,0.2857142857142857,22.43472671508789,0.12698412698412698
WAL,57,0.2857142857142857,13.007909774780273,0.13675213675213677
WAL,58,0.3723404255319149,5.562719345092773,0.28828351119064977
WAL,59,0.3333333333333333,16.831621170043945,0.1996885482679614
WAL,60,0.32038834951456313,12.40691475674404,0.1768214816758506
WAL,61,0.2815533980582524,22.881675727665424,0.13409260642270351
WAL,62,0.11650485436893204,26.27450111934117,0.024314056563951032
WAL,63,0.29591836734693877,25.104110717773438,0.14585714285714285
WAL,64,0.3163265306122449,7.410146236419678,0.172938443670151
WAL,65,0.14150943396226415,23.675830166674977,0.06247379454926624
WAL,66,0.22448979591836735,22.160419464111328,0.20733384262796029
WAL,67,0.2857142857142857,40.37742614746094,0.12698412698412698
WAL,68,0.1717171717171717,17.154727935791016,0.15180015180015183
WAL,69,0.2653061224489796,22.36315155029297,0.20805917995613543
WAL,70,0.09183673469387756,11.87083625793457,0.04854080659620512
WAL,71,0.09,36.38356018066406,0.014862385321100917
WAL,72,0.35714285714285715,24.58296775817871,0.2987012987012987
WAL,73,0.07216494845360824,23.016592025756836,0.00971451229183188
WAL,74,0.3076923076923077,5.332324981689453,0.30327448082756475
WAL,75,0.07142857142857142,48.25592803955078,0.009523809523809525
