Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_dom,D/loss_gp,D/loss_sd,D/loss_td,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot,G/loss_td
0:00:06,100,-0.7122,0.1793,1.3790,2.6907,0.0005,0.7018,0.6573,-0.2358,0.2760,1.4081,2.6987,0.2638,0.7502
0:00:09,200,-0.3919,0.1667,1.3033,2.6979,0.0036,0.6782,0.6832,-0.1748,0.1218,1.3916,2.7002,0.1247,0.7707
0:00:12,300,-0.3438,0.0393,1.1548,2.7033,0.0013,0.5415,0.7703,-0.0914,0.0895,1.2673,2.6974,0.1215,0.7981
0:00:16,400,-0.4472,0.2477,0.9359,2.7018,0.0083,0.6110,0.5668,-0.1956,0.0939,0.8128,2.7226,0.1316,0.6339
0:00:20,500,-0.5421,0.3099,0.7272,2.7106,0.0089,0.3962,0.6859,-0.3344,0.0942,0.6370,2.7022,0.1525,0.5692
0:00:23,600,-0.4166,0.0896,0.9789,2.7055,0.0013,0.1741,0.4197,-0.0812,0.0704,0.9120,2.7053,0.1305,0.1104
0:00:26,700,-0.1939,-0.0667,0.8155,2.6927,0.0068,0.5455,0.1502,0.0323,0.0792,0.7584,2.7046,0.1195,0.1182
0:00:30,800,-0.2473,-0.0253,0.6811,2.7131,0.0027,0.9704,0.1297,-0.0049,0.0802,0.6741,2.7135,0.1210,0.0621
0:00:33,900,-0.3085,-0.0000,0.8089,2.7144,0.0028,0.1106,0.1611,0.0073,0.0633,0.9226,2.7087,0.1223,0.0253
0:00:37,1000,-0.2054,-0.0099,0.7762,2.7242,0.0012,0.6503,0.2164,-0.0064,0.0671,0.6339,2.7338,0.0755,0.0996
0:01:15,1100,-0.3056,0.0207,0.8747,2.7331,0.0014,0.2301,0.1837,-0.0130,0.0680,0.7616,2.7290,0.1130,0.0189
0:01:18,1200,-0.2884,0.0402,0.5982,2.7284,0.0023,0.0423,0.9904,-0.0311,0.0680,0.5283,2.7361,0.0953,0.1056
0:01:21,1300,-0.3328,0.0475,0.7898,2.7208,0.0013,0.2273,0.1573,-0.0458,0.0626,0.7010,2.7109,0.1099,0.0570
0:01:25,1400,-0.3605,0.0674,0.8475,2.6991,0.0006,0.1252,0.1431,-0.0648,0.0566,0.6803,2.7080,0.1081,0.0152
0:01:28,1500,-0.3932,0.1354,0.8977,2.7073,0.0019,0.0092,0.2659,-0.1276,0.0581,0.6665,2.7203,0.1168,0.0045
0:01:32,1600,-0.4092,0.1303,0.7482,2.6983,0.0016,0.1685,0.0384,-0.1290,0.0623,0.5578,2.7071,0.1005,0.0077
0:01:35,1700,-0.3402,0.1415,0.6862,2.7240,0.0032,0.7294,0.1943,-0.1476,0.0667,0.5210,2.7356,0.0802,0.0972
0:01:38,1800,-0.4129,0.1462,0.5326,2.6847,0.0013,0.0594,0.3331,-0.1416,0.0640,0.4529,2.6897,0.0913,0.0030
0:01:42,1900,-0.3763,0.1392,0.6834,2.6819,0.0038,0.0277,0.6021,-0.1356,0.0568,0.6949,2.7022,0.0763,0.0316
0:01:46,2000,-0.4552,0.1284,0.6875,2.7155,0.0014,0.0008,0.4969,-0.1276,0.0628,0.4585,2.7214,0.1140,0.0130
0:02:23,2100,-0.4504,0.1820,0.7855,2.7184,0.0012,0.0047,0.1289,-0.1802,0.0615,0.5016,2.7202,0.1173,0.0243
0:02:26,2200,-0.5676,0.2177,0.6097,2.6964,0.0014,0.3502,0.3067,-0.2156,0.0701,0.4044,2.7172,0.1325,0.0112
0:02:30,2300,-0.5062,0.1813,0.8240,2.7253,0.0015,0.1608,0.0335,-0.1918,0.0637,0.5350,2.7468,0.1252,0.0008
0:02:33,2400,-0.3804,0.2026,0.9039,2.7274,0.0019,0.4024,0.1100,-0.2043,0.0508,0.6191,2.7390,0.0582,0.0173
0:02:36,2500,-0.4669,0.2098,0.6996,2.6966,0.0012,0.0043,0.1750,-0.2135,0.0612,0.4783,2.6971,0.1097,0.0013
0:02:40,2600,-0.5405,0.2081,0.7607,2.7052,0.0050,0.0107,0.4988,-0.2086,0.0575,0.5184,2.7036,0.1013,0.0008
0:02:44,2700,-0.5051,0.2247,0.6884,2.7060,0.0030,0.0386,0.1976,-0.2238,0.0606,0.4134,2.7039,0.1018,0.0259
0:02:47,2800,-0.3788,0.1844,0.6514,2.7135,0.0023,1.0645,0.1453,-0.1961,0.0603,0.4298,2.7006,0.0632,0.0079
0:02:50,2900,-0.4809,0.1933,0.7324,2.7007,0.0025,0.0565,0.0731,-0.1887,0.0550,0.3862,2.7200,0.0981,0.0051
0:02:54,3000,-0.4881,0.2132,0.7299,2.7046,0.0038,0.0031,0.2414,-0.2083,0.0563,0.3944,2.7105,0.0984,0.0606
0:03:32,3100,-0.4795,0.2293,0.6466,2.7348,0.0020,0.0052,0.0330,-0.2234,0.0632,0.3308,2.7306,0.1006,0.0027
0:03:35,3200,-0.5186,0.2501,0.7457,2.7091,0.0021,0.0122,0.1884,-0.2407,0.0714,0.5034,2.7147,0.0991,0.0908
0:03:38,3300,-0.3857,0.1988,0.6108,2.7259,0.0016,0.4754,0.0364,-0.2039,0.0558,0.3008,2.7105,0.0625,0.0119
0:03:42,3400,-0.4499,0.2185,0.5656,2.6969,0.0034,0.0937,0.0660,-0.2186,0.0596,0.3068,2.6922,0.0809,0.0429
