Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_dom,D/loss_gp,D/loss_td_real,D/loss_td_fake,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot,G/loss_td_fake
0:00:07,100,-0.8104,0.5187,1.3666,2.6706,0.0355,-8.0288,2.6949,-0.5800,0.2140,1.4179,2.6662,0.2067,-2.8447
0:00:11,200,0.2965,-0.5294,1.3818,2.6727,0.0282,-0.4900,-3.2722,0.5546,0.1270,1.4015,2.6766,0.1152,3.3467
0:00:15,300,0.0670,-0.4219,1.3540,2.7181,0.0240,-0.3581,-3.2586,0.3976,0.0945,1.4031,2.7128,0.1249,3.3091
0:00:20,400,0.1468,-0.4771,1.4121,2.7491,0.0306,-0.8191,-2.6048,0.6077,0.0899,1.2730,2.7643,0.1338,3.2248
0:00:24,500,-0.0693,-0.2101,1.2243,2.6995,0.0223,-1.9700,-0.7989,0.2395,0.0963,1.2926,2.7290,0.1397,1.2180
0:00:28,600,0.0775,-0.3127,1.3051,2.7030,0.0085,-1.7956,-0.2146,0.2673,0.0849,1.2863,2.6967,0.1136,-0.0798
0:00:33,700,0.1979,-0.4354,1.3799,2.6820,0.0077,-2.2232,0.1453,0.4873,0.0778,1.3081,2.6817,0.1117,-0.0113
0:00:37,800,0.1813,-0.2423,1.3862,2.6821,0.0080,-4.2670,3.2949,0.2186,0.0896,1.0422,2.6963,0.1057,-3.0591
0:00:41,900,0.5182,-0.5395,1.1530,2.7287,0.0080,-0.6529,-0.4410,0.5299,0.0822,0.8983,2.7226,0.1406,0.5231
0:00:46,1000,0.5285,-0.6253,0.9789,2.7132,0.0133,-0.8616,0.2058,0.6397,0.0742,0.8290,2.7154,0.0933,-0.1396
0:01:22,1100,0.4182,-0.5850,1.0219,2.7123,0.0062,0.3247,-0.6957,0.6367,0.0772,0.8599,2.7083,0.1121,0.8656
0:01:26,1200,0.2701,-0.3594,0.7566,2.7196,0.0135,-0.6340,0.3443,0.2704,0.0759,0.6978,2.7333,0.1076,-0.8839
