Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_gp,D/loss_dom,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom
0:00:08,100,-3.4531,-0.0775,1.4582,0.0247,2.7266,0.3638,0.2846,1.3339,2.7147
0:00:12,200,-1.8956,-0.2720,1.3243,0.0067,2.6777,0.4465,0.1762,1.3783,2.6880
0:00:16,300,-2.4244,0.5382,1.1750,0.0051,2.6928,-0.1828,0.1686,1.4407,2.7001
0:00:21,400,-2.8862,0.6153,1.2273,0.0199,2.7220,-0.8188,0.1666,1.4070,2.7223
0:00:25,500,-1.6167,-0.2625,1.7494,0.0127,2.6950,-0.3940,0.1490,1.3654,2.7155
0:00:29,600,-1.4714,-0.3331,1.0185,0.0162,2.7240,0.1992,0.1524,0.9741,2.7169
0:00:34,700,-1.9021,0.2396,1.0757,0.0029,2.7042,-0.0171,0.1423,0.9273,2.7364
0:00:38,800,-2.5006,0.6675,0.8758,0.0120,2.7258,-0.4567,0.1778,0.8484,2.7246
0:00:43,900,-1.8327,0.7035,1.2080,0.0133,2.6847,-0.7536,0.1181,0.9696,2.6886
0:00:47,1000,-1.8783,1.2988,1.0368,0.0080,2.7284,-1.1780,0.1415,0.6771,2.7166
0:01:03,1100,-1.4075,0.9209,0.7704,0.0067,2.7389,-0.9450,0.1546,0.7352,2.7453
0:01:07,1200,-0.9119,0.9038,0.9773,0.0078,2.6977,-0.7620,0.1402,0.8563,2.6805
0:01:12,1300,-1.3064,0.9056,0.8995,0.0068,2.6788,-0.8848,0.1346,0.9013,2.6945
0:01:16,1400,-1.4388,0.6004,0.7388,0.0108,2.6730,-0.6111,0.1564,0.7214,2.6790
0:01:21,1500,-1.1151,0.4266,0.6880,0.0132,2.7077,-0.5689,0.1656,0.6405,2.7082
0:01:25,1600,-1.4375,0.7403,0.9415,0.0076,2.7203,-0.6857,0.1516,0.8979,2.7251
0:01:30,1700,-1.0493,0.3550,0.7338,0.0075,2.6641,-0.5905,0.1308,0.9624,2.6867
0:01:34,1800,-1.2206,0.4414,1.0875,0.0346,2.7181,-0.4390,0.1095,0.8895,2.7117
0:01:39,1900,-1.1614,0.4548,0.9041,0.0141,2.7379,-0.4387,0.1410,0.8238,2.7194
0:01:43,2000,-1.6519,0.3799,0.7647,0.0235,2.7390,-0.3329,0.1550,0.7295,2.7301
0:01:58,2100,-1.4207,0.1745,1.1854,0.0118,2.6990,-0.2365,0.1282,0.8286,2.7170
0:02:03,2200,-1.0737,0.3343,0.7738,0.0112,2.7310,-0.3380,0.1579,0.7246,2.7169
0:02:07,2300,-1.1170,0.4082,0.6318,0.0229,2.7368,-0.2821,0.1244,0.5843,2.7225
0:02:12,2400,-0.9529,0.2328,0.7130,0.0064,2.6635,-0.2140,0.1282,0.6295,2.7093
0:02:16,2500,-0.7626,0.2554,0.8748,0.0098,2.7359,-0.2712,0.1088,0.7222,2.7249
0:02:21,2600,-0.6684,0.2064,0.5564,0.0032,2.7313,-0.1906,0.1447,0.3947,2.7095
0:02:26,2700,-1.2395,0.2922,0.7901,0.0017,2.7290,-0.3167,0.1368,0.6540,2.7261
0:02:30,2800,-0.4899,0.0555,0.6940,0.0117,2.6695,-0.1153,0.1172,0.6252,2.7002
0:02:35,2900,-0.6862,0.0852,0.5901,0.0367,2.7209,-0.2696,0.1334,0.4203,2.7671
0:02:39,3000,-1.6374,0.3698,1.2705,0.0137,2.7134,-0.3916,0.1377,0.9633,2.7057
0:02:55,3100,-0.8059,0.2381,0.5856,0.0053,2.6810,-0.2389,0.1252,0.5072,2.7133
0:02:59,3200,-1.1673,0.2865,0.7412,0.0225,2.6912,-0.1609,0.1178,0.6397,2.7050
0:03:04,3300,-1.2104,0.2327,0.9611,0.0101,2.7369,-0.2105,0.1245,0.6238,2.7300
0:03:08,3400,-0.7961,0.2535,0.6658,0.0153,2.6546,-0.1833,0.1368,0.4598,2.6888
0:03:13,3500,-1.0128,0.3059,0.6602,0.0051,2.7172,-0.2837,0.1219,0.5004,2.7117
0:03:18,3600,-0.7837,0.0586,0.9432,0.0006,2.7315,-0.0208,0.1294,0.7171,2.7408
0:03:22,3700,-0.7449,0.2190,0.4925,0.0039,2.7473,-0.1686,0.1140,0.4557,2.7119
0:03:27,3800,-0.8968,0.1949,0.8211,0.0041,2.7025,-0.1870,0.1491,0.7345,2.7197
0:03:32,3900,-0.7665,0.1643,0.7217,0.0061,2.7091,-0.1720,0.1377,0.5460,2.7001
0:03:36,4000,-0.9667,0.1211,0.8254,0.0078,2.7392,-0.0891,0.1352,0.6838,2.7374
0:03:52,4100,-1.0709,0.0714,0.7039,0.0091,2.7172,-0.0909,0.1332,0.7170,2.7224
0:03:56,4200,-0.8593,0.1205,0.8587,0.0116,2.7020,-0.1094,0.1437,0.3626,2.6987
