source,domain,accuracy,loss
WAL,15,1.0,0.0471273597329855
WAL,16,0.8309090909090908,0.36105565428733827
WAL,17,0.9418181818181818,0.19738425463438034
WAL,18,0.9436363636363637,0.2017520472407341
WAL,19,1.0,0.13280512094497682
WAL,20,0.9400000000000001,0.23299560844898223
WAL,21,0.8955555555555555,0.2661362200975418
WAL,22,0.9054545454545455,0.29593531489372255
WAL,23,0.8454545454545455,0.30673637986183167
WAL,24,0.9236363636363636,0.30515306293964384
WAL,25,0.8709090909090911,0.3137194812297821
WAL,26,0.8833333333333332,0.28406972736120223
WAL,27,0.8872727272727273,0.2857244938611984
WAL,28,0.8083333333333332,0.27151763141155244
WAL,29,0.9527777777777778,0.21302613765001296
WAL,30,0.8400000000000001,0.3432518929243088
WAL,31,0.925,0.29217433333396914
WAL,32,0.9818181818181818,0.14655157178640366
WAL,33,0.9305555555555556,0.23586238026618958
WAL,34,0.9,0.3110722929239273
WAL,35,0.8711111111111111,0.2839091271162033
WAL,36,0.8805555555555555,0.23207399845123292
WAL,37,0.8305555555555555,0.33671598732471464
WAL,38,0.9155555555555555,0.294477590918541
WAL,39,0.9818181818181818,0.07680629044771195
WAL,40,0.9083333333333332,0.2567616879940033
WAL,41,0.8222222222222222,0.47325907945632933
WAL,42,0.8911111111111112,0.32024300992488863
WAL,43,0.8777777777777779,0.3601004958152771
WAL,44,0.8777777777777779,0.23607109487056732
WAL,45,0.9218181818181819,0.2588209599256516
WAL,46,0.9133333333333333,0.2305077701807022
WAL,47,0.8805555555555555,0.2727105915546417
WAL,48,0.8333333333333334,0.2949265629053116
WAL,49,0.9636363636363636,0.1733711525797844
WAL,50,0.95,0.24014996588230134
WAL,51,0.8022222222222222,0.3536015242338181
WAL,52,0.836111111111111,0.29236103892326354
WAL,53,0.9355555555555556,0.23816245198249816
WAL,54,0.9027777777777779,0.24976574182510375
WAL,55,0.9177777777777777,0.21028813868761062
WAL,56,0.975,0.17528916895389557
WAL,57,0.9027777777777779,0.23474444299936295
WAL,58,0.8714285714285716,0.29308614432811736
WAL,59,1.0,0.16800270676612855
WAL,60,0.8488888888888889,0.30872989594936373
WAL,61,0.8711111111111111,0.43337455987930296
WAL,62,0.9577777777777777,0.18023165613412856
WAL,63,0.8805555555555555,0.4724824756383896
WAL,64,0.975,0.19370570480823518
WAL,65,0.9800000000000001,0.1293879695236683
WAL,66,0.9111111111111111,0.272524456679821
WAL,67,1.0,0.16914432346820832
WAL,68,0.8833333333333332,0.24600397050380707
WAL,69,0.9083333333333332,0.2470142975449562
WAL,70,0.8138888888888889,0.341175252199173
WAL,71,0.9305555555555556,0.2087075248360634
WAL,72,0.8805555555555555,0.25214903652667997
WAL,73,0.8555555555555555,0.3162613779306412
WAL,15,1.0,0.04068432487547398
WAL,16,0.8709090909090909,0.3096350759267807
WAL,17,0.96,0.18436866998672485
WAL,18,0.9272727272727274,0.19130051434040068
WAL,19,0.9818181818181818,0.13865119814872742
WAL,20,0.9200000000000002,0.2707682579755783
WAL,21,0.9377777777777778,0.24684124886989595
WAL,22,0.8690909090909091,0.27267320156097413
WAL,23,0.8654545454545456,0.29513282477855685
WAL,24,0.9218181818181819,0.30649957060813904
WAL,25,0.8345454545454546,0.3414895832538605
WAL,26,0.8833333333333332,0.27760443538427354
WAL,27,0.850909090909091,0.2727023661136627
WAL,28,0.8583333333333332,0.2538731426000595
WAL,29,1.0,0.19396245181560517
WAL,30,0.8400000000000001,0.3329093962907791
WAL,31,0.95,0.254714360833168
WAL,32,0.9618181818181817,0.1279471918940544
WAL,33,0.8833333333333332,0.2508526831865311
WAL,34,0.8155555555555557,0.4333575129508972
WAL,35,0.8911111111111112,0.29597446918487547
WAL,36,0.8833333333333332,0.26458280384540556
WAL,37,0.8555555555555555,0.3146754056215286
WAL,38,0.8133333333333332,0.756377923488617
WAL,39,1.0,0.0665565475821495
WAL,40,0.9083333333333332,0.2629148453474045
WAL,41,0.8666666666666666,0.517644664645195
WAL,42,0.8911111111111112,0.31030391752719877
WAL,43,0.8555555555555555,0.36667948961257935
WAL,44,0.8527777777777779,0.244406495988369
WAL,45,0.9218181818181819,0.235768124461174
WAL,46,0.9355555555555555,0.2314949244260788
WAL,47,0.9083333333333332,0.28613288700580597
WAL,48,0.8533333333333333,0.2739859253168106
WAL,49,0.9454545454545455,0.21011127531528473
WAL,50,0.9277777777777778,0.23443553149700164
WAL,51,0.8244444444444443,0.33114100694656373
WAL,52,0.836111111111111,0.3129985272884369
WAL,53,0.9355555555555555,0.23925135731697084
WAL,54,0.8777777777777779,0.23679879009723664
WAL,55,0.8977777777777778,0.20693777203559877
WAL,56,0.95,0.1939891070127487
WAL,57,0.95,0.26631476283073424
WAL,58,0.8964285714285716,0.28480988144874575
WAL,59,0.9527777777777778,0.14668977558612822
WAL,60,0.8688888888888888,0.29492477476596834
WAL,61,0.8933333333333333,0.5123562961816788
WAL,62,0.9777777777777779,0.16566555202007294
WAL,63,0.8833333333333332,0.37967424690723417
WAL,64,0.975,0.18893058151006697
WAL,65,0.9199999999999999,0.1757752239704132
WAL,66,0.8861111111111111,0.29505605101585386
WAL,67,1.0,0.17557599991559983
WAL,68,0.8805555555555555,0.253110870718956
WAL,69,0.9083333333333332,0.2144824519753456
WAL,70,0.8388888888888889,0.342139033973217
WAL,71,0.861111111111111,0.24068356305360794
WAL,72,0.9305555555555556,0.24905628859996795
WAL,73,0.8805555555555555,0.2875282377004623
WAL,75,0.9527777777777778,0.1761677086353302
