Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_gp,D/loss_cls,D/loss_dom,D/loss_rot,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot
0:00:08,100,-4.0528,-0.1192,1.3540,0.0230,2.7136,0.0000,0.1662,0.3026,1.4354,2.6446,0.3154
0:00:13,200,-2.3300,-0.1930,1.3750,0.0392,2.6987,0.0000,0.3280,0.1746,1.4884,2.6315,0.1764
0:00:18,300,-1.6185,-1.3165,1.3731,0.0189,2.7268,0.0000,1.2345,0.1535,1.4692,2.7018,0.1559
0:00:23,400,-1.6266,-1.4993,1.2529,0.0316,2.7219,0.0000,1.7146,0.1851,1.4656,2.7694,0.1817
0:00:28,500,-1.6281,-1.2241,1.3545,0.0298,2.4403,0.0000,0.9312,0.1669,1.2746,2.4770,0.1610
0:00:33,600,-1.5398,-1.5496,1.3010,0.0222,2.7584,0.0000,1.5146,0.1467,1.6355,2.6762,0.1460
0:00:38,700,-1.5000,-1.5655,1.8026,0.0217,2.8409,0.0000,1.4059,0.1495,1.3927,2.7118,0.1468
0:00:43,800,-1.4545,-1.7467,1.1394,0.0345,2.7079,0.0000,1.6522,0.1482,1.5182,2.7878,0.1448
0:00:48,900,-1.2911,-1.5129,1.0045,0.0231,2.8184,0.0000,1.5416,0.1601,1.1496,2.7542,0.1556
0:00:54,1000,-1.0055,-1.6989,0.7178,0.0214,2.8234,0.0000,1.5007,0.1619,0.8506,2.9076,0.1636
0:01:21,1100,-1.0997,-1.8509,0.9997,0.0203,2.6421,0.0000,1.7276,0.1574,1.1177,2.7140,0.1581
0:01:27,1200,-0.6733,-1.9038,0.7131,0.0215,2.7200,0.0000,1.8033,0.1653,0.9818,2.8530,0.1593
0:01:32,1300,-0.7558,-1.9454,0.8567,0.0062,2.7968,0.0000,2.0253,0.1443,0.8790,2.9095,0.1463
0:01:37,1400,-0.6299,-1.7578,0.6788,0.0159,2.7357,0.0000,1.6813,0.1514,0.6559,2.8810,0.1546
0:01:42,1500,-0.5427,-1.6062,0.7498,0.0048,2.6143,0.0000,1.6799,0.1448,0.7026,2.6755,0.1414
0:01:47,1600,-0.4437,-1.5514,0.7459,0.0150,2.6942,0.0000,1.5544,0.1471,0.8170,2.6984,0.1421
0:01:53,1700,-0.5370,-1.5146,0.7280,0.0061,2.6420,0.0000,1.5018,0.1359,0.7150,2.8352,0.1337
0:01:58,1800,-0.4258,-1.4728,0.7871,0.0146,2.4997,0.0000,1.5420,0.1366,0.5456,2.5867,0.1284
0:02:03,1900,-0.3657,-1.6031,0.7733,0.0149,2.8165,0.0000,1.5799,0.1070,0.5353,3.0530,0.1068
0:02:08,2000,-0.3987,-1.4019,0.6894,0.0040,2.7526,0.0000,1.3291,0.1083,0.6592,2.8368,0.1044
