Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_gp,D/loss_cls,D/loss_dom,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot
0:00:12,100,-9.1198,2.0452,1.3813,0.1418,2.7005,-1.9846,0.3312,1.3501,2.6978,0.2508
0:00:23,200,-6.4938,-1.2576,1.3729,0.0747,2.7783,1.6711,0.1622,1.3748,2.7628,0.1730
0:00:33,300,-7.1783,-1.0073,1.4163,0.1396,2.7251,0.1452,0.1358,1.3953,2.7259,0.1533
0:00:43,400,-1.7242,-4.0127,1.4442,0.0460,2.7054,4.1528,0.1417,1.4257,2.7033,0.1650
0:00:54,500,-3.2669,-1.1700,1.3171,0.0238,2.6922,1.0436,0.1056,1.3102,2.6823,0.1233
0:01:04,600,-3.2152,-1.2656,1.3425,0.0120,2.7688,1.1520,0.1028,1.3370,2.7572,0.1610
0:01:14,700,-1.3537,-2.1507,1.3297,0.0220,2.6916,1.9035,0.1031,1.3270,2.6969,0.1251
0:01:26,800,-2.8779,-0.4717,1.3976,0.0157,2.7283,0.3737,0.0936,1.3872,2.7115,0.1020
0:01:37,900,-2.2237,-0.2464,1.3267,0.0096,2.7229,0.1469,0.1054,1.3256,2.7072,0.1410
0:01:47,1000,-1.3273,-1.1474,1.3334,0.0040,2.7004,1.1517,0.0815,1.3314,2.6958,0.1000
0:02:23,1100,-2.9988,0.1626,1.3904,0.0178,2.7368,-0.3801,0.0851,1.3920,2.7217,0.1052
0:02:34,1200,-3.2944,1.1688,1.3045,0.0021,2.7293,-1.3407,0.0994,1.3020,2.7203,0.1378
0:02:45,1300,-1.9838,-0.1192,1.3198,0.0273,2.7162,0.0617,0.0819,1.3172,2.7136,0.1311
0:02:56,1400,-0.8169,0.5200,1.3593,0.0297,2.7165,-0.3169,0.1101,1.3535,2.7001,0.1493
0:03:08,1500,-4.2154,3.6950,1.3684,0.0027,2.7589,-3.2607,0.0943,1.3682,2.7357,0.1589
0:03:18,1600,-4.7551,3.9063,1.3626,0.0044,2.6737,-4.5437,0.1148,1.3533,2.6703,0.1288
0:03:29,1700,-2.8950,2.6919,1.3201,0.0094,2.7004,-2.6246,0.0792,1.3157,2.6929,0.0728
0:03:40,1800,-6.2085,3.9599,1.4077,0.0038,2.6469,-4.4901,0.0701,1.4043,2.6434,0.1536
