Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_dom,D/loss_gp,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot
0:00:05,100,-1.0570,-0.0018,1.3241,2.7028,0.0045,0.0457,0.3438,1.6328,2.7089,0.3655
0:00:08,200,-1.2397,0.9942,0.9754,2.7067,0.0012,-0.9594,0.1022,1.1506,2.7037,0.1434
0:00:10,300,-0.8688,0.6184,0.6270,2.7053,0.0020,-0.6475,0.0873,0.6636,2.7049,0.1450
0:00:13,400,-0.8762,0.7377,0.9211,2.6965,0.0011,-0.7284,0.0639,0.8551,2.7072,0.1111
0:00:15,500,-0.8915,0.7394,0.8012,2.6872,0.0012,-0.7441,0.0684,0.6533,2.6841,0.1202
0:00:18,600,-0.9731,0.8364,0.7644,2.7143,0.0012,-0.8289,0.0676,0.5381,2.6948,0.1201
0:00:20,700,-0.8537,0.7858,0.7345,2.7144,0.0040,-0.7992,0.0707,0.9628,2.7056,0.0986
0:00:23,800,-0.9940,0.9053,0.7745,2.6637,0.0015,-0.8768,0.0579,0.4613,2.6886,0.1079
0:00:25,900,-0.8340,0.7473,0.7277,2.6990,0.0014,-0.7532,0.0572,0.4538,2.6844,0.1062
0:00:28,1000,-0.9050,0.8322,0.5398,2.6984,0.0020,-0.8494,0.0579,0.3968,2.6921,0.1045
0:01:05,1100,-0.9592,0.8517,0.6363,2.6994,0.0016,-0.8263,0.0563,0.5550,2.7195,0.1123
0:01:08,1200,-0.8724,0.7804,0.8419,2.6981,0.0013,-0.7555,0.0571,0.3379,2.6972,0.1078
0:01:10,1300,-0.8839,0.7912,0.5514,2.7085,0.0013,-0.7840,0.0559,0.2995,2.7051,0.1130
0:01:13,1400,-0.9311,0.8288,0.5641,2.7140,0.0013,-0.8260,0.0601,0.3169,2.7383,0.1193
0:01:16,1500,-0.8960,0.7968,0.6248,2.7169,0.0012,-0.8231,0.0558,0.3509,2.6982,0.1139
0:01:19,1600,-0.8428,0.7520,0.9551,2.7063,0.0013,-0.7381,0.0524,0.3012,2.7254,0.1001
0:01:21,1700,-0.9291,0.8528,0.5968,2.6942,0.0019,-0.8528,0.0475,0.2437,2.7057,0.1000
0:01:24,1800,-0.8332,0.7341,0.5675,2.7394,0.0018,-0.7282,0.0556,0.2218,2.7206,0.1262
0:01:27,1900,-0.8136,0.7271,0.8044,2.7220,0.0020,-0.7304,0.0458,0.2339,2.7195,0.1021
0:01:30,2000,-0.7899,0.6835,0.4623,2.7317,0.0019,-0.6620,0.0598,0.1536,2.7136,0.1437
0:02:07,2100,-0.7731,0.6834,0.8113,2.6858,0.0016,-0.6658,0.0417,0.2483,2.6765,0.0922
0:02:10,2200,-0.8084,0.7056,0.4222,2.7370,0.0035,-0.6601,0.0528,0.1548,2.7229,0.1276
0:02:12,2300,-0.7505,0.6656,0.6132,2.6966,0.0014,-0.6676,0.0446,0.1504,2.7016,0.1031
0:02:15,2400,-0.7232,0.6287,0.9202,2.7083,0.0018,-0.6394,0.0493,0.1822,2.6808,0.1186
0:02:18,2500,-0.7249,0.6313,0.4179,2.7259,0.0016,-0.6119,0.0481,0.1822,2.7221,0.1234
0:02:21,2600,-0.7068,0.6174,0.4752,2.7183,0.0010,-0.6099,0.0497,0.1330,2.7078,0.1194
0:02:23,2700,-0.6768,0.5731,0.4763,2.7002,0.0008,-0.5872,0.0489,0.1507,2.6928,0.1172
0:02:26,2800,-0.6582,0.5760,0.6106,2.7233,0.0009,-0.5449,0.0517,0.1122,2.7356,0.1269
0:02:29,2900,-0.6551,0.5760,0.4767,2.7126,0.0023,-0.5785,0.0435,0.1143,2.7733,0.1184
0:02:32,3000,-0.6494,0.5736,0.4161,2.7092,0.0010,-0.5657,0.0415,0.0963,2.7164,0.1105
0:03:08,3100,-0.6029,0.5026,0.3647,2.7134,0.0015,-0.5102,0.0489,0.1219,2.7753,0.1400
0:03:11,3200,-0.5774,0.5081,0.4653,2.7359,0.0015,-0.5171,0.0407,0.0966,2.7250,0.1111
0:03:14,3300,-0.5501,0.4411,0.5317,2.6799,0.0020,-0.4361,0.0521,0.1082,2.7636,0.1149
0:03:16,3400,-0.3390,0.2962,0.3752,2.7189,0.0015,-0.2880,0.0436,0.0783,2.7195,0.1344
0:03:19,3500,-0.3575,0.3132,0.5990,2.7097,0.0012,-0.3217,0.0415,0.0633,2.7348,0.1112
0:03:21,3600,-0.3722,0.3058,0.3064,2.7126,0.0019,-0.3008,0.0468,0.0503,2.6831,0.1365
0:03:24,3700,-0.3803,0.3074,0.1805,2.6714,0.0010,-0.3057,0.0439,0.0490,2.6389,0.1220
0:03:27,3800,-0.3949,0.3265,0.2014,2.7165,0.0013,-0.3331,0.0516,0.0237,2.7294,0.1463
0:03:30,3900,-0.3754,0.3126,0.5224,2.6937,0.0012,-0.3045,0.0442,0.0486,2.7186,0.1363
0:03:32,4000,-0.3773,0.3227,0.3208,2.7088,0.0015,-0.3275,0.0423,0.0285,2.7125,0.1187
0:04:09,4100,-0.3743,0.3211,0.2477,2.6892,0.0020,-0.3217,0.0414,0.0188,2.7010,0.1201
0:04:12,4200,-0.3779,0.3147,0.2603,2.7037,0.0012,-0.3181,0.0355,0.0266,2.6643,0.1143
0:04:14,4300,-0.3683,0.3110,0.3993,2.7403,0.0030,-0.3111,0.0456,0.0211,2.7313,0.1326
0:04:16,4400,-0.3340,0.2790,0.1993,2.7255,0.0016,-0.2824,0.0373,0.0210,2.7230,0.1211
0:04:19,4500,-0.3555,0.2837,0.4525,2.7222,0.0018,-0.2798,0.0409,0.0236,2.7693,0.1219
0:04:22,4600,-0.3328,0.2775,0.2298,2.7473,0.0011,-0.2736,0.0404,0.0243,2.7113,0.1199
0:04:25,4700,-0.3447,0.2840,0.3781,2.7564,0.0014,-0.2685,0.0413,0.0199,2.7362,0.1294
0:04:27,4800,-0.3568,0.2894,0.2397,2.7009,0.0015,-0.2673,0.0407,0.0171,2.7095,0.1281
0:04:30,4900,-0.2220,0.0304,0.2669,2.6847,0.0017,-0.0251,0.0887,0.1401,2.6774,0.1154
0:04:32,5000,-0.2662,0.1139,0.2489,2.7065,0.0024,-0.1154,0.0581,0.0232,2.7072,0.0948
0:05:10,5100,-0.2807,0.0963,0.1431,2.6786,0.0024,-0.0935,0.0672,0.0233,2.6960,0.1159
0:05:12,5200,-0.2619,0.1086,0.3956,2.7421,0.0024,-0.1093,0.0536,0.0165,2.7408,0.1051
0:05:15,5300,-0.2662,0.1559,0.2536,2.6881,0.0015,-0.1543,0.0454,0.0313,2.6897,0.0953
0:05:17,5400,-0.2911,0.1744,0.2938,2.6819,0.0012,-0.1786,0.0486,0.0402,2.7351,0.0980
0:05:20,5500,-0.2719,0.1753,0.2795,2.6618,0.0013,-0.1753,0.0418,0.0178,2.6853,0.0895
0:05:23,5600,-0.2517,0.1753,0.3433,2.7192,0.0016,-0.1723,0.0389,0.0263,2.7141,0.0893
0:05:25,5700,-0.2679,0.1674,0.1888,2.7448,0.0009,-0.1714,0.0444,0.0184,2.7383,0.0992
0:05:28,5800,-0.2713,0.1669,0.2922,2.7162,0.0018,-0.1735,0.0480,0.0181,2.6976,0.1030
0:05:30,5900,-0.2761,0.1814,0.3487,2.7180,0.0017,-0.1756,0.0428,0.0134,2.7554,0.0995
0:05:33,6000,-0.2732,0.1890,0.3690,2.7045,0.0032,-0.1942,0.0481,0.0596,2.6756,0.1039
0:06:11,6100,-0.2420,0.1706,0.2264,2.7078,0.0018,-0.1754,0.0373,0.0325,2.6968,0.0934
0:06:13,6200,-0.2580,0.1640,0.1850,2.7413,0.0017,-0.1656,0.0436,0.0146,2.8459,0.1027
0:06:16,6300,-0.2489,0.1656,0.1130,2.7097,0.0019,-0.1701,0.0362,0.0142,2.6966,0.0910
0:06:18,6400,-0.2660,0.1739,0.3502,2.7536,0.0009,-0.1648,0.0477,0.0161,2.7267,0.1061
0:06:21,6500,-0.2481,0.1666,0.2901,2.7679,0.0016,-0.1622,0.0431,0.0129,2.7090,0.1021
0:06:24,6600,-0.2468,0.1787,0.2247,2.7235,0.0013,-0.1816,0.0380,0.0128,2.7388,0.1004
0:06:26,6700,-0.2528,0.1708,0.4014,2.7025,0.0021,-0.1519,0.0424,0.0208,2.6892,0.1018
0:06:29,6800,-0.2354,0.1691,0.2520,2.7080,0.0013,-0.1760,0.0347,0.0539,2.7081,0.0896
0:06:31,6900,-0.2474,0.1553,0.1105,2.7541,0.0012,-0.1505,0.0405,0.0154,2.7546,0.1023
0:06:34,7000,-0.2157,0.1246,0.2290,2.7371,0.0014,-0.1369,0.0433,0.0146,2.7145,0.1007
0:07:10,7100,-0.2220,0.1579,0.3427,2.7515,0.0015,-0.1598,0.0392,0.0208,2.7572,0.0993
0:07:13,7200,-0.2161,0.1519,0.4757,2.7050,0.0011,-0.1487,0.0340,0.0174,2.7136,0.0887
0:07:16,7300,-0.2183,0.1468,0.4400,2.7769,0.0017,-0.1474,0.0381,0.0113,2.7591,0.1025
0:07:19,7400,-0.2248,0.1406,0.1562,2.7406,0.0012,-0.1474,0.0397,0.0245,2.7307,0.1023
0:07:21,7500,-0.2033,0.1311,0.4077,2.7218,0.0017,-0.1231,0.0363,0.0350,2.6993,0.0886
0:07:23,7600,-0.2053,0.1267,0.1310,2.7392,0.0011,-0.1282,0.0367,0.0143,2.7072,0.1005
0:07:26,7700,-0.1499,-0.1382,0.3763,2.6919,0.0021,0.1411,0.1086,0.9255,2.6734,0.1398
0:07:28,7800,-0.1112,-0.0637,0.2033,2.7192,0.0024,0.0634,0.0576,0.0180,2.6994,0.1065
0:07:32,7900,-0.1164,-0.0117,0.0744,2.6790,0.0024,0.0133,0.0504,0.0604,2.7047,0.1078
0:07:34,8000,-0.1462,0.0162,0.0920,2.7252,0.0009,-0.0169,0.0448,0.0102,2.6962,0.0944
0:08:10,8100,-0.1407,0.0222,0.2897,2.7143,0.0015,-0.0307,0.0445,0.0184,2.6896,0.0983
0:08:13,8200,-0.1200,-0.0038,0.2393,2.7049,0.0007,0.0026,0.0401,0.0276,2.7240,0.0950
0:08:16,8300,-0.1171,0.0028,0.1114,2.7541,0.0011,-0.0122,0.0433,0.0079,2.7246,0.1003
0:08:18,8400,-0.1274,0.0071,0.1774,2.7564,0.0009,-0.0111,0.0456,0.0415,2.6774,0.1008
0:08:20,8500,-0.1111,-0.0063,0.1320,2.6930,0.0013,0.0101,0.0402,0.0266,2.6925,0.0976
0:08:23,8600,-0.1000,-0.0203,0.0982,2.7259,0.0011,0.0117,0.0372,0.0130,2.6880,0.0905
0:08:25,8700,-0.1117,-0.0236,0.2903,2.7286,0.0020,0.0181,0.0436,0.0284,2.7732,0.1070
0:08:29,8800,-0.0908,-0.0246,0.2786,2.7438,0.0011,0.0306,0.0396,0.0141,2.7376,0.0956
0:08:31,8900,-0.0853,-0.0282,0.1866,2.6760,0.0014,0.0281,0.0359,0.0160,2.7194,0.0918
0:08:34,9000,-0.1092,-0.0165,0.3006,2.7115,0.0016,0.0253,0.0381,0.0258,2.7259,0.0944
0:09:09,9100,-0.0885,-0.0311,0.1663,2.6993,0.0015,0.0314,0.0381,0.0144,2.7146,0.0966
0:09:12,9200,-0.0784,-0.0124,0.4103,2.7161,0.0009,0.0268,0.0362,0.0181,2.7192,0.0890
0:09:15,9300,-0.0972,0.0001,0.1796,2.7693,0.0009,-0.0030,0.0398,0.0164,2.7325,0.1002
0:09:17,9400,-0.0886,0.0084,0.1021,2.6913,0.0012,-0.0104,0.0371,0.0094,2.7285,0.0936
0:09:19,9500,-0.0993,0.0107,0.1969,2.7306,0.0011,-0.0067,0.0346,0.0158,2.7060,0.0902
0:09:22,9600,-0.1071,0.0310,0.1713,2.7104,0.0009,-0.0252,0.0369,0.0327,2.7204,0.0973
0:09:25,9700,-0.0952,0.0044,0.0765,2.6710,0.0011,-0.0069,0.0345,0.0117,2.6704,0.0883
0:09:28,9800,-0.1082,0.0158,0.0534,2.7637,0.0015,-0.0206,0.0370,0.0073,2.7450,0.0969
0:09:30,9900,-0.1023,0.0259,0.2183,2.7080,0.0015,-0.0191,0.0368,0.0129,2.7258,0.0907
0:09:33,10000,-0.0977,0.0298,0.1388,2.7231,0.0020,-0.0278,0.0328,0.0129,2.7217,0.0900
0:13:28,10100,-0.0924,0.0247,0.2517,2.7133,0.0015,-0.0313,0.0341,0.0193,2.7029,0.0915
0:13:31,10200,-0.1013,0.0301,0.2572,2.7462,0.0013,-0.0216,0.0334,0.0302,2.6900,0.0869
0:13:33,10300,-0.1157,0.0376,0.0892,2.6815,0.0018,-0.0458,0.0378,0.0129,2.6272,0.1038
0:13:36,10400,-0.0673,0.0122,0.3555,2.6811,0.0018,-0.0221,0.0302,0.0135,2.6935,0.0837
0:13:38,10500,-0.1011,0.0316,0.0417,2.6766,0.0021,-0.0385,0.0364,0.0160,2.7079,0.0951
0:13:41,10600,-0.0942,0.0320,0.1964,2.6868,0.0019,-0.0363,0.0308,0.0126,2.6978,0.0875
0:13:44,10700,-0.0886,0.0090,0.1236,2.7235,0.0014,-0.0031,0.0370,0.0140,2.6490,0.0960
0:13:46,10800,-0.1003,0.0344,0.1591,2.6995,0.0013,-0.0354,0.0342,0.0170,2.7073,0.0903
0:13:49,10900,-0.1212,0.0544,0.2331,2.7249,0.0023,-0.0399,0.0328,0.0092,2.7162,0.0885
0:13:51,11000,-0.0963,0.0329,0.1699,2.7430,0.0023,-0.0274,0.0329,0.0509,2.7282,0.0980
0:14:28,11100,-0.0672,0.0303,0.0502,2.6988,0.0014,-0.0297,0.0325,0.0059,2.7143,0.0935
0:14:30,11200,-0.1143,0.0694,0.2468,2.7390,0.0017,-0.0726,0.0419,0.0098,2.7088,0.1044
0:14:33,11300,-0.1036,0.0494,0.2309,2.6709,0.0008,-0.0488,0.0324,0.0085,2.7176,0.0919
0:14:35,11400,-0.0947,0.0480,0.0788,2.7146,0.0010,-0.0489,0.0288,0.0129,2.7057,0.0870
0:14:38,11500,-0.0958,0.0424,0.1734,2.7339,0.0015,-0.0369,0.0355,0.0119,2.7247,0.1066
0:14:41,11600,-0.0945,0.0266,0.0909,2.7122,0.0009,-0.0269,0.0334,0.0060,2.7083,0.0914
0:14:44,11700,-0.0890,0.0219,0.1110,2.7037,0.0019,-0.0215,0.0327,0.0093,2.6905,0.0970
0:14:46,11800,-0.0868,0.0059,0.2567,2.7563,0.0014,-0.0069,0.0362,0.0062,2.7142,0.1026
0:14:49,11900,-0.0700,0.0130,0.4033,2.6687,0.0013,-0.0159,0.0330,0.0302,2.6681,0.0877
0:14:51,12000,-0.0886,0.0244,0.1812,2.6964,0.0017,-0.0240,0.0339,0.0104,2.7093,0.0962
0:15:29,12100,-0.0733,0.0156,0.2494,2.6772,0.0012,-0.0154,0.0306,0.0325,2.7340,0.0946
0:15:31,12200,-0.0720,0.0123,0.0659,2.7043,0.0017,-0.0147,0.0323,0.0079,2.7094,0.0914
0:15:34,12300,-0.0717,0.0086,0.0700,2.7423,0.0012,-0.0093,0.0302,0.0041,2.6936,0.0848
0:15:37,12400,-0.0845,0.0274,0.1031,2.7501,0.0021,-0.0301,0.0310,0.0252,2.7458,0.0924
0:15:40,12500,-0.0851,0.0158,0.1191,2.7658,0.0017,-0.0152,0.0338,0.0061,2.7063,0.0998
0:15:42,12600,-0.0890,0.0212,0.0510,2.7492,0.0013,-0.0220,0.0339,0.0093,2.7305,0.0970
0:15:45,12700,-0.0693,-0.0151,0.0916,2.6993,0.0014,0.0105,0.0365,0.0062,2.6957,0.0921
0:15:47,12800,-0.0577,-0.0097,0.3245,2.7360,0.0026,0.0062,0.0327,0.0069,2.7022,0.0885
0:15:50,12900,-0.0662,0.0008,0.2089,2.7090,0.0008,-0.0038,0.0310,0.0151,2.7180,0.0878
0:15:53,13000,-0.0838,0.0213,0.2607,2.7579,0.0011,-0.0154,0.0323,0.0146,2.7232,0.0923
0:16:29,13100,-0.0729,0.0074,0.1713,2.6821,0.0016,-0.0183,0.0356,0.0141,2.7042,0.0978
0:16:31,13200,-0.0685,0.0118,0.0794,2.7140,0.0018,-0.0126,0.0335,0.0052,2.7367,0.0932
0:16:34,13300,-0.0596,0.0014,0.0585,2.7139,0.0011,-0.0094,0.0288,0.0051,2.7399,0.0995
0:16:37,13400,-0.0754,0.0163,0.1046,2.6951,0.0012,-0.0143,0.0316,0.0240,2.6785,0.0917
0:16:40,13500,-0.0777,0.0157,0.0272,2.6960,0.0011,-0.0137,0.0320,0.0044,2.7279,0.0975
0:16:42,13600,-0.0665,0.0017,0.2884,2.7157,0.0019,-0.0103,0.0330,0.0116,2.7304,0.0990
0:16:45,13700,-0.0750,0.0109,0.0528,2.7434,0.0018,-0.0048,0.0296,0.0060,2.7095,0.0918
0:16:48,13800,-0.0609,0.0102,0.1009,2.7427,0.0010,-0.0034,0.0296,0.0105,2.7647,0.0901
0:16:51,13900,-0.0687,0.0095,0.0846,2.7154,0.0021,-0.0112,0.0326,0.0163,2.7207,0.1045
0:16:54,14000,-0.0592,-0.0024,0.2041,2.6976,0.0016,-0.0029,0.0331,0.0040,2.7219,0.1004
0:17:30,14100,-0.0680,0.0082,0.1364,2.7072,0.0017,-0.0041,0.0291,0.0065,2.6952,0.0949
0:17:33,14200,-0.0676,0.0022,0.0849,2.7425,0.0024,-0.0062,0.0287,0.0172,2.7182,0.0987
0:17:36,14300,-0.0436,-0.0091,0.1161,2.6650,0.0009,0.0088,0.0288,0.0068,2.6532,0.0895
0:17:39,14400,-0.0558,-0.0098,0.0365,2.7130,0.0014,0.0154,0.0325,0.0052,2.6910,0.1006
0:17:41,14500,-0.0609,-0.0006,0.3323,2.7264,0.0018,0.0004,0.0297,0.0316,2.7332,0.0908
0:17:43,14600,-0.0527,-0.0098,0.1029,2.7444,0.0011,0.0012,0.0291,0.0109,2.7040,0.0889
0:17:46,14700,-0.0618,0.0082,0.0679,2.7190,0.0017,-0.0167,0.0302,0.0080,2.7416,0.0937
0:17:49,14800,-0.0533,-0.1940,0.2954,2.7390,0.0016,0.2008,0.0869,0.0774,2.7404,0.1287
