Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_dom,D/loss_gp,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot
0:00:05,100,-0.7628,0.2615,1.3807,2.7045,0.0015,-0.2635,0.2620,1.3891,2.7057,0.2540
0:00:08,200,-0.4171,0.0889,1.3136,2.7147,0.0041,-0.2039,0.1129,1.3908,2.7117,0.1219
0:00:11,300,-0.4172,-0.0390,0.8587,2.7035,0.0013,-0.0096,0.1014,1.1457,2.7053,0.1407
0:00:13,400,-0.6282,0.5027,1.0598,2.7014,0.0029,-0.4913,0.0807,1.0088,2.7080,0.0997
0:00:16,500,-0.7498,0.5907,0.9086,2.7018,0.0033,-0.5828,0.0777,0.8566,2.7015,0.1287
0:00:18,600,-0.7981,0.4873,0.7410,2.7159,0.0017,-0.4824,0.0776,0.8076,2.7223,0.1152
0:00:21,700,-0.5868,0.3481,0.8170,2.7137,0.0045,-0.3550,0.0684,0.7710,2.7015,0.1065
0:00:24,800,-0.6873,0.4881,0.8768,2.6999,0.0010,-0.5196,0.0581,0.7116,2.6968,0.0885
0:00:26,900,-0.6206,0.3833,0.8488,2.6920,0.0029,-0.4141,0.0651,1.2848,2.6787,0.1034
0:00:29,1000,-0.5397,0.3286,0.7473,2.7113,0.0016,-0.3599,0.0632,0.6314,2.7098,0.0729
0:01:06,1100,-0.6306,0.3619,0.8748,2.7074,0.0023,-0.2987,0.0626,0.6326,2.7169,0.1002
0:01:09,1200,-0.5977,0.3495,0.8047,2.6918,0.0015,-0.3631,0.0593,0.6210,2.6951,0.0852
0:01:11,1300,-0.6123,0.3746,0.6387,2.7247,0.0014,-0.3908,0.0608,0.5868,2.7166,0.0929
0:01:14,1400,-0.6167,0.3415,0.6150,2.7128,0.0010,-0.3490,0.0646,0.6879,2.7277,0.0973
0:01:16,1500,-0.6499,0.4013,0.7457,2.7011,0.0023,-0.3988,0.0667,0.6184,2.7175,0.1049
0:01:19,1600,-0.5598,0.2933,0.9315,2.6932,0.0007,-0.2931,0.0548,0.6078,2.7173,0.0914
0:01:22,1700,-0.5790,0.3656,0.7673,2.7074,0.0011,-0.3701,0.0543,0.6626,2.7017,0.0628
0:01:24,1800,-0.5488,0.2915,0.5846,2.7173,0.0008,-0.2837,0.0650,0.4864,2.6983,0.0860
0:01:27,1900,-0.5693,0.3304,0.8075,2.7293,0.0014,-0.3435,0.0532,0.4849,2.7319,0.0716
0:01:29,2000,-0.5673,0.2510,0.5308,2.6970,0.0036,-0.2295,0.0749,0.3440,2.6694,0.1054
0:02:05,2100,-0.6509,0.4111,0.9210,2.7207,0.0007,-0.3909,0.0507,0.6743,2.7149,0.0968
0:02:08,2200,-0.6294,0.3199,0.4995,2.7261,0.0011,-0.3106,0.0676,0.3959,2.7214,0.1175
0:02:10,2300,-0.4726,0.1903,0.8618,2.6901,0.0007,-0.2138,0.0570,0.5130,2.7161,0.1067
0:02:13,2400,-0.4532,0.2263,0.7171,2.6976,0.0009,-0.2233,0.0567,0.4931,2.6773,0.0671
0:02:15,2500,-0.4748,0.2456,0.6250,2.7236,0.0006,-0.2356,0.0606,0.3907,2.7220,0.0885
0:02:18,2600,-0.6297,0.3189,0.6538,2.7007,0.0026,-0.3157,0.0620,0.5761,2.7208,0.0916
0:02:21,2700,-0.5356,0.2129,0.6033,2.6809,0.0065,-0.2109,0.0578,0.5189,2.6830,0.0992
0:02:23,2800,-0.4563,0.2331,0.6795,2.7102,0.0005,-0.2409,0.0636,0.4821,2.7439,0.0689
0:02:26,2900,-0.4697,0.1739,0.6146,2.7146,0.0019,-0.1785,0.0560,0.5361,2.7507,0.0860
0:02:28,3000,-0.4622,0.2005,0.8025,2.7287,0.0023,-0.2061,0.0527,0.4638,2.7264,0.0879
0:03:04,3100,-0.5023,0.2739,0.5812,2.6779,0.0006,-0.2680,0.0671,0.3038,2.7345,0.0953
0:03:07,3200,-0.4705,0.1981,0.5636,2.7213,0.0016,-0.2128,0.0538,0.4640,2.7167,0.0791
0:03:09,3300,-0.5315,0.3872,0.7620,2.7043,0.0104,-0.3615,0.0550,0.4824,2.7435,0.0839
0:03:12,3400,-0.5832,0.3905,0.6073,2.7199,0.0115,-0.3260,0.0576,0.3217,2.7135,0.0737
0:03:15,3500,-0.3953,0.2603,0.7973,2.6890,0.0022,-0.2567,0.0508,0.3812,2.7159,0.0725
0:03:18,3600,-0.3595,0.2535,0.6625,2.6901,0.0027,-0.2688,0.0553,0.2940,2.7077,0.0573
0:03:20,3700,-0.3611,0.2062,0.4498,2.6658,0.0017,-0.2073,0.0531,0.3545,2.6674,0.0730
0:03:23,3800,-0.4725,0.3309,0.4299,2.6776,0.0014,-0.3349,0.0680,0.2647,2.7161,0.0751
0:03:25,3900,-0.4747,0.3327,0.6196,2.6817,0.0015,-0.3336,0.0549,0.2917,2.7012,0.0642
0:03:28,4000,-0.4096,0.2496,0.6949,2.6968,0.0011,-0.2594,0.0521,0.3405,2.7137,0.0663
0:04:03,4100,-0.4007,0.3030,0.5699,2.6627,0.0011,-0.3067,0.0613,0.2945,2.7109,0.0781
0:04:06,4200,-0.4064,0.2652,0.5766,2.6895,0.0008,-0.2719,0.0435,0.3269,2.6655,0.0531
0:04:08,4300,-0.3654,0.2514,0.6075,2.7191,0.0009,-0.2693,0.0558,0.2582,2.7193,0.0578
0:04:11,4400,-0.3637,0.2384,0.5053,2.7380,0.0010,-0.2419,0.0502,0.2352,2.7074,0.0621
0:04:14,4500,-0.4317,0.2465,0.6534,2.7125,0.0027,-0.2307,0.0548,0.1877,2.7523,0.0740
0:04:16,4600,-0.3348,0.1974,0.4345,2.7157,0.0022,-0.1986,0.0500,0.2432,2.7061,0.0648
0:04:19,4700,-0.2885,0.1918,0.6695,2.7432,0.0022,-0.2043,0.0489,0.1997,2.7305,0.0522
0:04:21,4800,-0.4913,0.3098,0.5504,2.6861,0.0023,-0.2912,0.0533,0.1667,2.6892,0.0736
0:04:24,4900,-0.3845,0.2299,0.6896,2.6904,0.0007,-0.2109,0.0467,0.1847,2.6710,0.0665
0:04:27,5000,-0.3268,0.2122,0.5997,2.7115,0.0029,-0.2196,0.0441,0.2141,2.7072,0.0557
0:05:02,5100,-0.3026,0.2161,0.4112,2.6887,0.0009,-0.2366,0.0525,0.1502,2.7132,0.0527
0:05:05,5200,-0.3655,0.2583,0.4804,2.7193,0.0015,-0.2435,0.0528,0.1668,2.7148,0.0524
0:05:07,5300,-0.5075,0.2955,0.5227,2.6842,0.0015,-0.2828,0.0493,0.1402,2.6868,0.0924
0:05:10,5400,-0.2918,0.2183,0.5688,2.6685,0.0026,-0.2148,0.0503,0.1270,2.6913,0.0535
0:05:13,5500,-0.4082,0.2973,0.6345,2.6787,0.0020,-0.3117,0.0463,0.1828,2.7083,0.0514
0:05:15,5600,-0.2946,0.2043,0.6174,2.7298,0.0022,-0.1954,0.0392,0.1557,2.7240,0.0458
0:05:18,5700,-0.3136,0.1895,0.5663,2.7513,0.0015,-0.1843,0.0468,0.1055,2.7216,0.0560
0:05:20,5800,-0.3757,0.2408,0.5173,2.7114,0.0012,-0.2396,0.0548,0.0969,2.7109,0.0569
0:05:24,5900,-0.2643,0.1779,0.5889,2.7212,0.0032,-0.1758,0.0463,0.1430,2.7578,0.0476
0:05:26,6000,-0.2393,0.1159,0.5482,2.6820,0.0011,-0.1300,0.0583,0.1593,2.6746,0.0688
0:06:02,6100,-0.3725,0.2555,0.4289,2.6914,0.0021,-0.2578,0.0464,0.1024,2.7039,0.0568
0:06:04,6200,-0.3271,0.2195,0.4912,2.7138,0.0021,-0.2097,0.0510,0.0736,2.7706,0.0552
0:06:07,6300,-0.2591,0.1824,0.3309,2.6951,0.0014,-0.1867,0.0395,0.0728,2.7022,0.0400
0:06:10,6400,-0.2501,0.0410,0.5612,2.7297,0.0019,-0.0477,0.0574,0.0927,2.7150,0.0677
0:06:12,6500,-0.3582,0.1655,0.7988,2.7288,0.0016,-0.1700,0.0605,0.1286,2.7125,0.0942
0:06:15,6600,-0.2601,0.1345,0.6208,2.7157,0.0007,-0.1345,0.0484,0.1038,2.7340,0.0606
0:06:18,6700,-0.2603,0.1517,0.3835,2.6992,0.0013,-0.1548,0.0486,0.0799,2.7173,0.0553
0:06:21,6800,-0.2446,0.1314,0.6076,2.7126,0.0009,-0.1191,0.0461,0.1458,2.6994,0.0582
0:06:23,6900,-0.2610,0.1963,0.2653,2.7109,0.0009,-0.1934,0.0596,0.0807,2.7173,0.0432
0:06:26,7000,-0.2501,0.1187,0.4614,2.7203,0.0023,-0.1149,0.0569,0.0679,2.7123,0.0669
0:07:03,7100,-0.1786,0.0830,0.6274,2.7439,0.0009,-0.0997,0.0464,0.1068,2.7580,0.0439
0:07:06,7200,-0.2633,0.1278,0.7109,2.6998,0.0025,-0.1281,0.0421,0.0963,2.7030,0.0506
0:07:08,7300,-0.2155,0.0952,0.7961,2.7570,0.0012,-0.1078,0.0463,0.0692,2.7522,0.0533
