step,source,target,domain,distance
10000,WAL,RUN,0,1.603839635848999
10000,WAL,RUN,1,1.121356725692749
10000,WAL,RUN,2,1.568888783454895
10000,WAL,RUN,3,1.8193198442459106
10000,WAL,RUN,4,2.2198617458343506
10000,WAL,RUN,5,0.9383488297462463
10000,WAL,RUN,6,1.5645713806152344
10000,WAL,RUN,7,1.350592851638794
10000,WAL,RUN,8,0.9420578479766846
10000,WAL,RUN,9,0.45441311597824097
10000,WAL,RUN,10,2.0168776512145996
10000,WAL,RUN,11,1.2322773933410645
10000,WAL,RUN,12,1.5185366868972778
10000,WAL,RUN,13,1.273819088935852
10000,WAL,RUN,14,2.1099014282226562
10000,WAL,RUN,15,1.0657646656036377
10000,WAL,RUN,16,1.3801252841949463
10000,WAL,RUN,17,1.8803735971450806
10000,WAL,RUN,18,1.1189086437225342
10000,WAL,RUN,19,0.7968061566352844
10000,WAL,RUN,20,1.6763031482696533
10000,WAL,RUN,21,1.5289201736450195
10000,WAL,RUN,22,0.9784973859786987
10000,WAL,RUN,23,1.2480189800262451
10000,WAL,RUN,24,1.5439726114273071
10000,WAL,RUN,25,1.2394793033599854
10000,WAL,RUN,26,1.3767198324203491
10000,WAL,RUN,27,1.576385498046875
10000,WAL,RUN,28,1.542431116104126
10000,WAL,RUN,29,1.657731533050537
10000,WAL,RUN,30,2.207650899887085
10000,WAL,RUN,31,2.288983106613159
10000,WAL,RUN,32,1.720560908317566
10000,WAL,RUN,33,1.4280085563659668
10000,WAL,RUN,34,1.309238076210022
10000,WAL,RUN,35,1.6186506748199463
10000,WAL,RUN,36,0.9506797790527344
10000,WAL,RUN,37,1.8150341510772705
10000,WAL,RUN,38,0.6887651085853577
10000,WAL,RUN,39,0.9685295820236206
10000,WAL,RUN,40,1.8793286085128784
10000,WAL,RUN,41,0.870363712310791
10000,WAL,RUN,42,1.252401351928711
10000,WAL,RUN,43,1.5541973114013672
10000,WAL,RUN,44,1.9563426971435547
10000,WAL,RUN,45,1.0555843114852905
10000,WAL,RUN,46,1.2049037218093872
10000,WAL,RUN,47,1.9996745586395264
10000,WAL,RUN,48,2.127246379852295
10000,WAL,RUN,49,2.074227809906006
10000,WAL,RUN,50,1.3162477016448975
10000,WAL,RUN,51,1.236484169960022
10000,WAL,RUN,52,1.193013072013855
10000,WAL,RUN,53,1.4538830518722534
10000,WAL,RUN,54,1.4871777296066284
10000,WAL,RUN,55,1.6251492500305176
10000,WAL,RUN,56,1.4000734090805054
10000,WAL,RUN,57,1.5013866424560547
10000,WAL,RUN,58,1.0368047952651978
10000,WAL,RUN,59,1.0912408828735352
10000,WAL,RUN,60,1.7266074419021606
10000,WAL,CLD,0,1.7516874074935913
10000,WAL,CLD,1,1.353306531906128
10000,WAL,CLD,2,1.8511559963226318
10000,WAL,CLD,3,1.716462254524231
10000,WAL,CLD,4,2.0862369537353516
10000,WAL,CLD,5,1.4326359033584595
10000,WAL,CLD,6,1.670560359954834
10000,WAL,CLD,7,1.371017336845398
10000,WAL,CLD,8,1.2926515340805054
10000,WAL,CLD,9,1.3748128414154053
10000,WAL,CLD,10,2.0817763805389404
10000,WAL,CLD,11,1.1945726871490479
10000,WAL,CLD,12,1.6716970205307007
10000,WAL,CLD,13,1.6645286083221436
10000,WAL,CLD,14,1.8777645826339722
10000,WAL,CLD,15,1.176355004310608
10000,WAL,CLD,16,1.6293365955352783
10000,WAL,CLD,17,1.9482849836349487
10000,WAL,CLD,18,1.4526219367980957
10000,WAL,CLD,19,0.7008518576622009
10000,WAL,CLD,20,2.0283164978027344
10000,WAL,CLD,21,1.7439295053482056
10000,WAL,CLD,22,1.3144649267196655
10000,WAL,CLD,23,1.370133876800537
10000,WAL,CLD,24,1.880861759185791
10000,WAL,CLD,25,1.4894099235534668
10000,WAL,CLD,26,1.246260166168213
10000,WAL,CLD,27,1.75163733959198
10000,WAL,CLD,28,1.6460950374603271
10000,WAL,CLD,29,1.8296136856079102
10000,WAL,CLD,30,2.2335665225982666
10000,WAL,CLD,31,2.221609592437744
10000,WAL,CLD,32,2.0214715003967285
10000,WAL,CLD,33,1.4483977556228638
10000,WAL,CLD,34,1.7620123624801636
10000,WAL,CLD,35,2.0715606212615967
10000,WAL,CLD,36,1.2740658521652222
10000,WAL,CLD,37,1.9384875297546387
10000,WAL,CLD,38,1.3886700868606567
10000,WAL,CLD,39,1.7079448699951172
10000,WAL,CLD,40,2.1186447143554688
10000,WAL,CLD,41,1.4891432523727417
10000,WAL,CLD,42,1.8017606735229492
10000,WAL,CLD,43,1.7710590362548828
10000,WAL,CLD,44,2.1149957180023193
10000,WAL,CLD,45,1.3597830533981323
10000,WAL,CLD,46,1.3163881301879883
10000,WAL,CLD,47,2.108541250228882
10000,WAL,CLD,48,1.9540935754776
10000,WAL,CLD,49,2.0680484771728516
10000,WAL,CLD,50,1.3829319477081299
10000,WAL,CLD,51,1.4750754833221436
10000,WAL,CLD,52,1.8040918111801147
10000,WAL,CLD,53,1.7987653017044067
10000,WAL,CLD,54,1.8714836835861206
10000,WAL,CLD,55,1.5363508462905884
10000,WAL,CLD,56,1.6245248317718506
10000,WAL,CLD,57,1.9087610244750977
10000,WAL,CLD,58,1.3687505722045898
10000,WAL,CLD,59,1.3621587753295898
10000,WAL,CLD,60,1.9842015504837036
10000,WAL,CLU,0,1.142816424369812
10000,WAL,CLU,1,1.0317823886871338
10000,WAL,CLU,2,1.6577814817428589
10000,WAL,CLU,3,1.191376805305481
10000,WAL,CLU,4,1.9383600950241089
10000,WAL,CLU,5,1.1534748077392578
10000,WAL,CLU,6,1.1490135192871094
10000,WAL,CLU,7,1.1078959703445435
10000,WAL,CLU,8,1.3049520254135132
10000,WAL,CLU,9,1.3488459587097168
10000,WAL,CLU,10,1.4665563106536865
10000,WAL,CLU,11,0.8668583631515503
10000,WAL,CLU,12,1.441036581993103
10000,WAL,CLU,13,0.9705810546875
10000,WAL,CLU,14,1.5360207557678223
10000,WAL,CLU,15,1.1083134412765503
10000,WAL,CLU,16,1.0559247732162476
10000,WAL,CLU,17,1.1641559600830078
10000,WAL,CLU,18,1.1759732961654663
10000,WAL,CLU,19,0.8594040274620056
10000,WAL,CLU,20,1.5719490051269531
10000,WAL,CLU,21,0.9900352358818054
10000,WAL,CLU,22,1.3555279970169067
10000,WAL,CLU,23,0.9856761693954468
10000,WAL,CLU,24,1.164853572845459
10000,WAL,CLU,25,1.166284441947937
10000,WAL,CLU,26,0.6416988968849182
10000,WAL,CLU,27,1.177821397781372
10000,WAL,CLU,28,0.8670161366462708
10000,WAL,CLU,29,1.6254112720489502
10000,WAL,CLU,30,1.5436999797821045
10000,WAL,CLU,31,1.665297031402588
10000,WAL,CLU,32,1.2814831733703613
10000,WAL,CLU,33,1.1649689674377441
10000,WAL,CLU,34,1.5214284658432007
10000,WAL,CLU,35,1.4390474557876587
10000,WAL,CLU,36,1.2694141864776611
10000,WAL,CLU,37,1.191101312637329
10000,WAL,CLU,38,1.0034812688827515
10000,WAL,CLU,39,1.171722650527954
10000,WAL,CLU,40,1.6905750036239624
10000,WAL,CLU,41,1.0960959196090698
10000,WAL,CLU,42,1.3517725467681885
10000,WAL,CLU,43,1.3171565532684326
10000,WAL,CLU,44,1.3902274370193481
10000,WAL,CLU,45,1.048550009727478
10000,WAL,CLU,46,1.1116688251495361
10000,WAL,CLU,47,1.7552292346954346
10000,WAL,CLU,48,1.19901704788208
10000,WAL,CLU,49,1.2748973369598389
10000,WAL,CLU,50,1.1117980480194092
10000,WAL,CLU,51,0.8948935270309448
10000,WAL,CLU,52,1.090029001235962
10000,WAL,CLU,53,1.0581375360488892
10000,WAL,CLU,54,1.189393162727356
10000,WAL,CLU,55,1.01948082447052
10000,WAL,CLU,56,1.2286357879638672
10000,WAL,CLU,57,1.440114974975586
10000,WAL,CLU,58,1.0123531818389893
10000,WAL,CLU,59,0.911766529083252
10000,WAL,CLU,60,1.2748115062713623
20000,WAL,RUN,0,1.54299795627594
20000,WAL,RUN,1,1.1081247329711914
20000,WAL,RUN,2,1.55849027633667
20000,WAL,RUN,3,1.7878153324127197
20000,WAL,RUN,4,2.014798879623413
20000,WAL,RUN,5,0.9163775444030762
20000,WAL,RUN,6,1.5142697095870972
20000,WAL,RUN,7,1.2523689270019531
20000,WAL,RUN,8,0.8361043930053711
20000,WAL,RUN,9,0.7347701787948608
20000,WAL,RUN,10,1.8426830768585205
20000,WAL,RUN,11,1.2588666677474976
20000,WAL,RUN,12,1.32798171043396
20000,WAL,RUN,13,1.1173880100250244
20000,WAL,RUN,14,2.0451760292053223
20000,WAL,RUN,15,0.953103244304657
20000,WAL,RUN,16,1.217125654220581
20000,WAL,RUN,17,1.7762335538864136
20000,WAL,RUN,18,0.9916862845420837
20000,WAL,RUN,19,0.8280684351921082
20000,WAL,RUN,20,1.514107584953308
20000,WAL,RUN,21,1.4376164674758911
20000,WAL,RUN,22,1.0226550102233887
20000,WAL,RUN,23,1.1560572385787964
20000,WAL,RUN,24,1.3916666507720947
20000,WAL,RUN,25,1.2078965902328491
20000,WAL,RUN,26,1.3274095058441162
20000,WAL,RUN,27,1.4564673900604248
20000,WAL,RUN,28,1.4185171127319336
20000,WAL,RUN,29,1.5587495565414429
20000,WAL,RUN,30,1.9943219423294067
20000,WAL,RUN,31,2.149954080581665
20000,WAL,RUN,32,1.5877816677093506
20000,WAL,RUN,33,1.3737777471542358
20000,WAL,RUN,34,1.2879363298416138
20000,WAL,RUN,35,1.5468838214874268
20000,WAL,RUN,36,0.9471583366394043
20000,WAL,RUN,37,1.6729137897491455
20000,WAL,RUN,38,0.688461184501648
20000,WAL,RUN,39,0.8666739463806152
20000,WAL,RUN,40,1.752292275428772
20000,WAL,RUN,41,0.8488102555274963
20000,WAL,RUN,42,1.168322205543518
20000,WAL,RUN,43,1.395790934562683
20000,WAL,RUN,44,1.9334211349487305
20000,WAL,RUN,45,0.9546214938163757
20000,WAL,RUN,46,1.1925166845321655
20000,WAL,RUN,47,1.8771276473999023
20000,WAL,RUN,48,1.9891514778137207
20000,WAL,RUN,49,2.0216848850250244
20000,WAL,RUN,50,1.2808620929718018
20000,WAL,RUN,51,1.200782299041748
20000,WAL,RUN,52,1.033399224281311
20000,WAL,RUN,53,1.409887433052063
20000,WAL,RUN,54,1.4385814666748047
20000,WAL,RUN,55,1.4824758768081665
20000,WAL,RUN,56,1.3274121284484863
20000,WAL,RUN,57,1.4629759788513184
20000,WAL,RUN,58,1.0365345478057861
20000,WAL,RUN,59,0.9406418800354004
20000,WAL,RUN,60,1.592894434928894
20000,WAL,CLD,0,1.7105146646499634
20000,WAL,CLD,1,1.3224701881408691
20000,WAL,CLD,2,1.8332947492599487
20000,WAL,CLD,3,1.6738660335540771
20000,WAL,CLD,4,2.0946204662323
20000,WAL,CLD,5,1.3811004161834717
20000,WAL,CLD,6,1.655077576637268
20000,WAL,CLD,7,1.3348008394241333
20000,WAL,CLD,8,1.2594311237335205
20000,WAL,CLD,9,1.3611509799957275
20000,WAL,CLD,10,2.034649133682251
20000,WAL,CLD,11,1.1631137132644653
20000,WAL,CLD,12,1.6411685943603516
20000,WAL,CLD,13,1.6250380277633667
20000,WAL,CLD,14,1.865072250366211
20000,WAL,CLD,15,1.1340446472167969
20000,WAL,CLD,16,1.6015281677246094
20000,WAL,CLD,17,1.8799737691879272
20000,WAL,CLD,18,1.3764950037002563
20000,WAL,CLD,19,0.6714128255844116
20000,WAL,CLD,20,2.009422779083252
20000,WAL,CLD,21,1.7027487754821777
20000,WAL,CLD,22,1.2571147680282593
20000,WAL,CLD,23,1.3299744129180908
20000,WAL,CLD,24,1.8385876417160034
20000,WAL,CLD,25,1.4605624675750732
20000,WAL,CLD,26,1.2065260410308838
20000,WAL,CLD,27,1.6813665628433228
20000,WAL,CLD,28,1.6163417100906372
20000,WAL,CLD,29,1.8190765380859375
20000,WAL,CLD,30,2.1728687286376953
20000,WAL,CLD,31,2.197547674179077
20000,WAL,CLD,32,1.9565118551254272
20000,WAL,CLD,33,1.3970847129821777
