Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_gp,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom
0:00:06,100,-3.9529,0.0709,1.5254,0.0213,-0.1776,0.2977,1.4822,46.5392
0:00:11,200,-2.4833,-0.2432,1.2453,0.0155,0.3762,0.1701,1.3768,39.3612
0:00:15,300,-1.4717,-0.8362,1.3648,0.0106,0.7172,0.1460,1.4683,37.3503
0:00:19,400,-2.2442,0.3580,1.2691,0.0128,-0.3092,0.1409,1.4925,26.2671
0:00:24,500,-1.3498,-0.5363,1.2635,0.0073,0.4644,0.1302,1.4333,29.6091
0:00:28,600,-1.5311,-0.2950,0.7595,0.0168,0.0744,0.1424,1.3312,27.4674
0:00:32,700,-1.8635,-0.0102,0.9244,0.0205,0.1311,0.1331,1.1617,43.1798
0:00:37,800,-0.8877,-0.4359,1.0956,0.0094,0.6184,0.1280,1.1512,40.9491
0:00:41,900,-0.7427,-0.7610,1.1308,0.0103,0.6396,0.1195,0.9900,40.7232
0:00:45,1000,-0.9377,-0.2702,0.8724,0.0046,0.2669,0.1200,0.8882,25.8900
0:00:50,1100,-0.8679,-0.4777,1.0936,0.0138,0.2054,0.1241,1.0467,33.2760
0:00:54,1200,-1.1317,-0.2461,0.7758,0.0068,0.1769,0.1217,0.6706,36.7185
0:00:58,1300,-1.1503,-0.3897,1.0459,0.0175,0.2550,0.1231,1.1932,37.2285
0:01:02,1400,-0.8275,-0.3970,0.7068,0.0084,0.4436,0.1244,0.7720,29.1539
0:01:07,1500,-1.2197,0.1693,0.7605,0.0178,-0.0705,0.1257,0.5922,22.8521
0:01:11,1600,-1.0269,-0.0319,0.7310,0.0094,-0.0206,0.1214,0.6897,24.6182
0:01:15,1700,-1.2311,0.0393,0.8248,0.0145,0.0123,0.1239,0.6668,27.6562
0:01:20,1800,-1.2047,0.2536,0.6379,0.0060,-0.2168,0.1221,0.4491,34.7978
0:01:24,1900,-1.5276,0.3615,0.9924,0.0094,-0.2663,0.1225,0.7790,28.9345
0:01:28,2000,-1.3128,0.2220,0.8771,0.0082,-0.1811,0.1163,0.7822,28.4953
0:01:33,2100,-1.0010,-0.0710,0.9630,0.0033,0.1028,0.1240,0.6738,23.0282
0:01:37,2200,-1.2183,0.2412,1.0090,0.0166,-0.2034,0.1097,0.7844,32.3381
0:01:42,2300,-0.9628,-0.1083,0.7318,0.0081,0.1975,0.1234,0.6366,37.0147
0:01:46,2400,-0.9145,-0.1241,0.6459,0.0103,0.0972,0.1232,0.7061,27.4461
0:01:51,2500,-0.9149,-0.0130,0.7835,0.0026,-0.0015,0.1103,0.7316,30.0597
0:01:55,2600,-1.3432,0.0469,0.7537,0.0102,-0.0045,0.1168,0.6745,27.9153
0:02:00,2700,-1.1085,0.1953,0.6682,0.0089,-0.2555,0.1161,0.5864,25.1887
0:02:04,2800,-0.6735,-0.3034,0.5577,0.0128,0.1751,0.1208,0.5569,18.6424
0:02:09,2900,-0.7864,-0.2442,0.9212,0.0024,0.2040,0.1083,0.7539,31.2388
0:02:13,3000,-0.8049,-0.1584,0.7412,0.0096,0.2678,0.1107,0.5347,32.2640
0:02:18,3100,-0.8818,-0.1881,0.6106,0.0172,0.2585,0.1172,0.7250,26.3017
0:02:22,3200,-0.8417,-0.1644,0.8144,0.0089,0.1997,0.1175,0.5963,34.0073
0:02:27,3300,-0.8190,-0.2165,0.8197,0.0082,0.2048,0.1153,0.8810,27.8769
0:02:31,3400,-1.0928,0.0734,0.7551,0.0134,0.1121,0.1096,0.5051,32.3750
0:02:35,3500,-0.8471,-0.1334,0.9001,0.0272,0.0344,0.1080,0.7434,41.8776
0:02:40,3600,-0.9746,0.0135,1.0539,0.0057,0.0843,0.1127,0.8494,41.8837
0:02:44,3700,-0.7648,-0.1411,0.8158,0.0070,0.2054,0.1180,0.4711,27.6233
0:02:49,3800,-0.8526,-0.1547,0.7362,0.0091,0.2276,0.1102,0.5492,30.0695
0:02:53,3900,-0.7641,-0.3097,0.7726,0.0364,0.0602,0.1121,0.6075,30.1660
0:02:58,4000,-0.6763,-0.3247,0.7013,0.0100,0.2850,0.1125,0.9579,29.5593
0:03:02,4100,-0.8705,-0.0329,0.7235,0.0065,0.0791,0.1110,0.6965,31.5656
0:03:07,4200,-0.9350,0.0001,0.8025,0.0094,0.0070,0.1104,0.5281,38.0154
0:03:11,4300,-0.6644,-0.3935,0.5917,0.0137,0.3553,0.1151,0.7942,35.0394
0:03:16,4400,-0.7234,-0.2157,0.8135,0.0041,0.2030,0.1121,0.4843,36.8117
0:03:20,4500,-0.4583,-0.3088,0.9266,0.0097,0.2796,0.1062,0.5527,35.5469
0:03:25,4600,-0.6198,-0.2359,0.7758,0.0074,0.2383,0.1068,0.7307,32.1952
0:03:29,4700,-0.7911,-0.0945,0.9670,0.0055,0.0173,0.1105,0.7131,39.7079
0:03:34,4800,-0.5104,-0.2389,0.7843,0.0171,0.2897,0.1144,0.5731,34.0601
0:03:38,4900,-0.6649,-0.1920,0.6675,0.0162,0.1994,0.1136,0.5292,38.1021
0:03:43,5000,-0.9089,-0.0513,0.4779,0.0082,0.1566,0.1182,0.3471,30.4510
0:03:59,5100,-0.3716,-0.3389,0.7308,0.0055,0.3963,0.1095,0.3889,27.0257
0:04:04,5200,-0.5461,-0.1926,0.6914,0.0103,0.3092,0.1114,0.4459,30.8852
0:04:08,5300,-0.4524,-0.3597,0.5414,0.0066,0.2349,0.1103,0.6993,33.9442
0:04:12,5400,-0.6136,-0.2965,0.8880,0.0109,0.2746,0.1069,0.5601,33.5068
0:04:17,5500,-0.4112,-0.3219,0.8565,0.0068,0.3618,0.1095,0.6765,44.5929
0:04:21,5600,-0.6517,-0.2601,0.6083,0.0105,0.3359,0.1095,0.2559,29.3027
0:04:26,5700,-0.4302,-0.2963,0.4561,0.0065,0.3029,0.1101,0.4063,35.0986
0:04:30,5800,-0.6679,-0.2452,0.7260,0.0076,0.2656,0.1084,0.4906,33.1246
