step,domain,loss,accuracy,f1
0,15,16.025618076324463,0.125,0.07142857142857142
0,16,15.266454696655273,0.25,0.1
0,17,17.728378295898438,0.25,0.1
0,18,19.01950168609619,0.25,0.1
0,19,16.70534896850586,0.25,0.1
0,20,17.160266876220703,0.25,0.1
0,21,17.249664306640625,0.25,0.1
0,22,20.565275192260742,0.25,0.1
0,23,22.929649353027344,0.25,0.1
0,24,22.1138858795166,0.25,0.1
0,25,15.458922386169434,0.25,0.1
0,26,20.307645797729492,0.25,0.1
0,27,22.122526168823242,0.25,0.1
0,28,19.27308464050293,0.25,0.1
0,29,21.458450317382812,0.25,0.1
0,30,18.94551658630371,0.3,0.17861339600470033
0,31,10.734283447265625,0.425,0.2833333333333333
0,32,18.602399826049805,0.25,0.1
0,33,19.754806518554688,0.25,0.1
0,34,16.31856107711792,0.25,0.14223057644110276
0,35,13.440839290618896,0.25,0.1
0,36,12.468257904052734,0.3,0.1875
0,37,19.308194160461426,0.25,0.1
0,38,13.084108352661133,0.275,0.15687426556991774
0,39,10.891650840638135,0.35,0.3088235294117647
0,40,24.684680938720703,0.25,0.1
0,41,8.350041389465332,0.475,0.4428952991452991
0,42,23.86057758331299,0.3,0.18330605564648117
0,43,10.193214178085327,0.3,0.2095238095238095
0,44,17.563766479492188,0.25,0.1
0,45,12.243301391601562,0.25,0.1
0,46,16.588222980499268,0.25,0.1
0,47,19.264720916748047,0.25,0.1
0,48,18.404993534088135,0.25,0.1
0,49,13.592510223388672,0.25,0.1
0,50,23.58623695373535,0.25,0.1
0,51,23.55863666534424,0.3,0.1875
0,52,14.004679203033447,0.25,0.1
0,53,17.60792350769043,0.25,0.125
0,54,18.529632568359375,0.275,0.14749536178107608
0,55,15.110306739807129,0.25,0.1
0,56,21.25877285003662,0.25,0.1
0,57,23.470900535583496,0.25,0.1
0,58,28.151731491088867,0.25,0.1
0,59,18.429726600646973,0.25,0.1
0,60,6.2494915660936385,0.35,0.27106227106227104
0,61,23.395252227783203,0.25,0.10204081632653061
0,62,15.668514728546143,0.25,0.1
0,63,19.637032508850098,0.275,0.14749536178107608
0,64,14.88793420791626,0.25,0.1
0,65,22.39497947692871,0.225,0.09574468085106383
0,66,10.630468845367432,0.175,0.12068965517241378
0,67,21.098347663879395,0.25,0.1
0,68,21.263257026672363,0.25,0.1
0,69,17.27436590194702,0.175,0.07446808510638298
0,70,14.537661075592041,0.45,0.325
0,71,17.44849920272827,0.25,0.1
0,72,20.62925624847412,0.25,0.1
0,73,5.851191887632012,0.325,0.20035252643948293
0,74,33.52217197418213,0.2702702702702703,0.13513513513513514
0,75,15.36444902420044,0.25,0.1
0,15,13.001949340105053,0.3,0.19202898550724637
0,16,16.146314069548225,0.475,0.35879332477535303
0,17,16.471395641539857,0.4,0.30113636363636365
0,18,17.33880466967682,0.45,0.3412698412698413
0,19,16.548105239868164,0.475,0.35879332477535303
0,20,14.861931687919423,0.475,0.35879332477535303
0,21,16.103672072291367,0.475,0.35879332477535303
0,22,16.613409318029596,0.475,0.35879332477535303
0,23,16.671626776456833,0.45,0.32549941245593417
0,24,16.83420570939778,0.35,0.2648083623693379
0,25,17.19778633862734,0.475,0.35879332477535303
0,26,14.849396735429764,0.375,0.2625
0,27,17.322525031864643,0.325,0.22176759410801966
0,28,14.38139070617035,0.5,0.375
